Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
SEA,3-0,1,-39.4%,1,-39.4%,1,-48.8%,8,-27.6%
NYJ,2-1,2,-28.6%,2,-28.6%,5,-12.8%,1,-52.9%
KC,3-0,3,-26.3%,3,-26.3%,2,-41.0%,28,3.0%
NO,3-0,4,-19.5%,4,-19.5%,3,-32.3%,27,2.5%
NE,3-0,5,-17.6%,5,-17.6%,4,-20.2%,15,-14.6%
TB,0-3,6,-14.0%,6,-14.0%,7,-5.2%,9,-27.4%
HOU,2-1,7,-13.1%,7,-13.1%,17,6.0%,4,-35.9%
DAL,2-1,8,-12.5%,8,-12.5%,10,-3.3%,2,-41.9%
CLE,1-2,9,-11.0%,9,-11.0%,16,4.2%,5,-34.3%
CAR,1-2,10,-9.6%,10,-9.6%,11,-3.1%,13,-19.2%
CHI,3-0,11,-9.4%,11,-9.4%,14,3.4%,10,-27.1%
DET,2-1,12,-8.4%,12,-8.4%,6,-7.5%,19,-10.4%
DEN,3-0,13,-6.6%,13,-6.6%,20,9.2%,3,-41.8%
CIN,2-1,14,-5.6%,14,-5.6%,12,-1.3%,16,-11.9%
MIN,0-3,15,-3.4%,15,-3.4%,8,-4.9%,26,-0.5%
TEN,2-1,16,-1.9%,16,-1.9%,15,4.1%,18,-10.9%
PIT,0-3,17,-0.3%,17,-0.3%,19,7.6%,20,-7.6%
BUF,1-2,18,1.0%,18,1.0%,18,6.5%,22,-5.8%
MIA,3-0,19,1.5%,19,1.5%,9,-4.7%,30,12.2%
ATL,1-2,20,1.6%,20,1.6%,21,14.9%,7,-27.9%
BAL,2-1,21,3.2%,21,3.2%,22,16.8%,11,-22.3%
ARI,1-2,22,3.4%,22,3.4%,23,19.1%,6,-29.5%
IND,2-1,23,7.0%,23,7.0%,13,1.6%,31,14.1%
STL,1-2,24,9.8%,24,9.8%,24,29.6%,12,-20.4%
NYG,0-3,25,13.4%,25,13.4%,25,29.8%,21,-7.0%
SF,1-2,26,15.2%,26,15.2%,26,33.2%,25,-0.9%
PHI,1-2,27,17.2%,27,17.2%,27,36.8%,14,-16.4%
GB,1-2,28,22.0%,28,22.0%,29,43.3%,17,-11.6%
JAX,0-3,29,22.7%,29,22.7%,28,39.4%,29,5.7%
OAK,1-2,30,27.6%,30,27.6%,31,50.6%,24,-5.3%
SD,1-2,31,27.6%,31,27.6%,30,49.7%,23,-5.5%
WAS,0-3,32,41.1%,32,41.1%,32,56.7%,32,22.4%
