Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
SEA,11-1,1,-20.3%,2,-19.9%,1,-23.8%,10,-15.0%
ARI,7-5,2,-19.8%,1,-20.2%,3,-16.1%,4,-26.4%
CAR,9-3,3,-17.6%,3,-19.3%,4,-12.5%,3,-26.6%
CIN,8-4,4,-15.0%,4,-16.2%,2,-16.5%,12,-12.7%
BUF,4-8,5,-9.0%,7,-9.1%,5,-12.2%,22,-4.6%
SF,8-4,6,-7.9%,8,-9.0%,7,-6.5%,17,-10.0%
NO,9-3,7,-7.6%,9,-7.2%,6,-9.1%,19,-5.3%
NYG,5-7,8,-6.6%,5,-9.5%,11,3.5%,7,-21.6%
STL,5-7,9,-6.3%,6,-9.3%,12,3.7%,8,-19.8%
NYJ,5-7,10,-6.2%,13,-3.9%,20,13.2%,1,-34.2%
BAL,6-6,11,-6.2%,10,-7.2%,15,4.8%,6,-21.7%
TB,3-9,12,-5.2%,14,-3.8%,13,4.4%,9,-19.0%
DET,7-5,13,-5.1%,11,-6.7%,17,8.5%,2,-30.5%
KC,9-3,14,-2.4%,17,1.5%,14,4.5%,13,-12.5%
MIA,6-6,15,-1.8%,12,-4.4%,8,-4.6%,30,1.8%
NE,9-3,16,-0.2%,16,1.0%,9,0.3%,27,-0.8%
TEN,5-7,17,0.5%,18,2.3%,16,4.8%,20,-5.2%
HOU,2-10,18,1.0%,20,4.2%,21,13.2%,11,-13.5%
DEN,10-2,19,1.2%,15,-1.3%,22,15.4%,5,-22.4%
CHI,6-6,20,1.6%,19,3.2%,10,1.3%,31,1.9%
IND,8-4,21,4.7%,21,6.0%,19,12.7%,21,-5.1%
DAL,7-5,22,6.3%,26,7.8%,18,11.9%,23,-2.9%
CLE,4-8,23,6.4%,24,7.6%,26,18.1%,14,-10.8%
OAK,4-8,24,6.6%,22,6.5%,24,17.4%,18,-8.3%
MIN,3-8-1,25,8.2%,28,9.1%,27,20.4%,15,-10.4%
PIT,5-7,26,8.6%,27,9.0%,25,17.6%,24,-2.7%
WAS,3-9,27,9.0%,23,7.5%,23,16.5%,26,-1.3%
PHI,7-5,28,9.8%,25,7.6%,29,22.3%,16,-10.2%
ATL,3-9,29,11.4%,29,12.4%,28,21.6%,25,-1.5%
JAX,3-9,30,14.8%,30,14.6%,30,26.5%,28,1.6%
GB,5-6-1,31,17.1%,31,17.4%,31,29.7%,29,1.6%
SD,5-7,32,26.6%,32,26.7%,32,37.7%,32,10.3%
