Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
ARI,7-4,1,-20.9%,1,-22.0%,2,-18.2%,3,-25.9%
SEA,10-1,2,-18.0%,2,-17.7%,1,-21.8%,12,-12.5%
CAR,8-3,3,-14.7%,3,-15.4%,6,-8.3%,2,-26.0%
CIN,7-4,4,-14.2%,4,-15.3%,3,-15.3%,11,-12.5%
NYJ,5-6,5,-9.3%,11,-7.3%,16,8.1%,1,-34.9%
SF,7-4,6,-9.0%,6,-9.6%,7,-8.1%,18,-10.4%
NO,9-2,7,-9.0%,9,-8.7%,4,-14.3%,28,-0.4%
BUF,4-7,8,-8.7%,10,-8.2%,5,-11.6%,20,-4.9%
BAL,5-6,9,-7.4%,8,-8.9%,14,3.3%,6,-21.9%
NYG,4-7,10,-7.2%,5,-10.4%,12,1.9%,7,-20.8%
STL,5-6,12,-5.9%,7,-9.3%,11,1.5%,9,-16.1%
TB,3-8,12,-5.9%,7,-9.3%,11,1.5%,9,-16.1%
KC,9-2,13,-4.0%,16,-1.3%,10,0.3%,17,-10.5%
NE,8-3,14,-3.5%,14,-3.1%,9,-2.7%,21,-4.4%
MIA,5-6,15,-1.5%,13,-3.7%,8,-3.8%,31,1.3%
HOU,2-9,16,-0.8%,18,2.5%,17,9.6%,10,-13.1%
DET,6-5,17,0.5%,17,1.0%,20,14.5%,4,-25.7%
DEN,9-2,18,0.7%,15,-2.3%,22,15.8%,5,-24.4%
CHI,6-5,19,1.8%,19,3.7%,15,3.7%,29,-0.1%
TEN,5-6,20,4.1%,21,6.0%,19,10.3%,23,-3.8%
CLE,4-7,21,5.0%,22,6.0%,24,16.4%,13,-12.3%
DAL,6-5,22,5.7%,23,6.7%,18,10.2%,26,-1.7%
OAK,4-7,23,6.2%,20,4.9%,25,19.2%,14,-12.2%
PIT,5-6,24,7.8%,25,7.7%,21,15.8%,24,-2.1%
MIN,2-8-1,25,8.2%,27,9.2%,26,21.0%,16,-11.3%
WAS,3-8,26,9.0%,24,7.5%,23,16.4%,27,-1.3%
IND,7-4,27,9.9%,29,12.2%,27,21.8%,19,-5.0%
PHI,6-5,28,10.7%,26,8.6%,29,24.9%,15,-11.8%
ATL,2-9,29,10.9%,28,11.6%,28,22.8%,22,-4.4%
JAX,2-9,30,14.6%,30,14.0%,30,27.2%,30,0.2%
GB,5-5-1,31,16.1%,31,16.0%,31,30.0%,25,-1.8%
SD,5-6,32,28.0%,32,28.0%,32,38.7%,32,10.8%
