Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
ARI,5-4,1,-22.2%,1,-24.5%,2,-20.1%,2,-26.0%
CAR,6-3,2,-19.6%,2,-22.0%,3,-17.3%,5,-23.6%
SEA,9-1,3,-17.2%,3,-15.7%,1,-20.8%,13,-11.7%
CIN,6-4,4,-11.5%,4,-11.5%,5,-8.8%,10,-15.3%
NYJ,5-4,5,-10.5%,6,-8.8%,15,4.7%,1,-35.7%
BAL,4-5,6,-9.0%,5,-10.4%,12,1.9%,3,-24.6%
KC,9-0,7,-8.5%,8,-7.1%,6,-8.2%,19,-9.0%
NO,7-2,8,-6.5%,10,-5.5%,4,-13.3%,29,3.8%
STL,4-6,9,-5.9%,7,-8.3%,9,-0.9%,12,-12.7%
BUF,3-7,10,-5.5%,11,-5.4%,7,-4.3%,23,-7.0%
NYG,3-6,11,-5.4%,9,-6.9%,14,3.7%,6,-18.6%
SF,6-3,12,-4.2%,12,-4.7%,11,0.4%,15,-10.6%
NE,7-2,13,-3.9%,13,-3.1%,10,-0.8%,22,-7.8%
HOU,2-7,14,-2.3%,17,-0.5%,19,9.8%,9,-16.2%
CHI,5-4,15,-1.4%,15,-0.7%,16,5.5%,18,-9.2%
MIA,4-5,16,-1.0%,14,-2.1%,8,-2.6%,27,0.9%
DET,6-3,17,-0.8%,16,-0.6%,17,7.6%,7,-16.9%
TEN,4-5,18,-0.6%,18,0.0%,13,3.5%,25,-5.7%
TB,1-8,19,-0.1%,20,3.3%,23,16.3%,4,-23.9%
DEN,8-1,20,3.5%,19,2.0%,22,15.7%,8,-16.7%
DAL,5-5,21,4.3%,21,4.4%,18,9.2%,26,-4.2%
IND,6-3,22,5.3%,22,4.5%,21,15.3%,24,-6.9%
MIN,2-7,23,5.4%,24,6.4%,24,17.2%,11,-13.4%
CLE,4-5,24,6.6%,25,7.3%,25,17.8%,14,-11.6%
WAS,3-6,25,8.8%,23,6.0%,20,11.6%,30,4.7%
ATL,2-7,26,8.9%,27,9.5%,27,22.1%,20,-8.4%
OAK,3-6,27,10.0%,26,8.0%,28,24.6%,17,-9.4%
PIT,3-6,28,12.3%,30,13.4%,26,20.7%,28,3.3%
PHI,5-5,29,12.6%,28,11.7%,29,26.1%,16,-10.2%
GB,5-4,30,13.1%,29,11.9%,30,28.2%,21,-7.9%
JAX,1-8,31,20.3%,31,20.0%,31,32.2%,32,7.6%
SD,4-5,32,25.5%,32,25.2%,32,37.8%,31,7.2%
