Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
SEA,4-0,1,-29.3%,1,-29.3%,2,-30.1%,6,-28.3%
HOU,2-2,2,-20.5%,2,-20.5%,4,-12.4%,4,-30.5%
NO,4-0,3,-19.2%,3,-19.2%,1,-32.2%,31,4.4%
KC,4-0,4,-17.5%,4,-17.5%,3,-28.6%,30,3.8%
TB,0-4,5,-16.7%,5,-16.7%,8,-6.7%,2,-32.7%
NYJ,2-2,6,-16.7%,6,-16.7%,14,5.0%,1,-48.8%
BUF,2-2,7,-11.6%,7,-11.6%,5,-11.4%,17,-11.8%
CLE,2-2,8,-10.3%,8,-10.3%,12,2.8%,3,-32.2%
CHI,3-1,9,-9.0%,9,-9.0%,13,2.9%,8,-25.6%
DET,3-1,10,-7.6%,10,-7.6%,6,-9.3%,24,-3.5%
CAR,1-2,11,-7.3%,11,-7.3%,11,-2.0%,13,-15.0%
NE,4-0,12,-6.0%,12,-6.0%,10,-2.5%,18,-11.2%
TEN,3-1,13,-5.6%,13,-5.6%,9,-3.1%,20,-9.3%
BAL,2-2,14,-5.5%,14,-5.5%,16,7.7%,9,-22.1%
ARI,2-2,15,-5.3%,15,-5.3%,17,7.7%,5,-29.1%
IND,3-1,16,-3.7%,16,-3.7%,7,-7.7%,27,2.0%
SF,2-2,17,-1.3%,17,-1.3%,18,9.5%,15,-13.6%
CIN,2-2,18,-0.1%,18,-0.1%,19,10.1%,12,-15.2%
DAL,2-2,19,2.2%,19,2.2%,20,11.1%,10,-21.1%
MIN,1-3,20,4.1%,20,4.1%,15,5.0%,29,2.3%
DEN,4-0,21,5.0%,21,5.0%,24,21.3%,7,-25.9%
NYG,0-4,22,5.3%,22,5.3%,22,18.9%,14,-14.7%
PIT,0-4,23,9.2%,23,9.2%,23,20.6%,25,-1.5%
ATL,1-3,24,10.5%,24,10.5%,25,25.2%,11,-15.8%
MIA,3-1,25,11.0%,25,11.0%,21,16.0%,28,2.1%
STL,1-3,26,14.2%,26,14.2%,28,32.9%,19,-9.7%
WAS,1-3,27,15.6%,27,15.6%,26,28.1%,26,0.5%
OAK,1-3,28,18.7%,28,18.7%,29,38.0%,22,-6.3%
JAX,0-4,29,19.1%,29,19.1%,27,31.7%,32,4.9%
PHI,1-3,30,22.9%,30,22.9%,30,43.0%,21,-8.4%
GB,1-2,31,23.3%,31,23.3%,31,46.1%,16,-12.6%
SD,2-2,32,28.4%,32,28.4%,32,47.7%,23,-3.8%
