Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
ARI,8-5,1,-21.7%,1,-23.7%,2,-19.4%,3,-25.7%
SEA,11-2,2,-20.0%,2,-19.1%,1,-24.0%,11,-14.1%
CAR,9-4,3,-15.0%,3,-16.0%,6,-9.1%,2,-26.0%
CIN,9-4,4,-11.7%,5,-12.6%,5,-11.2%,14,-12.6%
BUF,4-9,5,-11.6%,4,-12.9%,3,-16.2%,19,-5.8%
TB,4-9,6,-10.1%,6,-10.3%,9,-2.2%,6,-21.9%
NO,10-3,7,-10.0%,7,-10.3%,4,-12.8%,20,-5.6%
SF,9-4,8,-7.7%,8,-9.7%,7,-5.6%,15,-10.5%
BAL,7-6,9,-7.0%,9,-8.6%,11,3.4%,5,-21.9%
NYG,5-8,10,-5.4%,11,-7.4%,15,5.8%,7,-21.1%
STL,5-8,11,-5.2%,10,-8.1%,14,5.5%,9,-19.4%
KC,10-3,12,-5.1%,15,-1.4%,10,1.7%,10,-15.8%
DET,7-6,13,-4.6%,12,-7.1%,16,6.5%,4,-23.3%
NYJ,6-7,14,-4.4%,16,-0.4%,19,15.2%,1,-32.5%
MIA,7-6,15,-1.3%,14,-2.9%,8,-3.7%,30,1.8%
DEN,11-2,16,-0.4%,13,-3.3%,18,12.2%,8,-20.2%
TEN,5-8,17,0.5%,17,1.6%,13,4.2%,21,-4.5%
NE,10-3,18,2.8%,19,5.3%,17,7.7%,25,-3.0%
HOU,2-11,19,2.9%,21,6.7%,20,16.4%,13,-13.3%
CHI,7-6,20,4.7%,22,7.0%,12,3.7%,31,5.8%
MIN,3-9-1,21,6.5%,23,7.6%,22,17.1%,16,-10.1%
OAK,4-9,22,6.7%,20,6.3%,27,19.2%,17,-9.9%
CLE,4-9,23,7.6%,25,8.3%,25,18.7%,18,-9.4%
IND,8-5,24,7.9%,28,10.8%,24,17.7%,22,-4.2%
PHI,8-5,25,7.9%,18,5.3%,29,22.0%,12,-13.6%
PIT,5-8,26,8.9%,26,9.1%,21,16.9%,26,-1.3%
WAS,3-10,27,9.3%,24,7.6%,23,17.5%,27,-1.2%
ATL,3-10,28,9.4%,27,10.5%,28,19.2%,24,-3.2%
DAL,7-6,29,10.2%,30,14.6%,26,18.7%,23,-3.3%
JAX,4-9,30,13.0%,29,12.1%,30,23.4%,28,0.2%
GB,6-6-1,31,15.3%,31,15.8%,31,26.8%,29,1.0%
SD,6-7,32,24.1%,32,23.7%,32,34.9%,32,8.2%
