Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ARI,13-2,1,20.3%,2,19.6%,1,50.2%,13,-7.1%
CIN,11-4,2,20.3%,4,15.8%,2,49.0%,6,-1.9%
PIT,9-6,3,19.9%,3,18.9%,5,33.8%,1,9.9%
SEA,9-6,4,19.1%,1,27.0%,3,43.8%,4,4.7%
NE,12-3,5,18.2%,5,14.2%,4,38.7%,10,-5.1%
KC,10-5,6,13.4%,6,13.9%,10,26.2%,2,6.9%
BUF,7-8,7,10.8%,7,12.0%,12,24.1%,3,5.8%
NO,6-9,8,9.0%,9,10.5%,7,29.4%,14,-9.1%
CAR,14-1,9,8.8%,8,10.9%,9,27.3%,7,-3.3%
CHI,6-9,10,7.1%,10,9.5%,13,22.5%,5,1.0%
GB,10-5,11,3.9%,21,-4.3%,15,20.7%,18,-12.7%
NYJ,10-5,12,3.4%,15,4.3%,8,29.2%,24,-18.9%
MIN,10-5,13,1.5%,12,5.6%,19,13.3%,8,-3.9%
WAS,8-7,14,1.0%,13,5.2%,6,30.8%,30,-26.0%
OAK,7-8,15,0.3%,17,-2.6%,14,22.5%,21,-15.1%
DET,6-9,16,0.2%,14,4.4%,17,15.6%,26,-20.3%
SD,4-11,17,0.0%,18,-3.6%,11,24.8%,29,-24.4%
JAX,5-10,18,-0.9%,16,-0.8%,16,15.9%,28,-24.2%
TB,6-9,19,-2.0%,11,6.6%,18,14.9%,16,-10.2%
NYG,6-9,20,-4.0%,19,-3.7%,20,10.6%,22,-17.6%
BAL,5-10,21,-4.9%,22,-6.3%,23,4.5%,15,-9.3%
ATL,8-7,22,-6.5%,25,-11.5%,24,3.7%,20,-15.0%
HOU,8-7,23,-7.6%,23,-6.8%,21,9.0%,27,-23.8%
DEN,11-4,24,-8.5%,20,-4.2%,25,-1.3%,19,-12.9%
CLE,3-12,25,-9.6%,24,-8.2%,22,5.3%,23,-17.7%
MIA,5-10,26,-10.0%,26,-11.7%,28,-4.4%,9,-4.6%
PHI,6-9,27,-12.8%,27,-14.2%,30,-6.5%,17,-10.2%
TEN,3-12,28,-14.6%,29,-15.7%,26,-1.3%,31,-27.2%
SF,4-11,29,-14.7%,28,-15.4%,29,-4.6%,25,-20.2%
STL,7-8,30,-15.5%,30,-17.5%,31,-14.0%,11,-6.3%
IND,7-8,31,-16.0%,31,-19.9%,27,-1.9%,32,-30.5%
DAL,4-11,32,-17.3%,32,-21.0%,32,-14.3%,12,-6.8%
