Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ARI,2-0,1,61.1%,1,61.1%,1,103.2%,5,9.6%
PIT,1-1,2,55.6%,2,55.6%,2,102.0%,1,20.9%
GB,2-0,3,36.9%,3,36.9%,4,68.2%,4,11.8%
NE,2-0,4,34.2%,4,34.2%,5,60.9%,10,-4.5%
CIN,2-0,5,33.8%,5,33.8%,3,77.4%,7,3.0%
ATL,2-0,6,14.2%,6,14.2%,7,46.2%,22,-22.7%
BUF,1-1,7,13.2%,7,13.2%,18,8.1%,2,17.8%
SD,1-1,8,10.2%,8,10.2%,9,33.2%,13,-5.7%
NYJ,2-0,9,6.2%,9,6.2%,8,34.4%,18,-14.1%
MIA,1-1,10,5.4%,10,5.4%,10,29.7%,27,-31.9%
TEN,1-1,11,5.3%,11,5.3%,6,50.5%,19,-17.0%
OAK,1-1,12,1.7%,12,1.7%,13,18.2%,8,0.5%
WAS,1-1,13,1.5%,13,1.5%,11,25.5%,14,-5.8%
SF,1-1,14,1.0%,14,1.0%,20,1.4%,3,15.4%
DET,0-2,15,-3.8%,15,-3.8%,14,17.7%,32,-49.9%
CAR,2-0,16,-5.0%,16,-5.0%,22,-2.3%,12,-5.0%
MIN,1-1,17,-5.3%,17,-5.3%,17,10.5%,16,-11.9%
SEA,0-2,18,-5.4%,18,-5.4%,21,0.6%,11,-4.6%
NYG,0-2,19,-5.8%,19,-5.8%,16,10.8%,21,-18.5%
BAL,0-2,20,-6.7%,20,-6.7%,23,-3.3%,9,-3.8%
DAL,2-0,21,-7.6%,21,-7.6%,12,24.2%,23,-27.9%
STL,1-1,22,-9.1%,22,-9.1%,15,17.5%,26,-29.6%
JAX,1-1,23,-9.7%,23,-9.7%,19,5.1%,24,-28.5%
KC,1-1,24,-14.5%,24,-14.5%,26,-6.7%,17,-12.3%
CHI,0-2,25,-16.1%,25,-16.1%,31,-17.4%,6,6.3%
IND,0-2,26,-16.9%,26,-16.9%,24,-3.8%,28,-41.3%
NO,0-2,27,-17.6%,27,-17.6%,30,-13.7%,15,-10.2%
HOU,0-2,28,-19.3%,28,-19.3%,27,-8.5%,25,-29.2%
PHI,0-2,29,-20.5%,29,-20.5%,25,-4.0%,31,-48.2%
CLE,1-1,30,-20.6%,30,-20.6%,28,-10.1%,20,-17.6%
DEN,2-0,31,-32.1%,31,-32.1%,29,-11.9%,29,-44.9%
TB,1-1,32,-46.0%,32,-46.0%,32,-32.1%,30,-46.3%
