Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
CIN,6-0,1,34.4%,1,34.3%,1,69.5%,3,7.3%
NE,5-0,2,33.0%,2,32.6%,2,51.8%,1,17.7%
ARI,4-2,3,23.4%,3,23.1%,4,47.7%,6,-0.6%
GB,6-0,4,22.0%,4,21.6%,3,50.2%,12,-4.0%
PIT,4-2,5,20.8%,5,20.5%,5,43.2%,4,4.9%
BUF,3-3,6,12.8%,6,12.4%,7,34.7%,15,-6.0%
ATL,5-1,7,10.1%,7,10.2%,11,18.2%,2,7.7%
NO,2-4,8,6.1%,8,6.2%,9,19.3%,14,-4.5%
NYJ,4-1,9,6.1%,9,5.9%,8,24.7%,13,-4.5%
SD,2-4,10,5.5%,10,5.3%,6,39.5%,31,-34.9%
CAR,5-0,11,2.6%,11,3.1%,18,12.5%,7,-0.7%
SEA,2-4,12,1.6%,12,1.9%,16,14.0%,11,-3.4%
KC,1-5,13,-0.4%,13,-0.6%,21,6.6%,10,-3.4%
IND,3-3,14,-0.8%,14,-1.0%,14,16.1%,25,-22.1%
NYG,3-3,15,-1.8%,15,-1.6%,13,16.7%,22,-18.0%
BAL,1-5,16,-2.3%,16,-1.8%,26,2.0%,8,-1.3%
OAK,2-3,17,-3.3%,17,-2.4%,12,17.7%,20,-17.8%
WAS,2-4,18,-4.0%,18,-3.8%,10,18.7%,27,-23.7%
PHI,3-3,19,-4.1%,19,-4.1%,25,2.2%,9,-1.8%
MIA,2-3,20,-4.5%,20,-4.5%,27,-0.4%,5,2.3%
DAL,2-3,21,-5.6%,22,-5.9%,20,7.6%,16,-7.6%
JAX,1-5,22,-6.1%,21,-5.7%,17,12.8%,30,-33.0%
CLE,2-4,23,-7.4%,23,-7.1%,15,14.4%,24,-20.7%
CHI,2-4,24,-9.2%,25,-9.5%,22,4.8%,17,-11.2%
HOU,2-4,25,-9.4%,24,-9.4%,19,8.2%,28,-26.9%
DET,1-5,26,-11.9%,26,-11.9%,23,4.3%,32,-37.5%
TEN,1-4,27,-12.4%,27,-13.1%,24,2.3%,23,-19.4%
MIN,3-2,28,-14.6%,28,-14.2%,30,-9.9%,19,-12.7%
SF,2-4,29,-14.9%,29,-15.7%,29,-9.4%,18,-12.5%
STL,2-3,30,-20.4%,30,-21.0%,28,-6.7%,21,-18.0%
TB,2-3,31,-23.3%,31,-22.1%,31,-12.8%,26,-23.3%
DEN,6-0,32,-27.9%,32,-27.3%,32,-22.4%,29,-27.2%
