Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,4-0,1,38.1%,1,38.1%,2,62.1%,1,16.0%
CIN,5-0,2,32.3%,2,32.3%,1,68.2%,6,5.7%
ARI,4-1,3,25.4%,3,25.4%,4,47.7%,4,7.4%
PIT,3-2,4,22.0%,4,22.0%,5,41.1%,2,8.9%
GB,5-0,5,20.9%,5,20.9%,3,49.0%,11,-3.4%
ATL,5-0,6,13.8%,6,13.8%,9,24.6%,3,8.6%
NYG,3-2,7,9.1%,7,9.1%,6,35.0%,21,-16.8%
BUF,3-2,8,8.3%,8,8.3%,8,29.7%,15,-8.2%
NO,1-4,9,3.4%,9,3.4%,16,13.3%,10,-2.5%
SD,2-3,10,2.8%,10,2.8%,7,32.0%,28,-24.4%
CAR,4-0,11,1.3%,11,1.3%,15,16.7%,17,-11.5%
KC,1-4,12,-0.6%,12,-0.6%,24,1.0%,5,7.2%
SEA,2-3,13,-1.4%,13,-1.4%,19,8.7%,9,-1.0%
BAL,1-4,14,-1.8%,14,-1.8%,26,0.2%,8,1.5%
OAK,2-3,15,-1.9%,15,-1.9%,12,19.0%,20,-16.2%
TEN,1-3,16,-2.0%,16,-2.0%,10,24.2%,22,-17.3%
WAS,2-3,17,-2.2%,17,-2.2%,13,18.8%,24,-19.1%
JAX,1-4,18,-3.0%,18,-3.0%,14,18.3%,30,-31.2%
CLE,2-3,19,-3.5%,19,-3.5%,11,21.4%,27,-24.0%
MIN,2-2,20,-3.8%,20,-3.8%,27,-3.8%,7,1.6%
NYJ,3-1,21,-3.8%,21,-3.8%,18,9.0%,14,-6.5%
PHI,2-3,22,-4.6%,22,-4.6%,20,7.3%,18,-12.5%
IND,3-2,23,-5.0%,23,-5.0%,17,9.7%,25,-21.7%
DAL,2-3,24,-5.3%,24,-5.3%,21,7.0%,13,-6.2%
CHI,2-3,25,-10.1%,25,-10.1%,22,5.4%,16,-10.1%
MIA,1-3,26,-13.0%,26,-13.0%,29,-6.6%,19,-12.6%
HOU,1-4,27,-13.1%,27,-13.1%,23,2.0%,29,-27.4%
DET,0-5,28,-14.9%,28,-14.9%,25,0.4%,32,-37.7%
SF,1-4,29,-17.4%,29,-17.4%,32,-19.3%,12,-5.8%
STL,2-3,30,-19.7%,30,-19.7%,28,-4.5%,23,-19.0%
TB,2-3,31,-22.0%,31,-22.0%,30,-11.5%,26,-21.9%
DEN,5-0,32,-26.7%,32,-26.7%,31,-16.1%,31,-32.0%
