Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,1-0,1,56.6%,1,56.6%,4,96.8%,4,20.3%
ARI,1-0,2,53.2%,2,53.2%,5,92.1%,13,-7.4%
BUF,1-0,3,50.6%,3,50.6%,2,146.4%,6,4.2%
NE,1-0,4,44.6%,4,44.6%,3,100.7%,22,-26.6%
SF,1-0,5,42.7%,5,42.7%,10,42.0%,1,60.7%
CIN,1-0,6,40.8%,6,40.8%,6,77.6%,5,7.1%
TEN,1-0,7,34.9%,7,34.9%,1,170.7%,20,-24.5%
PIT,0-1,8,29.4%,8,29.4%,7,68.4%,7,3.4%
NYJ,1-0,9,24.9%,9,24.9%,13,30.3%,3,20.9%
KC,1-0,10,19.5%,10,19.5%,8,61.2%,26,-34.5%
SD,1-0,11,18.5%,11,18.5%,9,46.7%,16,-11.0%
IND,0-1,12,11.9%,12,11.9%,15,20.7%,12,-4.7%
CHI,0-1,13,5.3%,13,5.3%,22,0.3%,2,29.4%
DAL,1-0,14,3.1%,14,3.1%,14,25.5%,25,-33.2%
STL,1-0,15,3.1%,15,3.1%,11,40.4%,24,-31.8%
ATL,1-0,16,-1.1%,16,-1.1%,12,38.2%,27,-36.0%
MIA,1-0,17,-2.6%,17,-2.6%,17,7.4%,14,-8.0%
HOU,0-1,18,-4.2%,18,-4.2%,16,12.1%,18,-16.7%
PHI,0-1,19,-5.8%,19,-5.8%,23,-4.6%,9,1.7%
DET,0-1,20,-6.2%,20,-6.2%,19,4.9%,21,-26.5%
WAS,0-1,21,-9.2%,21,-9.2%,21,2.4%,10,-1.5%
NYG,0-1,22,-11.1%,22,-11.1%,24,-9.1%,11,-3.9%
NO,0-1,23,-12.3%,23,-12.3%,20,3.9%,28,-37.0%
CAR,1-0,24,-16.7%,24,-16.7%,18,5.7%,29,-37.0%
SEA,0-1,25,-19.0%,25,-19.0%,25,-18.2%,15,-10.3%
MIN,0-1,26,-22.6%,26,-22.6%,26,-19.6%,17,-16.0%
JAX,0-1,27,-35.6%,27,-35.6%,30,-53.1%,8,2.7%
CLE,0-1,28,-40.7%,28,-40.7%,27,-20.1%,31,-46.2%
OAK,0-1,29,-40.8%,29,-40.8%,28,-31.6%,30,-39.5%
DEN,1-0,30,-49.3%,30,-49.3%,29,-41.0%,23,-29.0%
BAL,0-1,31,-57.4%,31,-57.4%,32,-95.9%,19,-20.3%
TB,0-1,32,-78.9%,32,-78.9%,31,-83.5%,32,-51.5%
