Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,9-4,1,-22.7%,1,-21.3%,3,-14.1%,1,-36.7%
IND,11-2,2,-15.4%,2,-14.5%,1,-19.9%,10,-10.1%
TEN,7-6,3,-12.8%,6,-9.3%,2,-16.4%,15,-7.4%
SEA,9-4,4,-11.4%,3,-13.0%,4,-12.3%,12,-10.0%
BAL,4-9,5,-11.1%,5,-9.4%,16,7.8%,2,-31.5%
TB,8-5,6,-9.8%,4,-11.4%,8,-6.6%,7,-13.7%
NE,13-0,7,-7.2%,10,-4.2%,5,-9.8%,20,-4.0%
MIN,7-6,8,-6.6%,8,-6.1%,12,4.6%,3,-27.6%
DAL,12-1,9,-6.3%,7,-6.6%,9,-3.8%,11,-10.0%
KC,4-9,10,-5.8%,12,-3.9%,6,-8.9%,22,-2.3%
SD,8-5,11,-4.0%,9,-5.1%,7,-7.8%,29,0.6%
NYG,9-4,12,-2.6%,11,-4.2%,14,6.9%,6,-15.6%
WAS,6-7,13,-2.3%,17,0.9%,11,1.4%,14,-8.2%
GB,11-2,14,-1.8%,14,-0.6%,15,7.4%,8,-13.6%
CHI,5-8,15,-1.5%,13,-2.4%,24,12.3%,4,-16.9%
PHI,5-8,16,1.3%,20,2.6%,21,10.5%,9,-10.6%
JAX,9-4,17,1.5%,15,0.3%,13,6.7%,18,-6.5%
ARI,6-7,18,1.8%,16,0.9%,17,8.7%,13,-8.5%
CAR,5-8,19,2.2%,18,2.1%,20,10.1%,16,-6.9%
BUF,7-6,20,2.9%,19,2.1%,18,8.9%,19,-5.1%
DEN,6-7,21,4.3%,22,4.3%,25,12.8%,21,-3.9%
STL,3-10,22,4.4%,21,3.1%,19,9.2%,26,-1.5%
ATL,3-10,23,6.0%,24,5.9%,23,11.1%,28,-0.2%
DET,6-7,24,6.1%,23,5.5%,22,11.0%,24,-2.0%
HOU,6-7,25,7.3%,25,6.4%,26,13.4%,27,-0.8%
NO,6-7,26,9.0%,26,8.0%,32,26.9%,5,-16.5%
CIN,5-8,27,9.3%,28,8.7%,30,22.4%,17,-6.8%
OAK,4-9,28,9.5%,29,9.7%,10,0.6%,32,17.3%
SF,3-10,29,10.9%,31,11.4%,28,22.2%,25,-1.8%
CLE,8-5,30,12.7%,30,10.5%,31,24.1%,23,-2.1%
MIA,0-13,31,13.2%,32,11.5%,29,22.4%,30,6.7%
NYJ,3-10,32,13.4%,27,8.2%,27,17.4%,31,9.9%
