Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
TEN,6-2,1,-30.2%,1,-31.6%,1,-33.1%,4,-24.8%
PIT,6-2,2,-23.9%,2,-21.6%,4,-19.1%,2,-31.8%
IND,7-1,3,-19.0%,3,-19.2%,3,-25.1%,8,-11.2%
NE,9-0,4,-18.9%,4,-18.8%,2,-25.8%,13,-9.3%
BAL,4-4,5,-16.0%,6,-15.0%,11,2.2%,1,-35.9%
DAL,7-1,6,-13.1%,5,-15.8%,6,-9.7%,5,-18.2%
WAS,5-3,7,-10.2%,7,-10.4%,5,-10.3%,11,-10.1%
MIN,3-5,8,-9.7%,8,-8.7%,12,2.5%,3,-30.4%
KC,4-4,9,-9.1%,9,-8.7%,7,-8.4%,12,-10.1%
TB,5-4,10,-8.0%,10,-7.8%,9,-5.4%,10,-10.6%
SEA,4-4,11,-7.0%,11,-6.3%,10,-5.2%,15,-9.3%
GB,7-1,12,-4.1%,14,-2.9%,15,3.5%,7,-14.2%
NYG,6-2,13,-1.6%,12,-4.9%,16,3.9%,14,-9.3%
CAR,4-4,14,-1.4%,13,-3.2%,14,3.1%,18,-6.6%
ARI,3-5,15,0.7%,15,0.1%,20,6.8%,17,-6.7%
ATL,2-6,16,2.7%,17,2.5%,19,6.5%,23,-1.8%
BUF,4-4,17,2.8%,16,0.5%,21,7.5%,21,-3.6%
DET,6-2,18,2.9%,18,2.7%,18,5.6%,24,-1.3%
JAX,5-3,19,3.5%,19,3.1%,13,2.6%,28,4.7%
CHI,3-5,20,3.7%,20,5.2%,24,16.9%,9,-10.9%
PHI,3-5,21,4.1%,21,6.6%,23,14.2%,16,-8.6%
SD,4-4,22,6.2%,22,7.1%,17,4.8%,29,8.0%
HOU,4-5,23,6.5%,23,7.7%,22,11.9%,25,-0.1%
OAK,2-6,24,8.2%,25,7.9%,8,-7.8%,32,23.2%
NO,4-4,25,8.9%,24,7.7%,29,29.8%,6,-17.8%
STL,0-8,26,9.3%,26,9.1%,26,24.0%,19,-4.3%
SF,2-6,27,10.6%,27,11.8%,25,23.8%,22,-3.5%
DEN,3-5,28,11.4%,28,14.2%,27,24.4%,26,1.2%
CLE,5-3,29,17.0%,29,16.9%,31,33.5%,20,-3.8%
CIN,2-6,30,17.3%,31,19.4%,28,29.2%,27,3.9%
MIA,0-8,31,18.5%,30,19.4%,30,32.6%,30,8.2%
NYJ,1-8,32,24.7%,32,24.1%,32,40.0%,31,12.3%
