Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
TEN,5-2,1,-27.0%,1,-27.5%,1,-28.2%,4,-24.5%
PIT,5-2,2,-19.5%,3,-17.2%,7,-10.6%,1,-33.5%
BAL,4-3,3,-17.5%,2,-17.4%,10,-4.7%,2,-32.3%
IND,7-0,4,-17.1%,5,-16.5%,3,-22.6%,10,-10.2%
NE,8-0,5,-16.8%,4,-17.0%,2,-24.0%,15,-6.1%
WAS,4-3,6,-13.8%,6,-14.2%,6,-14.5%,8,-12.8%
KC,4-3,7,-11.0%,8,-11.3%,4,-15.4%,17,-5.6%
DAL,6-1,8,-10.1%,7,-12.0%,11,-4.3%,5,-18.3%
SEA,4-3,9,-9.7%,9,-9.1%,9,-7.5%,9,-12.5%
GB,6-1,10,-6.3%,11,-5.7%,14,1.2%,7,-16.0%
TB,4-4,11,-6.1%,10,-6.2%,12,-2.5%,12,-9.4%
MIN,2-5,12,-5.0%,14,-3.6%,20,10.7%,3,-31.2%
JAX,5-2,13,-4.3%,12,-4.8%,8,-9.3%,26,2.1%
NYG,6-2,14,-2.0%,13,-4.4%,17,2.9%,13,-9.0%
ARI,3-4,15,-1.0%,15,-1.8%,15,1.6%,18,-4.5%
SD,4-3,16,-0.9%,17,-0.3%,13,-0.8%,23,-1.0%
CAR,4-3,17,0.3%,16,-0.5%,18,5.2%,16,-5.6%
PHI,3-4,18,0.4%,20,2.3%,19,6.2%,14,-7.4%
BUF,3-4,19,1.2%,18,0.1%,16,2.6%,24,-0.5%
OAK,2-5,20,2.6%,19,1.9%,5,-15.3%,32,20.9%
CHI,3-5,21,4.2%,21,5.1%,24,17.2%,11,-10.2%
HOU,3-5,22,6.5%,23,7.7%,23,14.1%,21,-3.2%
NO,3-4,23,7.6%,22,6.8%,28,28.1%,6,-17.7%
ATL,1-6,24,8.0%,24,7.8%,22,13.6%,25,1.5%
DET,5-2,25,9.0%,25,8.2%,21,13.0%,28,3.2%
STL,0-8,26,9.0%,26,8.8%,26,23.2%,20,-4.3%
DEN,3-4,27,12.3%,27,14.2%,27,23.8%,29,3.6%
CIN,2-5,28,12.6%,29,14.7%,25,21.1%,27,2.9%
SF,2-5,29,13.2%,28,14.4%,29,28.7%,19,-4.3%
CLE,4-3,30,16.6%,30,17.0%,30,31.7%,22,-1.6%
MIA,0-8,31,20.1%,31,20.8%,31,34.7%,31,9.5%
NYJ,1-7,32,25.6%,32,25.2%,32,44.3%,30,9.3%
