Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,2-0,1,-47.7%,1,-47.7%,2,-54.8%,3,-35.8%
DEN,2-0,2,-37.5%,2,-37.5%,1,-96.7%,19,0.6%
BAL,1-1,3,-27.0%,3,-27.0%,13,-7.0%,1,-53.8%
NE,2-0,4,-26.0%,4,-26.0%,9,-16.9%,2,-40.9%
MIN,1-1,5,-23.0%,5,-23.0%,7,-17.5%,4,-33.8%
KC,0-2,6,-21.7%,6,-21.7%,3,-35.0%,16,-7.1%
HOU,2-0,7,-15.8%,7,-15.8%,6,-17.7%,13,-11.7%
CHI,1-1,8,-13.8%,8,-13.8%,15,-4.6%,6,-23.5%
PHI,0-2,9,-13.6%,9,-13.6%,11,-12.5%,9,-15.0%
IND,2-0,10,-12.7%,10,-12.7%,10,-13.9%,14,-11.3%
SF,2-0,11,-12.4%,11,-12.4%,12,-8.0%,8,-18.2%
GB,2-0,12,-11.9%,12,-11.9%,5,-20.0%,20,1.1%
DET,2-0,13,-9.1%,13,-9.1%,8,-17.0%,24,2.5%
STL,0-2,14,-7.3%,14,-7.3%,16,0.1%,10,-13.6%
TB,1-1,15,-5.0%,15,-5.0%,21,13.0%,5,-26.4%
WAS,2-0,16,-3.2%,16,-3.2%,17,1.1%,11,-12.2%
ARI,1-1,17,-2.6%,17,-2.6%,14,-6.5%,26,3.6%
SEA,1-1,18,1.9%,18,1.9%,18,1.7%,23,2.1%
CAR,1-1,19,2.0%,19,2.0%,25,20.5%,7,-23.1%
CIN,1-1,20,2.2%,20,2.2%,19,1.8%,25,2.7%
JAX,1-1,21,3.7%,21,3.7%,4,-24.6%,32,24.0%
ATL,0-2,22,5.1%,22,5.1%,26,23.2%,12,-11.8%
SD,1-1,23,7.6%,23,7.6%,24,19.5%,18,-3.9%
TEN,1-1,24,8.5%,24,8.5%,22,16.6%,17,-5.3%
MIA,0-2,25,11.8%,25,11.8%,23,19.1%,28,6.2%
OAK,0-2,26,14.0%,26,14.0%,20,11.6%,29,17.1%
DAL,2-0,27,15.5%,27,15.5%,27,23.9%,21,1.3%
BUF,0-2,28,32.5%,28,32.5%,28,46.1%,31,19.0%
CLE,1-1,29,33.8%,29,33.8%,30,74.0%,15,-7.6%
NYJ,0-2,30,37.5%,30,37.5%,29,73.3%,27,5.7%
NO,0-2,31,45.3%,31,45.3%,31,85.1%,30,17.1%
NYG,0-2,32,55.4%,32,55.4%,32,103.0%,22,1.9%
