Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,9-3,1,-25.5%,1,-24.4%,2,-18.4%,1,-36.1%
BAL,4-8,2,-15.5%,2,-14.5%,10,-2.3%,2,-30.1%
IND,10-2,3,-14.4%,3,-14.0%,1,-20.5%,14,-7.3%
SEA,8-4,4,-12.2%,4,-13.6%,4,-14.6%,10,-9.0%
KC,4-8,5,-11.5%,5,-11.5%,3,-16.0%,16,-6.2%
TEN,7-5,6,-11.1%,8,-7.9%,5,-13.1%,12,-8.2%
TB,8-4,7,-9.8%,6,-11.3%,7,-7.4%,8,-12.6%
NE,12-0,8,-9.0%,10,-5.7%,6,-11.9%,19,-5.2%
DAL,11-1,9,-8.3%,7,-9.8%,8,-5.0%,7,-13.6%
MIN,6-6,10,-6.7%,9,-6.5%,14,5.2%,3,-28.4%
NYG,8-4,11,-2.8%,11,-4.0%,15,6.7%,4,-16.2%
WAS,5-7,12,-2.0%,15,0.8%,12,1.3%,15,-7.2%
SD,7-5,13,-1.8%,13,-1.9%,11,-2.1%,26,-1.5%
ARI,6-6,14,-1.0%,12,-2.5%,13,3.4%,13,-7.6%
CHI,5-7,15,-0.9%,14,-1.0%,22,12.0%,6,-14.9%
GB,10-2,16,-0.7%,16,1.0%,16,7.3%,9,-11.3%
PHI,5-7,17,2.1%,21,5.0%,18,10.1%,11,-8.4%
CAR,5-7,18,2.9%,18,2.8%,19,10.6%,17,-6.1%
ATL,3-9,19,3.3%,17,2.8%,17,8.3%,25,-2.6%
BUF,6-6,20,4.0%,19,3.8%,20,11.3%,18,-5.6%
JAX,8-4,21,5.5%,22,5.4%,21,11.6%,23,-3.4%
STL,3-9,22,5.9%,20,4.6%,23,13.8%,21,-4.4%
DET,6-6,23,7.5%,23,7.3%,24,14.6%,22,-3.7%
DEN,5-7,24,7.8%,25,8.0%,26,17.5%,27,-1.4%
HOU,5-7,25,8.3%,24,8.0%,25,15.3%,28,-0.6%
OAK,4-8,26,8.7%,26,8.5%,9,-2.8%,32,19.2%
NO,5-7,27,9.6%,28,8.7%,32,28.0%,5,-15.6%
MIA,0-12,28,10.3%,27,8.6%,28,19.4%,30,3.7%
CIN,4-8,29,10.3%,30,11.2%,30,22.8%,20,-5.2%
SF,3-9,30,11.3%,31,11.8%,29,21.7%,29,-0.3%
NYJ,3-9,31,13.5%,29,9.4%,27,18.1%,31,9.4%
CLE,7-5,32,14.0%,32,12.7%,31,26.5%,24,-2.7%
