Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,1-0,1,-62.6%,1,-62.6%,1,-71.5%,4,-40.6%
SD,1-0,2,-45.1%,2,-45.1%,8,-40.2%,2,-49.7%
MIN,1-0,3,-38.4%,3,-38.4%,6,-46.5%,6,-29.2%
CIN,1-0,4,-36.8%,4,-36.8%,5,-55.7%,14,-5.4%
PHI,0-1,5,-35.5%,5,-35.5%,9,-39.4%,7,-26.2%
HOU,1-0,6,-30.2%,6,-30.2%,3,-58.6%,28,22.4%
IND,1-0,7,-26.1%,7,-26.1%,7,-41.0%,15,-4.0%
DEN,1-0,8,-24.4%,8,-24.4%,2,-67.7%,22,12.5%
SEA,1-0,9,-21.4%,9,-21.4%,11,-26.5%,10,-13.8%
ARI,0-1,10,-16.8%,10,-16.8%,10,-35.0%,23,13.9%
GB,1-0,11,-12.9%,11,-12.9%,12,-23.8%,19,0.7%
CAR,1-0,12,-10.7%,12,-10.7%,18,8.1%,1,-51.1%
SF,1-0,13,-8.8%,13,-8.8%,13,-19.4%,17,0.4%
BAL,0-1,14,-6.0%,14,-6.0%,23,23.2%,3,-48.4%
TEN,1-0,15,-5.6%,15,-5.6%,16,4.0%,8,-22.0%
NE,1-0,16,-2.4%,16,-2.4%,20,13.1%,5,-30.1%
KC,0-1,17,0.8%,17,0.8%,15,3.8%,16,-1.4%
WAS,1-0,18,0.9%,18,0.9%,21,13.3%,9,-20.3%
CHI,0-1,19,1.1%,19,1.1%,22,13.7%,12,-8.9%
MIA,0-1,20,1.6%,20,1.6%,14,-6.8%,20,5.9%
JAX,0-1,21,6.2%,21,6.2%,4,-57.5%,31,40.2%
DET,1-0,22,8.9%,22,8.9%,17,5.8%,24,14.6%
TB,0-1,23,12.7%,23,12.7%,25,38.5%,11,-9.2%
ATL,0-1,24,13.1%,24,13.1%,19,10.3%,25,16.0%
CLE,0-1,25,18.1%,25,18.1%,30,60.1%,13,-5.4%
STL,0-1,26,19.7%,26,19.7%,27,41.0%,18,0.6%
OAK,0-1,27,25.9%,27,25.9%,24,26.4%,29,24.7%
BUF,0-1,28,28.9%,28,28.9%,28,47.0%,21,8.7%
DAL,1-0,29,32.7%,29,32.7%,26,38.6%,27,21.5%
NO,0-1,30,48.0%,30,48.0%,29,54.6%,32,41.2%
NYJ,0-1,31,67.0%,31,67.0%,31,133.7%,26,16.8%
NYG,0-1,32,89.2%,32,89.2%,32,168.6%,30,25.5%
