Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
TEN,10-6,1,-13.9%,4,-9.2%,1,-17.7%,16,-7.8%
IND,13-3,2,-13.5%,3,-10.2%,2,-12.9%,4,-14.1%
PIT,10-6,3,-12.7%,11,-5.9%,7,-5.1%,2,-23.9%
TB,9-7,4,-11.2%,1,-12.3%,3,-11.9%,12,-10.5%
SD,11-5,5,-7.5%,2,-11.3%,4,-11.6%,22,-2.1%
BAL,5-11,6,-6.8%,13,-2.8%,24,12.0%,1,-27.4%
WAS,9-7,7,-6.6%,7,-6.9%,9,-2.6%,6,-13.1%
SEA,10-6,8,-6.2%,10,-6.4%,11,-1.1%,5,-13.3%
DAL,13-3,9,-6.0%,8,-6.7%,8,-3.6%,13,-9.7%
NE,16-0,10,-5.7%,18,-0.4%,5,-6.4%,18,-4.8%
PHI,8-8,11,-4.8%,9,-6.7%,13,0.9%,8,-12.5%
CHI,7-9,12,-4.8%,5,-8.2%,14,1.4%,10,-12.1%
MIN,8-8,13,-3.4%,16,-1.5%,18,7.7%,3,-22.7%
NYG,10-6,14,-3.3%,6,-7.1%,15,2.9%,11,-11.3%
KC,4-12,15,-3.2%,21,2.3%,6,-5.6%,26,-0.6%
GB,13-3,16,-1.5%,19,0.6%,16,4.5%,14,-8.9%
JAX,11-5,17,-1.2%,12,-4.4%,10,-1.3%,24,-1.1%
CAR,7-9,18,0.5%,15,-1.7%,21,10.9%,9,-12.3%
BUF,7-9,19,1.5%,14,-2.4%,17,6.6%,19,-4.7%
ARI,8-8,20,3.6%,23,4.7%,23,11.6%,15,-7.9%
STL,3-13,21,5.3%,22,2.8%,20,10.8%,23,-1.3%
DEN,7-9,22,5.7%,26,7.2%,25,12.4%,25,-0.8%
ATL,4-12,23,6.3%,28,9.1%,22,11.5%,27,0.0%
OAK,4-12,24,7.3%,25,5.8%,12,0.8%,32,13.4%
CLE,10-6,25,7.4%,20,1.1%,28,16.2%,21,-3.2%
SF,5-11,26,7.9%,27,7.2%,29,18.9%,17,-5.2%
NO,7-9,27,8.2%,24,5.5%,31,22.8%,7,-12.8%
HOU,8-8,28,9.2%,29,10.5%,27,15.8%,28,0.4%
NYJ,4-12,29,9.3%,17,-1.0%,19,10.0%,31,8.7%
DET,7-9,30,10.4%,32,13.3%,26,15.5%,29,2.8%
CIN,7-9,31,11.5%,30,12.0%,32,23.9%,20,-3.6%
MIA,1-15,32,13.8%,31,12.9%,30,22.2%,30,7.1%
