Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,3-0,1,-39.6%,1,-39.6%,2,-39.7%,3,-39.4%
NE,3-0,2,-28.7%,2,-28.7%,4,-30.1%,4,-26.9%
MIN,1-2,3,-24.2%,3,-24.2%,10,-9.6%,1,-47.5%
KC,1-2,4,-23.0%,4,-23.0%,3,-35.5%,15,-9.6%
IND,3-0,5,-22.7%,5,-22.7%,5,-25.5%,7,-18.9%
TB,2-1,6,-21.5%,6,-21.5%,6,-22.1%,6,-20.9%
DEN,2-1,7,-19.6%,7,-19.6%,1,-41.3%,18,-6.7%
BAL,2-1,8,-13.8%,8,-13.8%,20,6.4%,2,-45.2%
TEN,2-1,9,-12.5%,9,-12.5%,7,-13.9%,13,-9.9%
PHI,1-2,10,-12.4%,10,-12.4%,8,-13.1%,11,-11.1%
DAL,3-0,11,-7.4%,11,-7.4%,12,-4.3%,10,-12.2%
WAS,2-1,12,-6.6%,12,-6.6%,11,-7.8%,20,-4.8%
HOU,2-1,13,-4.4%,13,-4.4%,15,1.9%,8,-14.6%
GB,3-0,14,-2.2%,14,-2.2%,16,2.9%,14,-9.6%
SF,2-1,15,-2.0%,15,-2.0%,14,-1.2%,21,-2.9%
CIN,1-2,16,-1.1%,16,-1.1%,13,-2.7%,23,1.1%
CHI,1-2,17,0.6%,17,0.6%,22,10.7%,12,-10.7%
ARI,1-2,18,1.2%,18,1.2%,19,6.1%,19,-5.6%
JAX,2-1,19,1.2%,19,1.2%,9,-10.3%,29,10.6%
SEA,2-1,20,2.2%,20,2.2%,21,9.7%,17,-7.5%
CAR,2-1,21,5.0%,21,5.0%,25,23.7%,5,-24.8%
STL,0-3,22,6.0%,22,6.0%,17,3.3%,26,8.1%
OAK,1-2,23,7.9%,23,7.9%,18,4.6%,31,12.6%
ATL,0-3,24,11.2%,24,11.2%,24,18.2%,25,4.7%
SD,1-2,25,14.1%,25,14.1%,27,25.1%,22,-1.6%
MIA,0-3,26,14.7%,26,14.7%,26,23.8%,27,8.2%
DET,2-1,27,17.2%,27,17.2%,23,13.8%,32,21.5%
CLE,1-2,28,21.9%,28,21.9%,28,54.3%,16,-7.8%
NO,0-3,29,27.6%,29,27.6%,30,61.3%,24,2.0%
NYG,1-2,30,27.7%,30,27.7%,31,62.8%,9,-12.4%
BUF,0-3,31,33.6%,31,33.6%,29,58.4%,30,11.4%
NYJ,1-2,32,38.2%,32,38.2%,32,67.3%,28,10.3%
