Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,3-1,1,-23.4%,1,-23.4%,4,-21.2%,3,-26.9%
NE,4-0,2,-21.1%,2,-21.1%,2,-22.9%,5,-18.6%
TB,3-1,3,-18.9%,3,-18.9%,3,-21.7%,7,-15.7%
SEA,3-1,4,-17.1%,4,-17.1%,6,-18.7%,9,-14.8%
MIN,1-3,5,-16.9%,5,-16.9%,15,-5.0%,1,-38.2%
KC,2-2,6,-16.0%,6,-16.0%,1,-29.2%,21,-0.5%
TEN,2-1,7,-14.1%,7,-14.1%,7,-16.4%,14,-9.6%
IND,4-0,8,-13.5%,8,-13.5%,5,-19.3%,17,-7.0%
BAL,2-2,9,-13.3%,9,-13.3%,18,4.7%,2,-35.7%
PHI,1-3,10,-10.5%,10,-10.5%,8,-12.2%,15,-7.8%
DAL,4-0,11,-7.6%,11,-7.6%,12,-5.5%,11,-10.9%
WAS,2-1,12,-7.2%,12,-7.2%,13,-5.4%,13,-10.2%
ARI,2-2,13,-6.2%,13,-6.2%,16,1.8%,6,-16.9%
GB,4-0,14,-4.8%,14,-4.8%,14,-5.1%,20,-4.3%
CHI,1-3,15,-3.5%,15,-3.5%,20,6.7%,8,-15.2%
HOU,2-2,16,-1.7%,16,-1.7%,21,10.9%,4,-19.5%
SF,2-2,17,0.1%,17,0.1%,22,11.4%,10,-12.0%
JAX,2-1,18,0.8%,18,0.8%,10,-11.6%,29,10.9%
DEN,2-2,19,2.4%,19,2.4%,9,-12.2%,30,11.8%
OAK,2-2,20,3.4%,20,3.4%,11,-5.7%,31,15.7%
DET,3-1,21,3.7%,21,3.7%,17,2.0%,25,6.2%
NYG,2-2,22,6.5%,22,6.5%,24,17.6%,16,-7.4%
CIN,1-3,23,6.6%,23,6.6%,19,6.0%,26,7.4%
CAR,2-2,24,10.7%,24,10.7%,28,28.1%,12,-10.7%
ATL,1-3,25,11.3%,25,11.3%,25,19.1%,22,2.5%
SD,1-3,26,11.6%,26,11.6%,23,17.2%,24,4.3%
STL,0-4,27,17.6%,27,17.6%,27,27.2%,28,9.2%
MIA,0-4,28,18.3%,28,18.3%,26,21.4%,32,16.5%
CLE,2-2,29,20.1%,29,20.1%,30,42.6%,18,-6.3%
NO,0-3,30,21.1%,30,21.1%,31,55.5%,19,-5.0%
BUF,1-3,31,23.9%,31,23.9%,29,39.4%,27,7.6%
NYJ,1-3,32,30.4%,32,30.4%,32,57.2%,23,3.4%
