Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
KC,6-1,1,38.5%,1,38.0%,1,37.4%,1,36.8%,27,9.3%,26,8.9%,1,10.4%,1,10.1%
LAR,7-0,2,35.8%,2,35.6%,2,33.0%,2,33.4%,12,-4.4%,12,-4.1%,14,-1.6%,14,-1.9%
LAC,5-2,3,19.5%,3,19.5%,3,28.0%,3,27.7%,17,1.2%,17,1.0%,31,-7.4%,30,-7.1%
BAL,4-3,4,19.0%,4,19.2%,11,8.0%,11,8.0%,4,-13.1%,4,-13.3%,15,-2.1%,15,-2.1%
DEN,3-4,5,16.9%,5,17.3%,8,11.6%,8,11.8%,9,-8.3%,9,-8.6%,19,-3.0%,19,-3.1%
NO,5-1,6,16.3%,6,16.9%,4,21.5%,4,21.9%,23,5.1%,23,4.9%,9,-0.2%,9,-0.1%
CHI,3-3,7,15.2%,7,15.0%,13,5.1%,13,5.5%,1,-15.2%,1,-14.9%,25,-5.1%,28,-5.4%
NE,5-2,8,11.1%,8,11.7%,5,14.5%,5,14.6%,18,2.0%,18,1.6%,12,-1.4%,12,-1.2%
SEA,3-3,9,8.9%,9,9.6%,18,-0.5%,18,0.2%,5,-12.9%,5,-13.1%,21,-3.6%,21,-3.7%
CAR,4-2,10,8.7%,10,9.0%,9,10.6%,9,10.8%,21,3.4%,20,3.2%,7,1.5%,7,1.4%
MIA,4-3,11,8.0%,11,7.5%,14,4.1%,15,4.2%,15,-0.3%,15,0.4%,3,3.6%,3,3.7%
PIT,3-2-1,12,4.8%,12,5.3%,6,12.7%,6,12.7%,19,3.1%,19,2.7%,24,-4.8%,25,-4.7%
HOU,4-3,13,4.1%,13,3.9%,25,-12.4%,25,-12.7%,3,-13.7%,3,-13.8%,5,2.8%,5,2.8%
IND,2-5,14,1.5%,14,2.0%,20,-1.0%,20,-0.6%,14,-0.7%,14,-0.6%,6,1.8%,6,1.9%
MIN,4-2-1,15,1.0%,15,0.5%,17,1.3%,17,1.1%,13,-4.0%,13,-3.5%,22,-4.3%,22,-4.0%
GB,3-2-1,16,-1.9%,16,-1.8%,7,11.8%,7,12.1%,25,6.6%,25,6.7%,30,-7.1%,31,-7.2%
DAL,3-4,17,-3.7%,17,-4.0%,24,-8.7%,24,-8.9%,11,-6.0%,11,-5.8%,11,-1.1%,11,-0.9%
WAS,4-2,18,-6.4%,18,-6.5%,21,-3.9%,21,-3.9%,20,3.3%,22,3.6%,8,0.7%,8,1.0%
JAX,3-4,19,-6.8%,19,-7.5%,27,-16.4%,28,-16.9%,7,-9.9%,7,-9.8%,10,-0.3%,10,-0.4%
CIN,4-3,20,-8.2%,20,-9.5%,16,3.2%,16,2.6%,26,8.8%,27,9.5%,17,-2.6%,17,-2.7%
NYJ,3-4,21,-9.3%,21,-10.0%,29,-22.5%,29,-22.2%,10,-6.6%,10,-5.8%,2,6.7%,2,6.4%
PHI,3-4,22,-10.7%,22,-10.9%,23,-6.8%,23,-6.5%,16,0.5%,16,1.0%,20,-3.5%,20,-3.4%
ATL,3-4,23,-11.2%,23,-11.2%,10,9.2%,10,9.8%,31,18.8%,31,19.3%,13,-1.6%,13,-1.7%
DET,3-3,24,-13.8%,24,-11.8%,15,3.8%,14,4.9%,29,12.4%,29,12.0%,28,-5.2%,24,-4.6%
NYG,1-6,25,-14.6%,25,-14.1%,19,-0.6%,19,-0.2%,28,11.7%,28,11.6%,16,-2.3%,16,-2.3%
CLE,2-4-1,26,-17.5%,27,-17.2%,30,-23.9%,30,-23.6%,2,-14.2%,2,-13.8%,32,-7.8%,32,-7.4%
TEN,3-4,27,-17.5%,26,-17.1%,28,-16.9%,27,-16.7%,22,3.7%,21,3.4%,4,3.1%,4,2.9%
TB,3-3,28,-21.3%,28,-22.4%,12,7.7%,12,6.7%,32,23.9%,32,24.0%,26,-5.1%,26,-5.1%
OAK,1-5,29,-25.6%,29,-26.7%,22,-4.4%,22,-4.8%,30,16.1%,30,16.7%,26,-5.1%,27,-5.2%
SF,1-6,30,-28.3%,30,-28.2%,26,-15.6%,26,-15.3%,24,6.3%,24,6.5%,29,-6.4%,29,-6.5%
ARI,1-6,31,-34.1%,31,-33.5%,31,-40.1%,31,-39.7%,8,-8.7%,8,-9.0%,18,-2.8%,18,-2.7%
BUF,2-5,32,-46.0%,32,-45.0%,32,-52.8%,32,-52.7%,6,-11.2%,6,-12.0%,23,-4.4%,23,-4.3%
