Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
KC,5-1,1,33.1%,1,32.6%,2,33.9%,2,33.7%,29,14.4%,29,14.4%,1,13.6%,1,13.2%
LAR,6-0,2,28.5%,2,28.2%,1,34.2%,1,34.2%,18,2.9%,21,3.1%,16,-2.9%,16,-2.9%
CHI,3-2,3,25.5%,3,25.9%,14,4.0%,14,4.4%,1,-20.9%,1,-20.9%,9,0.6%,9,0.5%
BAL,4-2,4,23.0%,4,22.2%,13,5.3%,13,4.9%,2,-19.3%,3,-18.8%,13,-1.6%,13,-1.5%
LAC,4-2,5,20.5%,5,21.1%,3,26.8%,3,26.6%,13,-1.4%,13,-1.7%,31,-7.7%,30,-7.1%
NO,4-1,6,16.4%,6,17.0%,4,21.2%,4,21.1%,21,3.7%,19,3.0%,12,-1.1%,12,-1.1%
MIA,4-2,7,14.1%,7,14.1%,15,2.5%,15,2.6%,10,-6.6%,11,-6.2%,3,5.0%,3,5.3%
SEA,3-3,8,7.7%,8,8.3%,18,-1.9%,17,-1.4%,5,-13.1%,4,-13.4%,20,-3.6%,19,-3.7%
CIN,4-2,9,6.9%,9,6.6%,5,13.9%,5,14.1%,24,5.3%,24,5.6%,14,-1.7%,14,-1.8%
PIT,3-2-1,10,5.8%,10,5.8%,9,12.5%,7,12.9%,15,1.9%,15,2.3%,24,-4.8%,24,-4.8%
NE,4-2,11,5.6%,11,5.7%,7,12.9%,6,13.0%,20,3.0%,20,3.1%,21,-4.3%,21,-4.3%
CAR,3-2,12,3.6%,12,3.3%,12,6.0%,12,6.0%,23,4.7%,23,4.9%,6,2.2%,7,2.2%
DEN,2-4,13,2.1%,13,1.5%,11,9.1%,11,9.0%,16,2.5%,18,2.9%,22,-4.5%,23,-4.6%
JAX,3-3,14,0.1%,14,0.1%,26,-12.9%,26,-12.8%,4,-13.1%,5,-13.0%,10,-0.2%,11,-0.2%
GB,3-2-1,15,-1.0%,15,-1.3%,8,12.6%,8,12.8%,25,6.5%,25,6.9%,30,-7.1%,31,-7.2%
NYJ,3-3,16,-1.3%,17,-2.7%,28,-17.5%,28,-17.8%,9,-8.0%,9,-7.2%,2,8.3%,2,7.8%
HOU,3-3,17,-2.4%,16,-2.4%,27,-15.1%,27,-15.0%,8,-9.3%,8,-9.3%,4,3.4%,4,3.2%
DAL,3-3,18,-3.3%,18,-2.9%,25,-9.3%,25,-9.2%,11,-6.2%,10,-6.3%,11,-0.2%,10,0.0%
MIN,3-2-1,19,-5.5%,19,-6.4%,16,0.0%,16,0.3%,14,-0.7%,14,0.4%,28,-6.2%,29,-6.3%
PHI,3-3,20,-6.2%,20,-6.8%,22,-6.1%,21,-5.8%,12,-2.8%,12,-1.9%,17,-2.9%,17,-2.9%
IND,1-5,21,-8.1%,21,-7.9%,23,-7.4%,23,-7.2%,19,2.9%,17,2.9%,7,2.2%,6,2.3%
WAS,3-2,22,-9.0%,22,-9.3%,20,-5.2%,20,-5.5%,22,4.5%,22,4.8%,8,0.7%,8,0.9%
ATL,2-4,23,-12.0%,23,-11.7%,10,9.5%,10,10.5%,31,18.8%,31,19.4%,15,-2.8%,15,-2.9%
NYG,1-5,24,-14.2%,24,-14.2%,17,-1.6%,18,-1.4%,27,9.4%,27,9.6%,18,-3.2%,18,-3.2%
TEN,3-3,25,-19.1%,25,-19.1%,29,-19.5%,29,-19.2%,17,2.5%,16,2.7%,5,2.9%,5,2.8%
TB,2-3,26,-19.3%,27,-19.8%,6,13.1%,9,12.4%,32,27.7%,32,27.7%,23,-4.7%,22,-4.6%
SF,1-5,27,-21.0%,28,-20.5%,24,-8.2%,24,-7.3%,26,7.2%,26,7.5%,26,-5.6%,27,-5.7%
CLE,2-3-1,28,-21.1%,29,-20.9%,30,-22.9%,30,-22.6%,6,-12.2%,6,-12.0%,32,-10.4%,32,-10.3%
DET,2-3,29,-21.4%,26,-19.3%,19,-4.5%,19,-3.3%,28,10.0%,28,9.9%,29,-6.9%,28,-6.1%
ARI,1-5,30,-24.6%,30,-24.5%,31,-31.2%,31,-31.0%,7,-10.1%,7,-10.3%,19,-3.5%,20,-3.8%
OAK,1-5,31,-28.1%,31,-28.1%,21,-6.0%,22,-5.8%,30,17.0%,30,17.1%,25,-5.1%,25,-5.3%
BUF,2-4,32,-39.4%,32,-38.0%,32,-52.8%,32,-52.4%,3,-19.1%,2,-19.9%,27,-5.6%,26,-5.6%
