Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
KC,7-1,1,36.8%,1,35.9%,1,35.2%,1,34.5%,27,7.1%,27,6.4%,1,8.8%,1,7.8%
LAR,8-0,2,30.3%,2,29.6%,2,28.9%,2,29.0%,13,-2.7%,12,-1.9%,13,-1.3%,14,-1.3%
LAC,5-2,3,18.0%,3,19.1%,3,26.6%,3,25.7%,18,1.2%,17,0.7%,31,-7.4%,29,-5.9%
CAR,5-2,4,17.8%,4,18.3%,5,16.6%,5,16.9%,16,0.3%,15,0.0%,8,1.5%,9,1.4%
CHI,4-3,5,17.5%,5,18.2%,10,8.1%,10,10.0%,1,-15.2%,1,-14.6%,29,-5.7%,31,-6.4%
NO,6-1,6,15.6%,6,17.5%,4,18.6%,4,18.8%,23,4.2%,18,2.7%,9,1.2%,8,1.4%
DEN,3-5,7,12.8%,8,12.4%,11,7.8%,11,8.0%,7,-8.6%,7,-8.4%,23,-3.7%,24,-3.9%
SEA,4-3,8,12.7%,7,14.0%,18,2.2%,16,3.4%,3,-12.7%,3,-13.0%,18,-2.2%,17,-2.5%
BAL,4-4,9,10.2%,10,8.8%,13,4.2%,17,3.4%,9,-7.5%,9,-6.6%,14,-1.5%,13,-1.2%
NE,6-2,10,10.1%,9,11.1%,7,13.2%,7,13.8%,15,0.2%,16,0.1%,19,-2.9%,19,-2.6%
HOU,5-3,11,8.0%,11,8.4%,24,-6.9%,24,-6.5%,2,-12.9%,2,-13.5%,5,2.0%,7,1.5%
PIT,4-2-1,12,6.1%,12,7.0%,6,13.9%,6,15.1%,23,4.2%,23,4.7%,22,-3.6%,22,-3.4%
GB,3-3-1,13,4.5%,13,4.6%,8,12.8%,8,13.4%,19,2.4%,19,2.7%,30,-5.9%,30,-6.1%
MIA,4-4,14,3.6%,15,2.6%,14,3.7%,15,3.7%,25,4.4%,25,6.0%,3,4.3%,3,4.9%
IND,3-5,15,2.2%,14,3.1%,16,3.6%,13,4.7%,21,3.2%,22,3.5%,7,1.8%,6,1.9%
MIN,4-3-1,16,1.3%,16,0.6%,19,0.4%,19,1.3%,11,-5.8%,11,-4.2%,25,-4.9%,26,-4.8%
WAS,5-2,17,-0.6%,17,-0.9%,21,-2.7%,22,-3.5%,14,-1.6%,14,-1.3%,10,0.6%,10,1.3%
CIN,5-3,18,-0.6%,19,-2.5%,12,5.1%,14,4.6%,22,4.0%,24,5.2%,16,-1.7%,16,-1.9%
DAL,3-4,19,-2.0%,18,-1.4%,25,-8.9%,25,-8.7%,8,-8.0%,8,-7.9%,11,-1.1%,11,-0.6%
JAX,3-5,20,-6.6%,20,-7.1%,26,-15.3%,26,-15.4%,10,-6.8%,10,-6.3%,6,2.0%,5,2.0%
PHI,4-4,21,-8.6%,21,-9.3%,22,-4.5%,21,-3.1%,17,0.7%,21,3.0%,21,-3.4%,21,-3.2%
ATL,3-4,22,-11.2%,23,-10.8%,9,8.3%,9,10.4%,30,17.9%,30,19.5%,15,-1.6%,15,-1.7%
NYJ,3-5,23,-14.7%,26,-18.0%,29,-24.7%,30,-24.8%,12,-3.9%,13,-1.6%,2,6.2%,2,5.3%
DET,3-4,24,-15.1%,22,-10.4%,15,3.7%,12,6.9%,29,13.6%,29,13.5%,27,-5.3%,23,-3.7%
NYG,1-7,25,-15.6%,24,-15.3%,23,-4.7%,23,-4.5%,28,9.7%,28,9.8%,12,-1.2%,12,-1.0%
TEN,3-4,26,-18.5%,25,-17.9%,28,-19.0%,28,-17.9%,20,2.6%,20,2.8%,4,3.1%,4,2.8%
CLE,2-5-1,27,-21.3%,27,-21.2%,30,-25.2%,29,-24.6%,5,-11.3%,6,-10.3%,32,-7.4%,32,-6.8%
OAK,1-6,28,-24.7%,28,-25.3%,20,-0.1%,20,0.1%,31,19.7%,31,20.2%,26,-4.9%,27,-5.1%
TB,3-4,29,-25.2%,29,-27.0%,17,3.4%,18,1.6%,32,24.0%,32,24.4%,24,-4.6%,25,-4.3%
SF,1-7,30,-28.3%,30,-28.2%,27,-17.0%,27,-16.0%,26,5.6%,26,6.3%,28,-5.6%,28,-5.9%
ARI,2-6,31,-29.7%,31,-29.4%,31,-38.1%,31,-37.6%,6,-10.6%,5,-10.7%,17,-2.2%,18,-2.5%
BUF,2-6,32,-42.9%,32,-40.6%,32,-51.5%,32,-50.7%,4,-11.5%,4,-12.9%,20,-2.9%,20,-2.8%
