Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
KC,10-2,1,40.1%,1,39.9%,1,40.8%,1,41.4%,26,7.2%,22,6.1%,1,6.5%,4,4.5%
LAR,11-1,2,28.8%,4,27.9%,2,28.6%,3,27.6%,14,-1.1%,14,-0.9%,18,-0.8%,18,-0.6%
NO,10-2,3,27.8%,2,32.4%,4,20.0%,4,20.7%,9,-6.9%,4,-10.3%,11,1.0%,11,1.4%
LAC,9-3,4,27.6%,3,29.9%,3,27.6%,2,28.1%,11,-4.5%,10,-4.7%,29,-4.4%,28,-2.9%
DEN,6-6,5,20.5%,5,25.3%,9,9.0%,9,11.0%,2,-13.3%,2,-15.6%,22,-1.9%,20,-1.3%
PIT,7-4-1,6,14.3%,6,17.5%,5,17.3%,5,20.0%,15,-1.0%,13,-1.3%,28,-4.0%,29,-3.8%
NE,9-3,7,13.0%,7,14.9%,6,15.1%,6,16.4%,17,1.4%,16,1.7%,17,-0.8%,14,0.2%
CHI,8-4,8,12.9%,8,11.8%,18,-3.3%,20,-3.0%,1,-20.9%,1,-20.5%,30,-4.7%,32,-5.8%
BAL,7-5,9,12.3%,11,9.6%,16,-0.8%,19,-2.7%,5,-10.8%,8,-8.7%,7,2.3%,5,3.7%
SEA,7-5,10,10.1%,10,10.9%,8,9.1%,8,11.8%,16,0.3%,19,3.4%,10,1.3%,8,2.5%
HOU,9-3,11,9.6%,9,11.2%,19,-3.6%,15,-0.7%,4,-11.1%,5,-10.0%,8,2.1%,10,1.8%
GB,4-7-1,12,4.9%,13,7.0%,7,13.3%,7,14.3%,22,5.3%,21,5.3%,24,-3.1%,23,-2.1%
IND,6-6,13,4.6%,12,9.2%,13,0.9%,12,4.5%,13,-3.4%,11,-4.7%,12,0.3%,16,0.0%
MIN,6-5-1,14,2.8%,14,4.5%,17,-1.6%,16,-1.6%,8,-8.0%,7,-8.9%,27,-3.6%,25,-2.8%
CAR,6-6,15,1.6%,15,1.3%,10,8.8%,10,9.7%,25,6.6%,24,6.8%,16,-0.6%,21,-1.5%
DAL,7-5,16,-0.6%,17,0.4%,24,-8.4%,24,-7.5%,7,-9.5%,6,-9.5%,21,-1.6%,22,-1.6%
NYG,4-8,17,-2.1%,16,0.7%,14,0.3%,14,1.0%,24,6.3%,23,6.1%,3,3.9%,1,5.8%
JAX,4-8,18,-3.5%,18,-5.2%,28,-16.2%,28,-16.4%,6,-10.3%,9,-8.3%,6,2.4%,7,2.9%
ATL,4-8,19,-7.3%,19,-5.9%,11,7.2%,11,8.6%,30,15.8%,30,16.8%,9,1.3%,9,2.3%
PHI,6-6,20,-9.4%,21,-9.6%,21,-3.9%,17,-1.6%,21,4.2%,26,7.5%,19,-1.2%,17,-0.5%
MIA,6-6,21,-10.0%,25,-15.0%,22,-8.2%,26,-9.5%,23,5.5%,27,9.1%,5,3.6%,6,3.6%
CLE,4-7-1,22,-11.8%,20,-9.1%,25,-9.9%,22,-4.9%,12,-4.2%,15,-0.4%,32,-6.1%,30,-4.5%
CIN,5-7,23,-11.9%,26,-16.7%,15,-0.4%,18,-2.6%,29,11.2%,29,14.2%,14,-0.3%,15,0.1%
WAS,6-6,24,-12.0%,23,-13.8%,27,-13.2%,27,-15.7%,19,2.6%,17,3.1%,4,3.8%,2,5.0%
TEN,6-6,25,-14.4%,22,-12.4%,26,-11.5%,25,-8.1%,20,3.0%,18,3.2%,13,0.1%,19,-1.1%
TB,5-7,26,-17.9%,27,-18.4%,12,3.8%,13,1.5%,32,18.4%,31,17.1%,26,-3.3%,27,-2.8%
DET,4-8,27,-18.1%,24,-14.1%,23,-8.4%,23,-7.3%,28,8.3%,25,7.3%,20,-1.4%,12,0.6%
NYJ,3-9,28,-23.1%,29,-28.8%,30,-27.4%,30,-28.8%,18,1.6%,20,5.0%,2,5.9%,3,5.0%
BUF,4-8,29,-26.4%,28,-21.5%,31,-36.0%,31,-31.3%,3,-12.9%,3,-12.5%,25,-3.3%,26,-2.8%
OAK,2-10,30,-27.3%,30,-28.9%,20,-3.8%,21,-3.7%,31,18.1%,32,19.5%,31,-5.4%,31,-5.6%
SF,2-10,31,-29.4%,31,-31.1%,29,-18.6%,29,-19.6%,27,7.7%,28,9.2%,23,-3.1%,24,-2.4%
ARI,3-9,32,-33.0%,32,-34.0%,32,-38.0%,32,-38.6%,10,-5.4%,12,-4.2%,15,-0.4%,13,0.4%
