Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,11-0,1,39.4%,1,38.1%,1,28.0%,1,27.5%,3,-14.6%,3,-13.2%,26,-3.2%,25,-2.6%
MIN,10-1,2,34.2%,2,35.7%,5,16.3%,6,17.7%,7,-9.6%,7,-10.0%,1,8.4%,1,8.0%
IND,11-0,3,31.8%,4,30.9%,3,24.2%,3,23.9%,10,-8.1%,8,-7.2%,18,-0.4%,19,-0.1%
NE,7-4,4,31.4%,3,33.6%,2,26.5%,2,26.3%,13,-3.7%,12,-5.7%,13,1.3%,12,1.6%
PHI,7-4,5,29.6%,5,25.6%,12,9.8%,13,9.0%,4,-13.8%,6,-10.4%,4,6.0%,2,6.2%
BAL,6-5,6,25.7%,7,24.4%,10,13.6%,10,12.0%,5,-12.0%,5,-11.4%,16,0.2%,16,1.0%
ARI,7-4,7,22.7%,6,25.1%,8,13.8%,8,17.0%,11,-6.3%,13,-4.4%,9,2.6%,8,3.7%
GB,7-4,8,22.0%,9,21.6%,7,14.0%,9,14.4%,1,-18.0%,1,-18.5%,32,-10.1%,32,-11.3%
DAL,8-3,9,21.0%,8,23.8%,4,19.6%,4,18.5%,18,1.7%,16,-1.6%,8,3.1%,6,3.7%
PIT,6-5,10,14.8%,11,15.3%,11,13.0%,11,12.0%,6,-9.7%,4,-12.5%,31,-8.0%,31,-9.1%
HOU,5-6,11,12.6%,10,17.6%,9,13.8%,5,17.9%,20,4.4%,20,2.9%,7,3.2%,10,2.6%
SD,8-3,12,10.2%,12,15.0%,6,15.2%,7,17.6%,19,4.2%,19,0.9%,20,-0.8%,22,-1.7%
DEN,7-4,13,9.4%,14,4.5%,18,3.0%,19,0.9%,8,-9.2%,10,-5.9%,24,-2.8%,23,-2.4%
NYG,6-5,14,7.5%,16,2.7%,15,7.6%,16,6.1%,15,-3.4%,18,-0.4%,27,-3.4%,28,-3.9%
CIN,8-3,15,6.7%,13,9.8%,13,8.5%,12,9.0%,17,0.2%,17,-0.6%,23,-1.6%,17,0.2%
MIA,5-6,16,3.3%,15,3.2%,16,6.6%,15,6.3%,24,7.1%,25,8.4%,6,3.8%,5,5.3%
NYJ,5-6,17,2.8%,17,-0.9%,23,-14.6%,23,-15.1%,2,-15.8%,2,-14.1%,11,1.6%,18,0.2%
ATL,6-5,18,0.5%,18,-2.4%,17,6.2%,18,4.7%,23,5.1%,23,6.3%,19,-0.6%,20,-0.8%
SF,5-6,19,-4.5%,19,-3.9%,21,-13.3%,21,-11.3%,9,-8.6%,9,-6.4%,15,0.2%,15,1.0%
JAX,6-5,20,-6.7%,22,-11.0%,14,8.1%,14,7.4%,28,13.3%,31,15.9%,22,-1.4%,24,-2.5%
CAR,4-7,21,-12.9%,20,-6.8%,20,-12.2%,20,-8.2%,12,-4.5%,11,-5.9%,29,-5.1%,29,-4.4%
WAS,3-8,22,-13.1%,23,-12.2%,24,-15.0%,22,-14.5%,16,-3.2%,14,-4.1%,21,-1.4%,21,-1.7%
TEN,5-6,23,-13.5%,21,-9.1%,19,3.0%,17,5.9%,27,12.2%,28,12.2%,28,-4.2%,26,-2.8%
SEA,4-7,24,-17.4%,25,-20.2%,22,-13.8%,24,-15.7%,22,4.9%,22,5.6%,12,1.3%,13,1.2%
BUF,4-7,25,-19.7%,24,-18.6%,28,-24.2%,28,-24.4%,14,-3.6%,15,-3.7%,14,1.0%,11,2.2%
CHI,4-7,26,-20.3%,26,-22.9%,27,-22.2%,27,-22.9%,21,4.5%,21,5.5%,3,6.5%,4,5.4%
KC,3-8,27,-33.5%,29,-34.0%,29,-26.1%,29,-27.1%,26,11.3%,27,10.6%,5,3.9%,7,3.7%
STL,1-10,28,-37.0%,28,-33.9%,25,-17.7%,25,-16.2%,31,16.2%,29,14.6%,25,-3.1%,27,-3.1%
TB,1-10,29,-37.0%,28,-33.9%,25,-17.7%,25,-16.2%,31,16.2%,29,14.6%,25,-3.1%,27,-3.1%
CLE,1-10,30,-39.9%,31,-42.9%,31,-29.6%,32,-30.7%,32,17.8%,32,18.4%,2,7.5%,3,6.2%
OAK,3-8,31,-40.1%,30,-36.6%,32,-32.4%,31,-29.4%,25,7.7%,24,8.3%,17,-0.1%,14,1.1%
DET,2-9,32,-48.5%,32,-49.2%,30,-28.1%,30,-28.8%,30,15.2%,30,15.3%,30,-5.1%,30,-5.1%
