Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,5-2,1,40.1%,3,38.1%,11,12.5%,11,13.0%,1,-21.6%,1,-19.4%,5,6.0%,5,5.7%
NE,5-2,2,40.0%,1,41.8%,1,30.5%,1,30.6%,8,-9.8%,7,-11.8%,14,-0.3%,16,-0.5%
IND,7-0,3,37.6%,2,39.5%,3,27.2%,2,28.6%,10,-9.6%,8,-9.9%,11,0.8%,11,1.0%
NO,7-0,4,36.7%,4,35.5%,2,27.8%,3,26.6%,3,-17.0%,3,-16.2%,30,-8.0%,27,-7.2%
BAL,4-3,5,35.2%,5,35.5%,4,24.4%,4,24.1%,9,-9.7%,10,-9.6%,10,1.1%,9,1.8%
MIN,7-1,6,31.9%,6,33.2%,9,14.0%,8,14.7%,11,-6.4%,11,-6.6%,1,11.5%,2,11.9%
DAL,5-2,7,26.9%,7,28.2%,5,23.7%,6,22.4%,21,3.2%,20,1.0%,4,6.4%,4,6.8%
GB,4-3,8,26.8%,8,26.4%,7,17.5%,7,17.8%,4,-16.0%,4,-15.6%,27,-6.7%,26,-7.0%
DEN,6-1,9,24.9%,9,25.0%,10,13.3%,10,13.8%,2,-19.0%,2,-18.9%,28,-7.4%,29,-7.7%
ARI,4-3,10,16.4%,10,17.3%,18,1.5%,18,2.8%,6,-15.0%,5,-14.7%,13,-0.1%,13,-0.2%
PIT,5-2,11,13.0%,12,14.4%,6,21.6%,5,23.5%,18,0.3%,17,-0.2%,31,-8.3%,32,-9.4%
MIA,3-4,12,12.6%,11,15.0%,14,9.2%,12,10.6%,19,0.9%,19,0.6%,6,4.4%,6,5.0%
NYG,5-3,13,9.9%,13,9.8%,15,8.8%,15,9.0%,13,-3.8%,13,-3.6%,23,-2.7%,21,-2.8%
ATL,4-3,14,9.8%,14,8.6%,12,10.3%,14,9.8%,17,-1.0%,18,-0.1%,19,-1.5%,18,-1.3%
NYJ,4-4,15,4.5%,16,2.3%,21,-10.0%,22,-10.2%,5,-15.3%,6,-14.1%,18,-0.8%,19,-1.6%
HOU,5-3,16,4.4%,15,6.7%,13,9.3%,13,10.4%,24,8.1%,24,7.1%,8,3.2%,8,3.3%
CIN,5-2,17,2.1%,17,0.6%,8,14.0%,9,14.0%,22,4.5%,22,5.4%,29,-7.4%,30,-8.0%
SF,3-4,18,-1.9%,19,-2.1%,20,-9.8%,20,-8.9%,7,-10.7%,9,-9.8%,24,-2.7%,24,-3.0%
SD,4-3,19,-1.9%,18,-0.4%,16,7.7%,16,8.7%,23,7.0%,23,6.1%,22,-2.6%,23,-3.0%
JAX,3-4,20,-9.3%,20,-11.1%,17,3.7%,17,3.2%,27,14.7%,28,15.9%,9,1.7%,10,1.7%
SEA,2-5,21,-13.1%,21,-14.0%,19,-7.5%,19,-7.9%,20,3.0%,21,3.1%,21,-2.5%,22,-2.9%
WAS,2-5,22,-13.6%,22,-14.1%,24,-17.3%,24,-18.0%,12,-4.5%,12,-5.0%,16,-0.8%,17,-1.0%
CHI,4-3,23,-14.2%,23,-14.3%,27,-23.4%,26,-23.0%,15,-1.8%,16,-0.9%,3,7.5%,3,7.8%
CAR,3-4,24,-18.6%,24,-14.9%,23,-12.3%,21,-9.4%,14,-3.1%,14,-3.5%,32,-9.4%,31,-9.0%
BUF,3-5,25,-24.2%,25,-25.7%,28,-25.4%,28,-27.5%,16,-1.2%,15,-1.4%,12,-0.1%,12,0.5%
TEN,1-6,26,-32.5%,26,-34.3%,22,-10.3%,23,-11.0%,29,15.8%,29,17.8%,26,-6.3%,25,-5.5%
KC,1-6,27,-33.8%,27,-34.7%,29,-26.5%,29,-27.9%,26,10.7%,26,10.3%,7,3.4%,7,3.5%
STL,1-7,28,-41.8%,28,-40.8%,26,-21.7%,25,-21.3%,31,19.4%,31,19.0%,15,-0.6%,15,-0.5%
CLE,1-7,29,-42.1%,29,-42.1%,31,-35.3%,31,-36.1%,30,18.3%,30,18.2%,2,11.5%,1,12.1%
TB,0-7,30,-44.5%,30,-45.6%,25,-20.1%,27,-23.2%,32,23.5%,32,22.1%,17,-0.8%,14,-0.3%
OAK,2-6,31,-50.8%,32,-52.6%,32,-39.6%,32,-41.2%,25,9.6%,25,9.8%,20,-1.6%,20,-1.6%
DET,1-6,32,-51.1%,31,-51.9%,30,-29.6%,30,-29.3%,28,15.6%,27,15.0%,25,-6.0%,28,-7.6%
