Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DAL,4-3,1,27.5%,1,26.8%,3,44.4%,2,11.7%
KC,5-2,2,25.6%,2,25.0%,1,55.9%,21,-16.6%
SEA,5-2,3,16.9%,5,16.9%,2,54.5%,20,-15.6%
GB,6-1,4,16.9%,3,17.6%,5,38.8%,8,2.9%
MIN,5-2,5,16.6%,4,16.9%,7,27.4%,1,12.2%
BAL,5-2,6,14.2%,6,13.8%,12,24.3%,3,11.0%
NO,6-1,7,11.6%,7,11.8%,9,26.9%,12,-0.9%
OAK,3-3,8,8.9%,8,9.1%,10,26.0%,7,3.4%
IND,4-2,9,7.6%,9,7.2%,13,23.1%,16,-3.9%
HOU,4-3,10,6.2%,10,6.4%,11,24.5%,10,1.0%
DET,2-3-1,11,5.1%,11,5.3%,4,40.3%,27,-27.7%
JAX,3-4,12,5.0%,12,5.1%,6,28.1%,22,-16.9%
NE,7-0,13,4.8%,13,4.1%,14,20.5%,17,-5.8%
SF,6-0,14,3.0%,14,2.4%,15,14.2%,13,-1.9%
LAC,2-5,15,2.6%,15,2.4%,8,27.1%,29,-33.2%
ARI,3-3-1,16,0.5%,16,0.9%,24,1.7%,5,6.2%
LAR,4-3,17,0.4%,18,-0.3%,19,10.5%,9,2.5%
TB,2-4,18,0.3%,17,0.7%,18,10.8%,14,-2.5%
PHI,3-4,19,-1.5%,19,-1.5%,20,7.9%,19,-8.9%
CAR,4-2,20,-2.1%,21,-1.7%,22,3.0%,11,0.8%
ATL,1-6,21,-2.3%,20,-1.6%,17,12.8%,26,-24.4%
PIT,2-4,22,-4.8%,22,-5.1%,16,12.9%,25,-24.4%
BUF,5-1,23,-5.6%,23,-5.8%,26,-2.6%,4,8.2%
DEN,2-5,24,-11.8%,24,-12.2%,29,-15.1%,15,-2.8%
NYG,2-5,25,-12.5%,26,-13.0%,28,-10.1%,18,-7.3%
CHI,3-3,26,-12.7%,25,-12.8%,21,4.8%,28,-29.5%
CLE,2-4,27,-14.5%,27,-14.3%,30,-16.7%,6,4.9%
TEN,3-4,28,-14.9%,28,-15.4%,23,1.9%,24,-21.1%
WAS,1-6,29,-21.9%,29,-23.5%,25,-1.8%,30,-34.1%
CIN,0-7,30,-25.8%,30,-26.2%,27,-8.0%,32,-47.7%
NYJ,1-5,31,-38.7%,32,-39.2%,32,-46.2%,23,-20.6%
MIA,0-6,32,-39.6%,31,-39.1%,31,-30.9%,31,-47.0%
