Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
BAL,9-2,1,29.5%,1,31.9%,2,51.9%,1,19.6%
DAL,6-5,2,29.0%,2,28.6%,4,48.0%,3,7.8%
KC,7-4,3,24.9%,3,23.7%,3,49.8%,20,-11.2%
SEA,9-2,4,20.1%,4,19.8%,1,55.8%,18,-9.8%
MIN,8-3,5,14.0%,5,15.6%,6,32.5%,7,1.8%
NO,9-2,6,13.2%,6,14.7%,9,25.0%,4,5.2%
GB,8-3,7,12.3%,7,12.7%,5,33.5%,6,2.0%
NE,10-1,8,6.8%,10,5.2%,13,21.1%,14,-5.1%
ARI,3-7-1,9,6.7%,8,10.9%,19,8.8%,2,11.7%
OAK,6-5,10,6.2%,9,5.4%,10,24.2%,11,-2.9%
SF,10-1,11,4.9%,12,3.5%,11,23.0%,15,-5.5%
LAC,4-7,12,3.0%,13,1.8%,14,18.6%,22,-14.3%
TEN,6-5,13,2.6%,11,5.2%,8,27.5%,21,-11.9%
PHI,5-6,14,2.5%,15,0.9%,16,13.6%,16,-5.7%
HOU,7-4,15,1.5%,17,0.4%,12,22.7%,17,-9.2%
DET,3-7-1,16,1.1%,16,0.5%,7,29.0%,29,-25.3%
CLE,5-6,17,-0.8%,14,1.3%,17,11.7%,12,-3.9%
IND,6-5,18,-1.1%,19,-2.8%,23,3.4%,8,-0.2%
JAX,4-7,19,-2.1%,21,-4.6%,15,15.2%,24,-18.7%
ATL,3-8,20,-2.9%,20,-3.6%,18,11.7%,25,-18.8%
BUF,8-3,21,-3.6%,18,-2.7%,20,7.1%,9,-1.6%
LAR,6-5,22,-6.5%,23,-9.4%,22,3.8%,13,-4.3%
TB,4-7,23,-7.6%,22,-9.4%,21,3.9%,19,-10.7%
CAR,5-6,24,-9.5%,24,-10.4%,28,-12.5%,5,3.3%
NYG,2-9,25,-12.1%,25,-13.6%,25,-4.6%,23,-18.2%
DEN,3-8,26,-13.2%,26,-15.2%,29,-15.7%,10,-2.7%
CHI,5-6,27,-14.6%,27,-15.6%,24,-2.0%,27,-23.4%
PIT,6-5,28,-18.5%,29,-22.8%,26,-8.6%,26,-22.8%
NYJ,4-7,29,-23.7%,28,-21.4%,31,-18.1%,28,-24.2%
CIN,0-11,30,-24.6%,31,-25.9%,30,-16.3%,30,-25.4%
MIA,2-9,31,-25.7%,30,-23.0%,27,-11.0%,32,-46.7%
WAS,2-9,32,-29.3%,32,-32.6%,32,-18.3%,31,-29.5%
