Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DAL,5-4,1,29.9%,1,28.3%,3,48.6%,2,10.2%
KC,6-4,2,27.9%,2,26.1%,1,53.8%,17,-10.0%
BAL,7-2,3,20.7%,4,19.6%,6,37.2%,1,13.7%
SEA,8-2,4,19.0%,6,18.1%,2,53.7%,20,-12.3%
OAK,5-4,5,17.4%,3,19.7%,5,37.3%,5,6.7%
GB,8-2,6,16.9%,5,18.2%,4,38.5%,3,8.9%
MIN,7-3,7,14.7%,7,15.7%,8,31.6%,7,5.1%
NO,7-2,8,8.3%,8,8.7%,12,18.7%,8,2.6%
HOU,6-3,9,7.6%,9,7.5%,9,30.9%,12,-3.3%
LAC,4-6,10,6.7%,10,5.9%,10,24.5%,21,-13.1%
NE,8-1,11,3.9%,14,1.0%,14,16.3%,15,-5.6%
DET,3-5-1,12,3.8%,11,4.5%,7,35.8%,29,-29.7%
PHI,5-4,13,2.5%,12,2.4%,17,10.3%,11,-2.3%
SF,8-1,14,0.0%,18,-2.2%,16,14.1%,14,-4.9%
ATL,2-7,15,-0.1%,15,0.2%,15,15.9%,24,-18.5%
JAX,4-5,16,-0.4%,16,-1.6%,11,22.2%,26,-22.8%
ARI,3-6-1,17,-1.2%,13,1.3%,24,-0.2%,6,6.5%
IND,5-4,18,-2.1%,19,-4.3%,19,7.0%,16,-7.0%
CAR,5-4,19,-2.9%,17,-1.9%,25,-5.1%,4,7.2%
TEN,5-5,20,-4.7%,20,-5.0%,13,18.6%,23,-17.0%
LAR,5-4,21,-5.2%,22,-7.0%,20,5.1%,13,-4.1%
TB,3-6,22,-6.1%,21,-6.5%,18,7.4%,19,-11.3%
DEN,3-6,23,-8.4%,24,-9.7%,29,-9.2%,10,-1.1%
CLE,3-6,24,-10.4%,23,-8.8%,23,1.6%,18,-10.4%
BUF,6-3,25,-10.6%,25,-10.3%,28,-8.1%,9,1.3%
CHI,4-5,26,-12.0%,26,-12.7%,21,3.7%,25,-21.8%
NYG,2-8,27,-13.2%,27,-14.7%,27,-7.2%,22,-15.9%
PIT,5-4,28,-14.0%,28,-16.3%,22,3.2%,28,-29.0%
WAS,1-8,29,-23.0%,30,-27.6%,26,-6.8%,30,-31.4%
CIN,0-9,30,-24.4%,29,-25.6%,30,-9.4%,31,-36.2%
MIA,2-7,31,-31.5%,31,-29.0%,31,-16.2%,32,-50.8%
NYJ,2-7,32,-37.2%,32,-37.3%,32,-37.1%,27,-28.2%
