Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,4-1,1,28.3%,1,28.3%,2,56.9%,22,-14.6%
DAL,3-2,2,27.9%,2,27.9%,3,45.0%,3,10.7%
SEA,4-1,3,20.5%,3,20.5%,1,61.8%,20,-13.4%
SF,4-0,4,15.8%,4,15.8%,6,31.3%,6,9.9%
BAL,3-2,5,14.0%,5,14.0%,10,21.5%,4,10.5%
PHI,3-2,6,12.9%,6,12.9%,8,27.9%,15,-1.6%
JAX,2-3,7,11.2%,7,11.2%,5,34.6%,21,-13.5%
NE,5-0,8,9.9%,8,9.9%,7,28.6%,16,-3.2%
GB,4-1,9,6.4%,9,6.4%,9,25.6%,11,0.4%
IND,3-2,10,6.2%,10,6.2%,13,19.0%,14,-1.6%
LAR,3-2,11,4.6%,11,4.6%,17,13.8%,2,12.2%
MIN,3-2,12,4.5%,12,4.5%,24,1.9%,1,15.1%
NO,4-1,13,3.8%,13,3.8%,12,19.1%,19,-6.8%
OAK,3-2,14,3.8%,14,3.8%,18,13.0%,7,9.1%
HOU,3-2,15,3.7%,15,3.7%,11,19.8%,9,4.3%
LAC,2-3,16,2.6%,16,2.6%,15,16.8%,24,-16.1%
DET,2-1-1,17,1.9%,17,1.9%,4,37.6%,27,-24.8%
TB,2-3,18,1.4%,18,1.4%,14,17.3%,17,-4.7%
DEN,1-4,19,-0.4%,19,-0.4%,22,3.0%,13,-1.2%
ATL,1-4,20,-1.0%,20,-1.0%,16,14.9%,26,-24.5%
CAR,3-2,21,-4.6%,21,-4.6%,25,-1.7%,10,3.3%
NYG,2-3,22,-4.9%,22,-4.9%,23,2.5%,18,-5.0%
ARI,1-3-1,23,-7.9%,23,-7.9%,29,-12.5%,5,10.2%
PIT,1-4,24,-8.1%,24,-8.1%,21,6.1%,28,-25.4%
TEN,2-3,25,-9.2%,25,-9.2%,20,6.5%,23,-15.5%
CHI,3-2,26,-9.4%,26,-9.4%,19,8.9%,25,-22.3%
BUF,4-1,27,-10.2%,27,-10.2%,28,-8.7%,8,7.3%
CIN,0-5,28,-19.8%,28,-19.8%,26,-5.8%,30,-32.9%
CLE,2-3,29,-20.8%,29,-20.8%,30,-20.7%,12,-1.1%
WAS,0-5,30,-24.5%,30,-24.5%,27,-5.8%,31,-38.4%
NYJ,0-4,31,-43.6%,31,-43.6%,32,-47.0%,29,-30.3%
MIA,0-4,32,-52.0%,32,-52.0%,31,-42.4%,32,-64.7%
