Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
BAL,13-2,1,29.7%,1,33.4%,1,55.1%,1,16.7%
DAL,7-8,2,25.0%,3,21.9%,4,41.4%,4,5.8%
KC,11-4,3,23.6%,4,21.8%,2,49.1%,21,-11.3%
NO,12-3,4,20.9%,2,25.1%,5,39.2%,5,4.1%
SEA,11-4,5,17.0%,6,13.5%,3,45.5%,13,-4.3%
TEN,8-7,6,9.3%,5,17.1%,6,30.7%,10,-2.5%
GB,12-3,7,8.5%,7,7.0%,8,22.5%,3,6.0%
OAK,7-8,8,6.2%,12,3.2%,7,25.5%,17,-7.1%
SF,12-3,9,6.0%,9,4.6%,9,22.3%,8,-1.3%
MIN,10-5,10,5.5%,11,3.4%,12,19.5%,9,-1.7%
NE,12-3,11,5.1%,13,1.2%,15,16.4%,12,-3.2%
LAC,5-10,12,3.0%,14,1.2%,11,19.9%,22,-12.0%
ARI,5-9-1,13,2.4%,8,6.1%,23,0.7%,2,13.4%
ATL,6-9,14,2.3%,10,3.5%,13,18.2%,23,-14.0%
PHI,8-7,15,1.9%,17,-0.8%,16,13.0%,15,-4.7%
HOU,10-5,16,1.2%,16,-0.2%,10,20.2%,18,-8.2%
LAR,8-7,17,-0.2%,18,-2.2%,17,12.1%,14,-4.6%
IND,7-8,18,-2.5%,23,-6.7%,22,1.4%,7,-0.8%
DET,3-11-1,19,-3.0%,22,-6.5%,14,17.3%,27,-20.5%
CLE,6-9,20,-3.1%,15,0.2%,20,6.9%,11,-2.7%
BUF,10-5,21,-5.1%,19,-2.3%,18,8.2%,20,-8.7%
NYG,4-11,22,-6.4%,21,-6.3%,25,-1.1%,19,-8.3%
TB,7-8,23,-7.1%,20,-6.3%,19,7.7%,26,-18.2%
DEN,6-9,24,-9.4%,25,-10.0%,27,-5.8%,16,-6.7%
CHI,7-8,25,-10.2%,24,-9.0%,21,5.5%,29,-22.7%
JAX,5-10,26,-11.9%,28,-18.0%,24,0.2%,28,-21.9%
CAR,5-10,27,-13.0%,27,-16.6%,31,-17.1%,6,1.0%
WAS,3-12,28,-18.7%,30,-19.4%,28,-10.3%,24,-17.3%
CIN,1-14,29,-18.9%,29,-18.1%,29,-11.6%,25,-17.4%
MIA,4-11,30,-19.6%,26,-14.8%,26,-4.9%,32,-40.8%
PIT,8-7,31,-24.8%,32,-31.5%,30,-13.6%,31,-27.0%
NYJ,6-9,32,-26.3%,31,-21.6%,32,-22.1%,30,-25.9%
