Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,4-0,1,36.5%,1,36.5%,1,67.4%,19,-9.8%
DAL,3-1,2,33.5%,2,33.5%,2,54.3%,5,13.2%
BAL,2-2,3,25.8%,3,25.8%,4,40.7%,3,15.5%
PHI,2-2,4,16.6%,4,16.6%,7,32.6%,11,-0.1%
LAC,2-2,5,16.1%,5,16.1%,6,34.6%,15,-5.6%
SEA,3-1,6,13.7%,6,13.7%,3,46.9%,24,-17.3%
SF,3-0,7,12.7%,7,12.7%,9,29.4%,7,6.1%
NE,4-0,8,8.7%,8,8.7%,8,31.8%,18,-7.8%
IND,2-2,9,8.1%,9,8.1%,13,21.3%,10,0.1%
TB,2-2,10,6.2%,10,6.2%,10,27.2%,17,-6.8%
LAR,3-1,11,3.7%,11,3.7%,17,10.2%,2,16.5%
MIN,2-2,12,3.5%,12,3.5%,28,-12.7%,1,18.9%
DEN,0-4,13,2.5%,13,2.5%,19,9.9%,14,-5.0%
JAX,2-2,14,1.6%,14,1.6%,11,23.6%,23,-16.9%
DET,2-1-1,15,1.5%,15,1.5%,5,36.0%,26,-23.9%
GB,3-1,16,0.0%,16,0.0%,12,21.9%,20,-10.1%
NYG,2-2,17,-1.3%,17,-1.3%,21,7.7%,13,-0.8%
NO,3-1,18,-2.6%,18,-2.6%,20,9.0%,16,-6.4%
PIT,1-3,19,-2.6%,19,-2.6%,14,11.9%,25,-23.8%
TEN,2-2,20,-3.3%,20,-3.3%,18,10.0%,21,-11.9%
ATL,1-3,21,-3.8%,21,-3.8%,16,10.3%,27,-23.9%
HOU,2-2,22,-6.2%,22,-6.2%,26,-5.7%,4,13.9%
OAK,2-2,23,-8.1%,23,-8.1%,24,1.0%,12,-0.7%
CLE,2-2,24,-8.6%,24,-8.6%,25,-2.7%,8,1.1%
CAR,2-2,25,-9.1%,25,-9.1%,23,1.3%,22,-15.0%
CHI,3-1,26,-9.5%,26,-9.5%,15,10.4%,28,-25.0%
BUF,3-1,27,-13.0%,27,-13.0%,27,-10.4%,6,6.3%
ARI,0-3-1,28,-15.5%,28,-15.5%,30,-19.1%,9,0.2%
WAS,0-4,29,-16.6%,29,-16.6%,22,6.5%,31,-43.2%
NYJ,0-3,30,-28.4%,30,-28.4%,29,-18.3%,29,-32.7%
CIN,0-4,31,-32.7%,31,-32.7%,31,-22.3%,30,-40.0%
MIA,0-4,32,-53.0%,32,-53.0%,32,-45.6%,32,-61.2%
