Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DAL,3-0,1,56.2%,1,56.2%,2,83.4%,1,31.1%
KC,3-0,2,48.0%,2,48.0%,1,90.4%,16,-11.4%
BAL,2-1,3,37.0%,3,37.0%,5,56.5%,2,24.4%
NE,3-0,4,26.3%,4,26.3%,4,68.6%,17,-11.7%
SEA,2-1,5,21.9%,5,21.9%,3,72.9%,27,-32.1%
IND,2-1,6,19.4%,6,19.4%,7,40.3%,7,6.9%
SF,3-0,7,11.8%,7,11.8%,9,34.5%,9,0.8%
LAC,1-2,8,10.5%,8,10.5%,14,21.7%,10,-0.6%
MIN,2-1,9,10.0%,9,10.0%,23,-3.4%,3,18.4%
HOU,2-1,10,7.8%,10,7.8%,15,19.3%,6,11.3%
PHI,1-2,11,5.5%,11,5.5%,10,26.7%,22,-19.4%
WAS,0-3,12,4.6%,12,4.6%,8,36.8%,30,-42.2%
DET,2-0-1,13,2.8%,13,2.8%,6,41.4%,25,-24.3%
JAX,1-2,14,1.3%,14,1.3%,11,26.4%,29,-38.4%
NO,2-1,15,0.7%,15,0.7%,12,22.2%,20,-18.0%
LAR,3-0,16,0.3%,16,0.3%,21,-1.3%,4,14.8%
TEN,1-2,17,-1.9%,17,-1.9%,19,2.2%,11,-1.1%
BUF,3-0,18,-2.8%,18,-2.8%,17,8.8%,8,2.8%
NYG,1-2,19,-3.4%,19,-3.4%,22,-2.5%,5,13.2%
GB,3-0,20,-6.0%,20,-6.0%,13,21.9%,18,-14.1%
CAR,1-2,21,-7.1%,21,-7.1%,18,5.0%,19,-14.7%
ATL,1-2,22,-7.1%,22,-7.1%,16,10.5%,26,-30.8%
DEN,0-3,23,-7.7%,23,-7.7%,24,-5.5%,15,-7.8%
CHI,2-1,24,-11.2%,24,-11.2%,20,1.4%,21,-18.7%
OAK,1-2,25,-15.3%,25,-15.3%,25,-10.2%,13,-4.5%
TB,1-2,26,-15.7%,26,-15.7%,26,-10.2%,14,-5.3%
ARI,0-2-1,27,-20.7%,27,-20.7%,30,-23.5%,12,-3.2%
PIT,0-3,28,-24.1%,28,-24.1%,29,-21.3%,24,-24.2%
CLE,1-2,29,-24.8%,29,-24.8%,27,-13.5%,23,-23.8%
CIN,0-3,30,-32.4%,30,-32.4%,28,-18.0%,31,-54.3%
NYJ,0-3,31,-41.0%,31,-41.0%,31,-36.9%,28,-37.0%
MIA,0-3,32,-67.5%,32,-67.5%,32,-60.6%,32,-74.4%
