Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ATL,2-2,1,26.3%,1,26.3%,3,48.8%,6,4.2%
SEA,2-1,2,24.8%,2,24.8%,9,34.5%,1,24.4%
CLE,1-2,3,20.9%,3,20.9%,7,41.6%,5,4.9%
DEN,2-1,4,20.5%,4,20.5%,1,56.5%,24,-25.0%
CIN,3-0,5,19.5%,5,19.5%,5,43.4%,9,3.1%
GB,2-2,6,17.7%,6,17.7%,6,41.6%,21,-21.9%
BAL,3-1,7,17.3%,7,17.3%,4,48.2%,13,-7.7%
NO,1-3,8,16.7%,8,16.7%,16,22.4%,2,16.6%
DAL,3-1,9,12.6%,9,12.6%,17,19.5%,3,14.4%
PIT,2-2,10,11.9%,10,11.9%,14,23.7%,4,12.4%
IND,2-2,11,9.2%,11,9.2%,8,39.3%,27,-27.2%
KC,2-2,12,7.1%,12,7.1%,13,24.1%,15,-10.5%
WAS,1-3,13,4.3%,13,4.3%,21,13.4%,7,4.2%
DET,3-1,14,3.9%,14,3.9%,10,29.9%,25,-26.8%
CHI,2-2,15,3.8%,15,3.8%,15,22.9%,18,-15.3%
SD,3-1,16,2.7%,16,2.7%,2,49.6%,32,-45.2%
SF,2-2,17,2.0%,17,2.0%,18,18.4%,11,-3.3%
NYG,2-2,18,1.6%,18,1.6%,20,14.2%,14,-7.7%
CAR,2-2,19,-2.6%,19,-2.6%,11,25.8%,31,-37.8%
ARI,3-0,20,-2.8%,20,-2.8%,12,24.6%,22,-22.9%
MIA,2-2,21,-4.1%,21,-4.1%,24,-1.4%,10,2.3%
PHI,3-1,22,-9.9%,22,-9.9%,22,6.8%,28,-34.7%
HOU,3-1,23,-10.1%,23,-10.1%,19,15.6%,26,-27.0%
BUF,2-2,24,-11.0%,24,-11.0%,25,-1.7%,19,-15.6%
MIN,2-2,25,-11.1%,25,-11.1%,23,0.2%,12,-7.5%
TEN,1-3,26,-14.6%,26,-14.6%,27,-11.4%,8,4.0%
NE,2-2,27,-16.3%,27,-16.3%,26,-7.1%,20,-20.9%
STL,1-2,28,-18.4%,28,-18.4%,28,-16.0%,17,-14.5%
NYJ,1-3,29,-22.7%,29,-22.7%,30,-19.8%,16,-13.4%
TB,1-3,30,-31.4%,30,-31.4%,31,-29.5%,23,-24.4%
OAK,0-4,31,-31.8%,31,-31.8%,29,-19.7%,30,-34.9%
JAX,0-4,32,-35.0%,32,-35.0%,32,-31.6%,29,-34.8%
