Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,5-1,1,32.3%,1,31.9%,1,70.4%,14,-7.9%
GB,5-2,2,21.1%,2,21.3%,4,45.1%,12,-7.5%
BAL,5-2,3,17.8%,3,18.3%,3,46.4%,8,-5.4%
DAL,6-1,4,17.2%,4,17.7%,6,34.6%,2,9.1%
SEA,3-3,5,14.5%,6,13.7%,11,24.2%,1,24.7%
SD,5-2,6,13.7%,5,14.3%,2,53.5%,32,-24.7%
NO,2-4,7,12.8%,7,12.7%,13,20.4%,3,8.9%
IND,5-2,8,8.6%,9,9.0%,5,35.7%,29,-23.5%
KC,3-3,9,8.6%,8,9.4%,9,26.2%,13,-7.6%
ATL,2-5,10,7.6%,10,7.4%,12,23.0%,10,-6.4%
PIT,4-3,11,5.5%,11,5.5%,17,16.7%,5,1.9%
CLE,3-3,12,5.3%,13,5.0%,10,24.8%,11,-6.8%
MIA,3-3,13,4.9%,12,5.1%,16,16.7%,4,3.0%
CAR,3-3-1,14,2.6%,14,2.4%,8,26.5%,31,-24.0%
NE,5-2,15,2.1%,15,2.3%,7,31.6%,28,-22.5%
CIN,3-2-1,16,1.5%,17,0.8%,15,17.3%,9,-5.5%
CHI,3-4,17,1.3%,16,0.8%,14,18.2%,17,-11.2%
SF,4-3,18,-1.6%,18,-1.7%,18,16.1%,19,-11.7%
NYG,3-4,19,-2.8%,19,-2.3%,19,13.8%,18,-11.6%
WAS,2-5,20,-3.3%,22,-3.8%,23,9.1%,15,-7.9%
PHI,5-1,21,-3.4%,21,-3.6%,24,8.7%,22,-15.6%
TEN,2-5,22,-3.4%,20,-3.5%,22,10.0%,7,-5.1%
HOU,3-4,23,-4.6%,24,-4.7%,21,12.1%,20,-12.0%
STL,2-4,24,-5.0%,23,-4.1%,25,7.1%,16,-9.7%
ARI,5-1,25,-10.3%,25,-10.3%,20,13.2%,30,-23.8%
DET,5-2,26,-11.6%,26,-11.8%,26,0.5%,27,-22.0%
OAK,0-6,27,-16.6%,27,-16.3%,27,-6.0%,25,-19.9%
BUF,4-3,28,-17.7%,29,-18.5%,28,-8.9%,26,-21.5%
NYJ,1-6,29,-18.2%,28,-18.5%,29,-13.7%,21,-12.6%
TB,1-5,30,-27.3%,30,-27.2%,30,-25.2%,23,-18.4%
JAX,1-6,31,-29.7%,31,-29.2%,31,-32.8%,24,-19.8%
MIN,2-5,32,-30.3%,32,-30.1%,32,-37.3%,6,-3.1%
