Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,12-4,1,25.2%,1,27.6%,1,49.9%,10,-0.8%
PIT,11-5,2,22.9%,2,23.8%,2,46.1%,9,-0.6%
DEN,12-4,3,20.3%,6,15.0%,3,39.7%,4,5.2%
SEA,12-4,4,17.4%,5,16.4%,8,28.7%,1,23.4%
DAL,12-4,5,17.2%,3,19.8%,4,36.0%,3,6.6%
NE,12-4,6,13.9%,4,18.2%,5,35.5%,12,-4.5%
MIA,8-8,7,10.4%,7,10.6%,12,17.7%,2,12.8%
NO,7-9,8,10.1%,9,5.1%,10,20.9%,8,0.1%
BAL,10-6,9,9.8%,8,7.2%,6,31.2%,14,-5.3%
SD,9-7,10,7.0%,10,4.6%,7,29.6%,27,-17.0%
ATL,6-10,11,6.9%,12,3.1%,9,24.5%,21,-13.2%
KC,9-7,12,5.4%,11,4.2%,15,13.3%,5,4.8%
PHI,10-6,13,1.1%,13,0.8%,18,11.3%,11,-3.3%
SF,8-8,14,-0.3%,15,-0.7%,16,12.7%,15,-6.3%
NYG,6-10,15,-0.5%,14,0.5%,13,17.1%,20,-12.9%
CHI,5-11,16,-0.8%,19,-6.1%,14,15.1%,16,-9.4%
CIN,10-5-1,17,-0.9%,18,-6.1%,22,6.2%,7,0.4%
IND,11-5,18,-1.3%,21,-7.8%,11,19.2%,32,-26.9%
DET,11-5,19,-3.5%,17,-4.3%,19,10.5%,28,-18.6%
CAR,7-8-1,20,-4.9%,20,-6.7%,21,7.1%,17,-10.0%
HOU,9-7,21,-6.5%,22,-8.2%,17,11.9%,26,-16.6%
MIN,7-9,22,-7.6%,16,-2.6%,28,-6.2%,6,1.9%
ARI,11-5,23,-9.2%,24,-10.0%,20,7.8%,29,-19.5%
CLE,7-9,24,-10.3%,27,-20.2%,23,5.3%,24,-16.4%
STL,6-10,25,-11.0%,25,-11.0%,27,-6.1%,13,-5.0%
BUF,9-7,26,-11.2%,26,-12.2%,24,-0.4%,23,-15.6%
NYJ,4-12,27,-11.6%,23,-9.0%,25,-2.2%,19,-12.9%
WAS,4-12,28,-12.8%,29,-22.4%,26,-5.1%,18,-10.4%
TEN,2-14,29,-16.1%,30,-23.4%,29,-7.2%,25,-16.4%
OAK,3-13,30,-19.9%,28,-21.1%,30,-10.2%,30,-23.2%
JAX,3-13,31,-24.8%,31,-23.5%,32,-28.2%,22,-14.1%
TB,2-14,32,-26.5%,32,-30.0%,31,-18.7%,31,-25.5%
