Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
PIT,10-5,1,24.0%,2,24.4%,1,47.2%,7,2.2%
GB,11-4,2,24.0%,1,25.7%,2,46.8%,10,-1.0%
DEN,11-4,3,20.4%,6,15.2%,3,42.2%,6,2.7%
SEA,11-4,4,18.4%,5,17.5%,8,30.5%,1,24.3%
DAL,11-4,5,16.7%,4,19.3%,5,37.0%,3,4.8%
NE,12-3,6,14.9%,3,19.7%,4,37.6%,13,-4.3%
NO,6-9,7,12.1%,10,8.5%,10,23.9%,9,0.8%
ATL,6-9,8,11.7%,8,10.1%,7,31.0%,20,-11.1%
MIA,8-7,9,10.9%,7,11.0%,11,19.8%,2,10.3%
BAL,9-6,10,10.3%,11,7.9%,9,29.6%,11,-2.6%
SD,9-6,11,9.1%,9,8.7%,6,33.5%,28,-18.5%
KC,8-7,12,6.4%,12,5.7%,14,15.9%,4,4.2%
CHI,5-10,13,1.4%,16,-3.8%,13,16.4%,16,-8.5%
PHI,9-6,14,0.7%,13,1.2%,17,10.5%,14,-4.8%
CIN,10-4-1,15,0.3%,17,-4.2%,19,8.8%,8,0.9%
IND,10-5,16,-0.8%,21,-6.6%,12,18.0%,31,-24.3%
NYG,6-9,17,-1.5%,14,-0.4%,15,15.9%,21,-13.1%
SF,7-8,18,-2.8%,18,-4.9%,18,9.2%,15,-8.4%
DET,11-4,19,-4.5%,19,-6.1%,20,8.5%,27,-18.0%
CAR,6-8-1,20,-5.4%,23,-7.7%,23,6.3%,19,-10.9%
HOU,8-7,21,-6.0%,22,-7.3%,16,13.3%,23,-16.1%
MIN,6-9,22,-6.8%,15,-3.2%,28,-6.2%,5,3.6%
STL,6-9,23,-8.0%,20,-6.4%,26,-2.9%,12,-3.5%
CLE,7-8,24,-10.2%,27,-17.5%,22,7.1%,25,-17.6%
ARI,11-4,25,-10.8%,24,-12.6%,21,7.2%,29,-22.0%
WAS,4-11,26,-12.3%,29,-19.6%,27,-4.2%,17,-9.7%
BUF,8-7,27,-13.2%,26,-14.4%,25,-2.4%,26,-17.9%
TEN,2-13,28,-13.2%,30,-19.7%,24,-2.2%,24,-16.7%
NYJ,3-12,29,-14.3%,25,-14.4%,30,-9.9%,18,-10.0%
OAK,3-12,30,-18.7%,28,-19.1%,29,-8.4%,30,-24.1%
JAX,3-12,31,-24.9%,31,-24.7%,32,-28.2%,22,-14.3%
TB,2-13,32,-27.1%,32,-30.8%,31,-18.1%,32,-27.4%
