Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,7-2,1,23.6%,1,22.5%,1,51.5%,9,-2.2%
GB,6-3,2,20.5%,2,21.1%,2,47.2%,19,-10.8%
PIT,6-4,3,17.7%,3,17.7%,5,43.9%,12,-6.5%
NO,4-5,4,13.9%,4,13.4%,12,20.2%,2,12.1%
SEA,6-3,5,13.2%,8,10.5%,17,11.7%,1,32.0%
DAL,7-3,6,12.0%,5,12.5%,10,25.1%,3,6.5%
IND,6-3,7,11.0%,7,11.3%,6,36.6%,28,-22.9%
ATL,3-6,8,10.2%,12,8.1%,9,25.4%,7,-0.1%
NE,7-2,9,10.1%,6,12.1%,3,47.1%,29,-25.0%
SD,5-4,10,9.9%,10,10.0%,4,45.2%,31,-28.5%
KC,6-3,11,9.2%,9,10.2%,11,22.5%,5,0.9%
BAL,6-4,12,8.9%,11,8.9%,7,29.2%,11,-6.2%
MIA,5-4,13,4.9%,13,5.6%,13,16.5%,6,0.5%
PHI,7-2,14,-0.8%,14,-0.9%,19,10.5%,14,-7.5%
CLE,6-3,15,-1.1%,18,-4.7%,8,25.8%,23,-16.5%
CHI,3-6,16,-1.5%,16,-3.9%,14,14.4%,20,-10.9%
WAS,3-6,17,-1.8%,17,-4.5%,15,13.3%,17,-9.0%
NYG,3-6,18,-1.9%,15,-2.4%,16,12.6%,18,-10.1%
SF,5-4,19,-3.8%,19,-5.0%,23,7.3%,10,-5.6%
CIN,5-3-1,20,-4.0%,22,-7.4%,25,0.4%,8,-0.6%
HOU,4-5,21,-4.9%,20,-5.3%,21,9.5%,15,-7.7%
TEN,2-7,22,-6.5%,21,-6.3%,22,8.8%,21,-12.4%
DET,7-2,23,-7.0%,23,-7.5%,20,10.1%,30,-26.4%
ARI,8-1,24,-9.3%,24,-9.5%,18,10.6%,25,-21.3%
CAR,3-6-1,25,-9.7%,26,-12.1%,24,2.7%,24,-17.9%
STL,3-6,26,-11.5%,25,-10.9%,27,-6.8%,13,-7.0%
BUF,5-4,27,-14.3%,28,-15.9%,26,-2.1%,26,-21.7%
NYJ,2-8,28,-15.8%,27,-14.5%,29,-13.0%,16,-8.6%
MIN,4-5,29,-17.3%,29,-15.9%,31,-20.1%,4,1.8%
OAK,0-9,30,-20.5%,31,-19.5%,28,-7.3%,32,-31.9%
TB,1-8,31,-21.6%,30,-19.3%,30,-13.2%,27,-22.5%
JAX,1-9,32,-22.7%,32,-20.8%,32,-23.9%,22,-16.2%
