Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,10-3,1,27.8%,1,30.2%,1,54.4%,11,-3.2%
DEN,10-3,2,25.1%,2,22.7%,2,48.4%,5,6.9%
PIT,8-5,3,21.0%,3,22.6%,3,43.1%,6,1.2%
NE,10-3,4,15.4%,4,19.2%,4,41.8%,14,-8.4%
SEA,9-4,5,15.0%,5,14.4%,8,25.3%,1,22.2%
BAL,8-5,6,13.9%,6,13.4%,6,35.6%,9,-0.9%
DAL,9-4,7,13.4%,7,12.6%,9,24.4%,3,9.6%
NO,5-8,8,11.7%,10,9.9%,11,23.2%,7,1.1%
ATL,5-8,9,10.6%,9,10.8%,7,28.7%,13,-8.2%
MIA,7-6,10,10.2%,8,10.8%,14,18.1%,2,11.3%
SD,8-5,11,9.2%,12,7.3%,5,36.7%,27,-20.8%
KC,7-6,12,8.8%,11,8.9%,15,17.1%,4,8.8%
IND,9-4,13,2.9%,13,0.5%,10,23.6%,30,-23.1%
CHI,5-8,14,2.5%,14,0.1%,13,18.8%,16,-9.6%
CIN,8-4-1,15,-1.2%,18,-4.6%,18,10.8%,12,-4.8%
PHI,9-4,16,-1.8%,16,-2.5%,20,10.4%,17,-10.6%
HOU,7-6,17,-2.6%,15,-2.2%,12,19.2%,23,-15.0%
DET,9-4,18,-3.8%,17,-3.6%,16,12.4%,29,-22.5%
SF,7-6,19,-5.9%,20,-8.5%,21,7.0%,19,-12.1%
CLE,7-6,20,-7.7%,26,-11.9%,17,11.4%,25,-17.2%
NYG,4-9,21,-7.9%,22,-9.5%,22,5.2%,21,-13.7%
CAR,4-8-1,22,-7.9%,25,-11.4%,23,1.2%,18,-11.7%
STL,6-7,23,-9.2%,23,-9.8%,26,-5.6%,10,-1.9%
ARI,10-3,24,-9.3%,21,-9.5%,19,10.4%,28,-21.8%
BUF,7-6,25,-10.5%,24,-10.3%,24,-0.8%,22,-14.7%
MIN,6-7,26,-11.6%,19,-8.3%,29,-11.7%,8,1.0%
WAS,3-10,27,-13.7%,28,-19.6%,25,-4.2%,20,-13.3%
NYJ,2-11,28,-15.3%,27,-14.8%,30,-12.8%,15,-8.8%
TEN,2-11,29,-18.6%,30,-23.3%,28,-11.3%,24,-16.1%
OAK,2-11,30,-19.9%,29,-21.1%,27,-8.8%,31,-26.3%
TB,2-11,31,-24.8%,31,-25.3%,31,-14.7%,32,-26.5%
JAX,2-11,32,-27.9%,32,-27.8%,32,-29.3%,26,-20.5%
