Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,6-2,1,27.1%,1,26.2%,1,56.0%,9,-2.4%
PIT,6-3,2,21.2%,2,22.1%,2,49.2%,10,-4.3%
GB,5-3,3,16.7%,3,16.7%,5,40.2%,19,-10.6%
NO,4-4,4,15.8%,4,16.0%,10,23.9%,2,11.4%
IND,6-3,5,10.2%,6,10.7%,6,35.2%,27,-22.7%
DAL,6-3,6,9.7%,7,10.2%,13,19.2%,3,7.2%
ATL,2-6,7,9.6%,11,7.4%,8,24.3%,8,-1.9%
BAL,5-4,8,9.5%,9,9.4%,7,32.7%,16,-9.7%
KC,5-3,9,9.1%,5,10.8%,9,24.0%,7,-1.7%
NE,7-2,10,8.6%,8,9.8%,3,45.5%,29,-26.5%
SD,5-4,11,8.2%,10,8.8%,4,43.0%,32,-29.5%
SEA,5-3,12,8.1%,13,5.3%,17,12.8%,1,21.2%
MIA,5-3,13,6.7%,12,7.4%,14,18.3%,4,4.3%
CHI,3-5,14,4.2%,14,2.5%,11,22.1%,15,-9.6%
CIN,5-2-1,15,3.9%,15,2.1%,15,14.4%,5,2.5%
PHI,6-2,16,-2.1%,16,-1.7%,24,7.3%,11,-7.1%
CLE,5-3,17,-2.1%,19,-4.7%,12,21.0%,23,-16.4%
WAS,3-6,18,-3.2%,18,-4.4%,19,11.0%,14,-9.1%
TEN,2-6,19,-3.4%,17,-3.4%,21,9.8%,12,-7.5%
CAR,3-5-1,20,-4.4%,21,-5.5%,18,12.4%,24,-18.7%
NYG,3-5,21,-5.5%,20,-5.1%,20,9.8%,22,-13.9%
HOU,4-5,22,-6.3%,22,-6.5%,23,7.7%,13,-8.8%
SF,4-4,23,-6.5%,23,-7.5%,22,8.3%,21,-12.2%
ARI,7-1,24,-8.5%,24,-8.3%,16,13.0%,26,-20.7%
DET,6-2,25,-10.6%,26,-12.2%,25,4.9%,30,-27.2%
STL,3-5,26,-10.8%,25,-8.7%,26,-3.3%,17,-9.8%
BUF,5-3,27,-15.7%,28,-17.8%,27,-3.8%,28,-23.1%
NYJ,1-8,28,-18.2%,29,-18.2%,30,-17.3%,18,-10.0%
OAK,0-8,29,-18.9%,27,-17.7%,28,-4.9%,31,-29.3%
MIN,4-5,30,-19.0%,30,-19.0%,31,-21.7%,6,-0.1%
JAX,1-8,31,-22.0%,31,-20.4%,32,-25.1%,20,-12.2%
TB,1-7,32,-22.5%,32,-21.6%,29,-16.5%,25,-20.3%
