Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,8-3,1,26.4%,2,25.2%,2,50.7%,5,4.0%
GB,8-3,2,24.8%,1,25.6%,1,52.0%,13,-7.2%
PIT,7-4,3,18.2%,4,18.8%,4,40.8%,8,-0.7%
NE,9-2,4,17.3%,3,21.8%,3,46.6%,18,-9.1%
DAL,8-3,5,14.8%,6,14.6%,7,30.4%,4,5.9%
NO,4-7,6,14.0%,7,13.9%,8,27.1%,7,1.1%
MIA,6-5,7,13.3%,5,15.1%,10,22.7%,2,10.7%
SEA,7-4,8,12.1%,9,9.6%,13,16.5%,1,25.5%
KC,7-4,9,11.2%,8,11.4%,11,21.8%,3,6.9%
BAL,7-4,10,11.0%,10,9.5%,6,31.2%,9,-2.9%
SD,7-4,11,8.7%,11,7.4%,5,39.2%,27,-21.0%
ATL,4-7,12,6.6%,12,3.7%,12,21.4%,10,-6.3%
IND,7-4,13,3.1%,13,1.5%,9,27.0%,32,-27.1%
CIN,7-3-1,14,0.2%,14,-1.9%,16,14.3%,11,-6.7%
CHI,5-6,15,-0.7%,16,-3.3%,15,14.4%,16,-8.0%
PHI,8-3,16,-2.1%,15,-1.9%,19,12.0%,20,-13.0%
CLE,7-4,17,-3.3%,19,-6.8%,14,16.1%,21,-13.9%
SF,7-4,18,-3.7%,18,-5.8%,18,12.3%,22,-13.9%
HOU,5-6,19,-4.7%,17,-4.2%,20,9.4%,17,-8.7%
NYG,3-8,20,-6.5%,21,-8.9%,21,8.3%,23,-15.5%
TEN,2-9,21,-7.9%,20,-8.8%,23,3.9%,19,-10.4%
ARI,9-2,22,-9.0%,22,-9.4%,17,12.7%,28,-23.5%
WAS,3-8,23,-9.9%,26,-13.0%,26,-1.3%,12,-7.1%
CAR,3-7-1,24,-10.2%,28,-13.4%,24,0.7%,24,-17.4%
DET,7-4,25,-10.3%,24,-12.1%,22,4.7%,31,-26.5%
BUF,6-5,26,-10.9%,23,-10.2%,25,0.2%,25,-17.4%
STL,4-7,27,-12.2%,25,-12.8%,27,-7.7%,15,-7.9%
TB,2-9,27,-12.2%,25,-12.8%,27,-7.7%,15,-7.9%
MIN,4-7,28,-14.0%,27,-13.1%,30,-16.0%,6,2.1%
NYJ,2-9,29,-17.5%,29,-16.9%,31,-16.4%,14,-7.4%
OAK,1-10,30,-19.2%,30,-18.2%,28,-10.2%,29,-24.2%
JAX,1-10,32,-27.6%,32,-26.5%,32,-30.0%,26,-19.3%
