Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DEN,8-6,1,-16.9%,1,-17.5%,1,-25.3%,22,-6.9%
BAL,8-6,2,-15.7%,3,-15.1%,6,-3.1%,1,-37.1%
ARI,5-8-1,3,-14.8%,4,-11.8%,2,-10.6%,8,-20.8%
NYG,10-4,4,-13.5%,2,-16.0%,4,-6.5%,6,-23.7%
SEA,9-4-1,5,-12.1%,6,-9.0%,11,-1.3%,3,-25.3%
MIN,7-7,6,-10.3%,9,-6.3%,3,-6.7%,14,-15.7%
SD,5-9,7,-7.7%,5,-9.1%,8,-2.2%,13,-16.0%
PHI,5-9,8,-7.6%,14,-1.9%,5,-3.7%,16,-13.1%
HOU,8-6,9,-4.3%,12,-2.8%,9,-1.9%,19,-7.7%
KC,10-4,10,-4.1%,11,-4.3%,7,-2.4%,24,-6.4%
PIT,9-5,11,-4.0%,7,-8.6%,12,3.3%,15,-15.5%
TB,8-6,12,-3.9%,8,-6.3%,10,-1.7%,21,-7.1%
CAR,6-8,13,-3.6%,10,-4.8%,15,5.6%,9,-18.9%
LAR,4-10,14,-2.2%,15,-1.5%,19,11.1%,7,-21.2%
JAX,2-12,15,-1.8%,13,-2.6%,16,9.9%,10,-17.0%
DAL,12-2,16,-1.2%,17,-1.1%,18,10.7%,5,-23.9%
MIA,9-5,17,0.7%,19,1.7%,14,5.5%,23,-6.4%
NE,12-2,18,1.2%,16,-1.2%,24,17.1%,4,-25.2%
GB,8-6,19,1.3%,22,3.2%,22,12.8%,12,-16.4%
CHI,3-11,20,1.3%,18,1.1%,13,4.9%,28,-3.7%
CIN,5-8-1,21,3.4%,20,2.1%,17,10.5%,20,-7.1%
OAK,11-3,22,4.7%,21,2.8%,21,12.7%,25,-5.8%
ATL,9-5,23,6.7%,24,6.3%,20,12.7%,27,-4.1%
TEN,8-6,24,7.3%,27,7.8%,27,20.2%,11,-16.6%
BUF,7-7,25,7.5%,26,7.5%,23,14.1%,29,-0.8%
WAS,7-6-1,26,8.3%,29,8.6%,25,17.7%,26,-5.5%
NO,6-8,27,9.6%,28,8.1%,28,20.9%,18,-8.0%
DET,9-5,28,9.9%,23,5.9%,29,23.6%,17,-10.1%
NYJ,4-10,29,11.8%,30,11.9%,32,37.2%,2,-25.6%
IND,7-7,30,12.0%,25,6.3%,26,19.2%,30,0.2%
SF,1-13,31,15.7%,31,17.8%,30,29.5%,31,2.3%
CLE,0-14,32,21.8%,32,22.4%,31,34.4%,32,8.4%
