Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
SEA,1-1,1,-34.2%,1,-34.2%,4,-26.6%,3,-44.9%
ARI,1-1,2,-27.8%,2,-27.8%,5,-24.8%,8,-33.4%
HOU,2-0,3,-27.3%,3,-27.3%,2,-31.0%,16,-20.4%
PHI,2-0,4,-27.2%,4,-27.2%,1,-32.5%,17,-19.9%
MIN,2-0,5,-25.8%,5,-25.8%,7,-13.7%,1,-49.6%
SF,1-1,6,-20.1%,6,-20.1%,6,-18.1%,13,-22.4%
CAR,1-1,7,-18.5%,7,-18.5%,8,-9.1%,9,-29.4%
GB,1-1,8,-18.2%,8,-18.2%,12,2.0%,2,-48.7%
BAL,2-0,9,-17.5%,9,-17.5%,10,-3.8%,6,-34.2%
LAR,1-1,10,-16.3%,10,-16.3%,9,-7.3%,11,-28.7%
DEN,2-0,11,-13.1%,11,-13.1%,3,-28.5%,30,5.8%
TEN,1-1,12,-12.0%,12,-12.0%,13,2.5%,7,-33.8%
KC,1-1,13,-7.1%,13,-7.1%,11,-3.1%,21,-11.8%
CIN,1-1,14,-5.3%,14,-5.3%,14,5.7%,18,-18.4%
CHI,0-2,15,-5.0%,15,-5.0%,19,10.0%,12,-24.7%
NYG,2-0,16,-1.8%,16,-1.8%,17,7.6%,20,-16.8%
PIT,2-0,17,-0.6%,17,-0.6%,16,7.3%,10,-28.8%
TB,1-1,18,3.5%,18,3.5%,21,24.6%,5,-35.4%
DAL,1-1,19,4.6%,19,4.6%,18,9.3%,25,-5.2%
MIA,0-2,20,5.5%,20,5.5%,22,27.5%,14,-21.0%
CLE,0-2,21,5.5%,21,5.5%,20,24.2%,19,-17.6%
SD,1-1,22,6.8%,22,6.8%,15,6.7%,32,7.2%
NO,0-2,23,10.5%,23,10.5%,25,32.7%,15,-20.7%
WAS,0-2,24,16.4%,24,16.4%,23,28.0%,28,3.4%
DET,1-1,25,16.5%,25,16.5%,24,31.4%,22,-11.3%
BUF,0-2,26,17.1%,26,17.1%,26,33.7%,26,-4.3%
NYJ,1-1,27,17.7%,27,17.7%,29,52.8%,4,-36.9%
JAX,0-2,28,19.1%,28,19.1%,28,44.9%,24,-8.9%
NE,2-0,29,22.9%,29,22.9%,27,36.7%,23,-10.6%
ATL,1-1,30,32.9%,30,32.9%,30,56.3%,27,-1.7%
IND,0-2,31,36.3%,31,36.3%,32,58.9%,31,6.1%
OAK,1-1,32,36.5%,32,36.5%,31,58.9%,29,3.7%
