Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PHI,5-4,1,-24.2%,1,-23.7%,1,-26.6%,11,-20.6%
ARI,4-4-1,2,-22.4%,3,-21.0%,3,-19.8%,6,-26.2%
BAL,5-4,3,-22.0%,2,-21.9%,6,-5.5%,1,-50.4%
DEN,7-3,4,-16.2%,4,-16.6%,2,-21.2%,21,-9.9%
SEA,6-2-1,5,-16.2%,5,-14.9%,5,-7.9%,4,-26.3%
MIN,5-4,6,-14.7%,6,-11.9%,4,-10.1%,10,-22.1%
MIA,5-4,7,-9.8%,7,-11.5%,7,-4.6%,12,-16.5%
NYG,6-3,8,-8.9%,8,-8.0%,8,-3.8%,13,-16.4%
LAR,4-5,9,-6.5%,9,-6.5%,12,3.8%,9,-22.2%
KC,7-2,10,-6.4%,11,-5.8%,9,-3.2%,16,-11.3%
SD,4-6,11,-4.7%,10,-5.8%,11,0.7%,15,-13.8%
HOU,6-3,12,-2.8%,13,-0.7%,10,-1.1%,26,-4.9%
GB,4-5,13,-2.3%,12,-2.0%,18,12.3%,7,-23.6%
CAR,3-6,14,-1.0%,15,-0.2%,17,12.2%,8,-22.3%
TB,4-5,15,-0.1%,14,-0.4%,13,7.7%,19,-10.8%
DAL,8-1,16,1.3%,17,1.2%,21,16.1%,5,-26.3%
CHI,2-7,17,1.4%,16,0.5%,14,9.2%,18,-11.0%
NE,7-2,18,3.6%,18,1.3%,27,23.8%,3,-28.5%
JAX,2-7,19,4.2%,19,3.6%,16,11.2%,27,-4.8%
WAS,5-3-1,20,4.7%,20,4.8%,15,9.5%,28,-1.9%
ATL,6-4,21,5.8%,21,4.9%,19,13.1%,25,-7.4%
PIT,4-5,22,6.2%,23,6.9%,23,17.5%,17,-11.1%
CIN,3-5-1,23,6.3%,22,6.8%,22,17.1%,24,-9.6%
NYJ,3-7,24,7.1%,24,6.9%,29,31.0%,2,-30.4%
BUF,4-5,25,7.7%,25,6.9%,26,20.7%,23,-9.6%
NO,4-5,26,7.7%,26,7.3%,24,19.4%,20,-10.7%
SF,1-8,27,10.2%,28,12.3%,20,15.7%,31,4.7%
TEN,5-5,28,10.5%,29,13.3%,28,25.2%,14,-15.9%
OAK,7-2,29,11.0%,27,11.0%,25,19.7%,29,-1.5%
DET,5-4,30,16.7%,30,15.8%,31,34.9%,22,-9.8%
IND,4-5,31,23.0%,31,22.0%,30,33.4%,32,5.3%
CLE,0-10,32,23.6%,32,24.9%,32,43.4%,30,2.2%
