Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PHI,3-0,1,-30.0%,1,-30.0%,2,-29.6%,4,-30.8%
SEA,3-1,2,-29.8%,2,-29.8%,1,-30.5%,5,-28.8%
MIN,4-0,3,-23.2%,3,-23.2%,3,-22.1%,8,-25.1%
ARI,1-3,4,-17.9%,4,-17.9%,7,-11.8%,7,-27.7%
BAL,3-1,5,-17.3%,5,-17.3%,9,2.0%,1,-47.8%
DEN,4-0,6,-16.3%,6,-16.3%,4,-21.5%,19,-9.5%
HOU,3-1,7,-13.0%,7,-13.0%,5,-21.2%,25,-3.4%
KC,2-2,8,-7.5%,8,-7.5%,6,-11.9%,27,-1.5%
CIN,2-2,9,-6.8%,9,-6.8%,12,4.1%,9,-22.6%
GB,2-1,10,-6.5%,10,-6.5%,22,16.5%,2,-42.8%
TEN,1-3,11,-5.5%,11,-5.5%,10,2.9%,15,-18.4%
LAR,3-1,12,-5.0%,12,-5.0%,11,3.2%,14,-19.0%
CAR,1-3,13,-3.9%,13,-3.9%,18,14.0%,6,-28.0%
JAX,1-3,14,-3.2%,14,-3.2%,8,0.4%,21,-8.7%
CHI,1-3,15,-1.6%,15,-1.6%,13,5.0%,20,-9.0%
BUF,2-2,16,-1.5%,16,-1.5%,14,6.6%,16,-13.1%
NYG,2-2,17,0.0%,17,0.0%,21,15.8%,10,-21.9%
MIA,1-3,18,0.7%,18,0.7%,24,19.9%,11,-20.5%
PIT,3-1,19,1.1%,19,1.1%,17,9.8%,12,-20.4%
TB,1-3,20,2.7%,20,2.7%,25,20.0%,13,-20.1%
SD,1-3,21,2.7%,21,2.7%,15,7.3%,23,-6.5%
SF,1-3,22,2.9%,22,2.9%,16,7.5%,26,-1.6%
DAL,3-1,23,5.3%,23,5.3%,19,14.5%,18,-11.1%
WAS,2-2,24,10.8%,24,10.8%,20,15.5%,31,5.0%
NO,1-3,25,11.1%,25,11.1%,27,23.0%,22,-6.8%
CLE,0-4,26,11.8%,26,11.8%,23,19.5%,30,2.3%
NE,3-1,27,12.6%,27,12.6%,28,25.7%,17,-11.3%
OAK,3-1,28,15.7%,28,15.7%,26,22.3%,32,6.4%
NYJ,1-3,29,17.6%,29,17.6%,32,55.5%,3,-36.6%
ATL,3-1,30,17.6%,30,17.6%,29,27.3%,28,-0.9%
IND,1-3,31,19.1%,31,19.1%,30,32.7%,24,-4.2%
DET,1-3,32,32.9%,32,32.9%,31,53.0%,29,-0.3%
