Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
ARI,5-6-1,1,-19.6%,2,-17.8%,2,-18.3%,5,-21.5%
BAL,7-5,2,-19.1%,1,-19.3%,5,-4.1%,1,-46.3%
MIN,6-6,3,-16.6%,4,-14.2%,3,-15.4%,11,-18.4%
DEN,8-4,4,-16.1%,3,-15.5%,1,-22.9%,26,-7.3%
SEA,8-3-1,5,-13.7%,5,-11.5%,6,-3.6%,4,-26.1%
PHI,5-7,6,-11.7%,7,-9.6%,4,-6.2%,9,-19.6%
NYG,8-4,7,-9.3%,6,-9.6%,7,-0.9%,6,-21.1%
SD,5-7,8,-5.2%,9,-5.3%,8,0.2%,16,-14.0%
PIT,7-5,9,-4.2%,8,-6.8%,10,2.8%,13,-16.0%
KC,9-3,10,-3.1%,11,-2.8%,11,3.3%,17,-12.3%
LAR,4-8,11,-2.1%,13,-1.0%,15,7.7%,12,-16.5%
HOU,6-6,12,-1.9%,18,1.1%,12,3.7%,21,-9.3%
TB,7-5,13,-1.9%,10,-3.5%,9,2.6%,24,-8.1%
JAX,2-10,14,-1.6%,12,-2.3%,13,6.1%,18,-11.5%
CAR,4-8,15,-0.9%,14,-0.7%,18,11.1%,8,-19.6%
CHI,3-9,16,0.3%,15,0.3%,14,7.0%,22,-9.1%
CIN,4-7-1,17,1.8%,17,1.0%,17,9.7%,19,-10.3%
MIA,7-5,18,1.9%,19,2.8%,16,9.1%,23,-8.4%
NE,10-2,19,2.3%,16,0.3%,26,21.2%,3,-26.6%
GB,6-6,20,3.5%,23,5.7%,25,18.4%,10,-18.5%
DAL,11-1,21,4.5%,24,6.3%,22,17.0%,7,-20.8%
NO,5-7,22,4.9%,20,3.4%,23,17.0%,15,-14.3%
OAK,10-2,23,6.1%,21,4.2%,19,12.4%,28,-2.1%
ATL,7-5,24,6.6%,25,7.0%,20,13.8%,27,-6.6%
BUF,6-6,25,6.8%,26,7.5%,24,18.1%,25,-7.5%
WAS,6-5-1,26,7.7%,27,8.6%,21,14.4%,29,-2.0%
TEN,6-6,27,9.2%,30,12.1%,28,23.0%,14,-15.8%
DET,8-4,28,9.5%,22,5.6%,27,22.3%,20,-10.1%
NYJ,3-9,29,10.6%,28,9.4%,32,35.6%,2,-29.2%
SF,1-11,30,14.8%,31,17.6%,30,27.2%,31,2.3%
IND,6-6,31,15.5%,29,11.7%,29,24.6%,30,0.4%
CLE,0-12,32,19.6%,32,21.1%,31,35.2%,32,2.4%
