Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DEN,6-0,1,-31.7%,1,-31.3%,1,-38.3%,8,-22.3%
NYJ,4-1,2,-29.1%,2,-29.0%,2,-22.2%,1,-41.3%
ARI,4-2,3,-22.1%,3,-22.2%,3,-17.5%,3,-28.7%
PHI,3-3,4,-20.2%,4,-20.4%,7,-13.4%,2,-31.2%
STL,2-3,5,-17.5%,5,-17.4%,6,-14.1%,7,-22.7%
CAR,5-0,6,-13.6%,6,-13.2%,5,-14.7%,19,-11.7%
GB,6-0,7,-12.5%,7,-12.9%,4,-15.3%,23,-7.7%
NE,5-0,8,-3.8%,8,-4.2%,9,-3.1%,27,-5.0%
TEN,1-4,9,-1.1%,13,-0.2%,8,-7.8%,31,5.9%
TB,2-3,10,-1.0%,9,-1.7%,22,17.6%,11,-20.1%
SEA,2-4,11,-0.9%,10,-1.2%,11,9.2%,17,-13.1%
NYG,3-3,12,-0.6%,11,-0.7%,15,11.5%,12,-19.1%
BUF,3-3,13,-0.4%,12,-0.5%,10,3.2%,25,-7.2%
ATL,5-1,14,0.1%,14,0.3%,12,9.6%,14,-15.5%
DAL,2-3,15,0.6%,16,0.9%,14,11.2%,15,-15.4%
PIT,4-2,16,0.9%,15,0.5%,20,17.0%,4,-23.7%
WAS,2-4,17,1.7%,17,1.8%,16,13.4%,16,-13.6%
CIN,6-0,18,3.3%,18,3.8%,13,10.2%,24,-7.4%
HOU,2-4,19,4.5%,19,4.3%,17,15.1%,20,-11.3%
OAK,2-3,20,5.8%,20,5.5%,24,23.2%,10,-21.3%
IND,3-3,21,6.6%,21,6.3%,25,24.2%,13,-17.6%
MIN,3-2,22,7.2%,22,6.5%,21,17.1%,26,-6.8%
BAL,1-5,23,7.3%,23,7.8%,26,25.5%,6,-23.0%
DET,1-5,24,7.9%,24,7.9%,23,22.2%,22,-8.4%
KC,1-5,25,8.7%,25,8.9%,29,30.8%,9,-22.3%
MIA,2-3,26,8.9%,26,9.1%,27,27.2%,21,-10.6%
SD,2-4,27,10.5%,27,10.8%,19,16.8%,30,2.7%
CLE,2-4,28,11.1%,28,11.0%,18,15.5%,32,6.2%
JAX,1-5,29,12.2%,29,12.7%,32,39.5%,5,-23.0%
CHI,2-4,30,15.2%,30,14.8%,28,28.2%,28,-3.4%
NO,2-4,31,17.1%,31,17.0%,31,37.7%,18,-12.3%
SF,2-4,32,19.8%,32,20.2%,30,33.9%,29,-0.2%
