Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DEN,10-2,1,-26.6%,1,-24.1%,1,-27.8%,4,-24.9%
CAR,12-0,2,-20.7%,2,-20.8%,2,-17.4%,2,-27.0%
ARI,10-2,3,-15.5%,6,-13.0%,3,-10.6%,6,-24.1%
STL,4-8,4,-15.5%,4,-13.4%,4,-8.8%,5,-24.9%
NYJ,7-5,5,-11.3%,8,-8.9%,7,-1.5%,1,-29.3%
SEA,7-5,6,-10.5%,5,-13.4%,5,-5.0%,14,-18.6%
KC,7-5,7,-10.0%,3,-14.7%,8,-1.4%,7,-23.2%
HOU,6-6,8,-6.3%,7,-9.3%,6,-3.1%,22,-11.2%
CIN,10-2,9,-5.1%,10,-5.2%,9,1.7%,15,-16.9%
DET,4-8,10,-3.5%,9,-6.5%,17,13.5%,3,-25.7%
PHI,5-7,11,-3.1%,16,-0.4%,10,2.9%,21,-11.6%
NE,10-2,12,-2.8%,12,-2.9%,12,7.2%,13,-18.6%
GB,8-4,13,-1.3%,18,1.6%,13,8.0%,16,-14.9%
PIT,7-5,14,-1.3%,11,-3.4%,14,11.1%,9,-21.3%
TB,6-6,15,-1.3%,13,-2.1%,20,14.4%,8,-22.2%
DAL,4-8,16,-0.7%,14,-1.4%,11,6.5%,24,-9.9%
IND,6-6,17,0.6%,15,-1.2%,19,14.3%,12,-19.6%
ATL,6-6,18,1.4%,17,1.3%,16,11.7%,19,-12.4%
MIN,8-4,19,4.0%,19,2.6%,21,15.3%,23,-10.4%
WAS,5-7,20,4.2%,20,3.0%,24,19.0%,17,-13.9%
TEN,3-9,21,4.7%,24,7.1%,18,13.8%,27,-6.6%
OAK,5-7,22,5.3%,21,4.5%,23,16.5%,20,-12.0%
BAL,4-8,23,5.7%,23,5.4%,27,22.8%,11,-20.4%
CHI,5-7,24,6.6%,22,4.6%,15,11.4%,31,-0.3%
NYG,5-7,25,8.0%,26,8.5%,25,22.4%,18,-12.6%
MIA,5-7,26,8.4%,25,8.0%,26,22.7%,26,-7.4%
BUF,6-6,27,9.0%,27,10.7%,22,16.1%,29,-2.5%
JAX,4-8,28,10.4%,29,11.4%,31,33.0%,10,-21.0%
SF,4-8,29,13.1%,28,10.8%,28,27.0%,28,-3.0%
CLE,2-10,30,13.7%,30,13.2%,30,28.1%,30,-2.4%
SD,3-9,31,15.6%,31,16.9%,29,27.1%,32,0.9%
NO,4-8,32,20.1%,32,20.6%,32,39.9%,25,-8.2%
