Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DEN,10-4,1,-27.2%,1,-24.5%,1,-26.0%,2,-29.0%
CAR,14-0,2,-19.5%,2,-20.4%,2,-17.8%,5,-23.0%
STL,6-8,3,-14.2%,7,-9.8%,3,-10.0%,11,-20.5%
ARI,12-2,4,-13.8%,6,-10.1%,4,-5.3%,3,-28.4%
NYJ,9-5,5,-11.7%,8,-9.7%,8,-2.3%,1,-29.0%
SEA,9-5,6,-11.6%,4,-14.4%,5,-5.3%,10,-21.4%
KC,9-5,7,-11.1%,3,-16.6%,7,-3.0%,4,-24.1%
CIN,11-3,8,-7.7%,10,-8.2%,9,-1.9%,14,-17.7%
HOU,7-7,9,-7.5%,5,-11.4%,6,-4.1%,19,-12.6%
NE,12-2,10,-6.4%,9,-8.3%,11,2.1%,13,-19.7%
GB,10-4,11,-5.0%,12,-3.8%,10,0.5%,18,-13.2%
DET,5-9,12,-3.4%,11,-6.4%,15,10.6%,7,-22.3%
PIT,9-5,13,-1.0%,13,-3.1%,16,11.5%,8,-22.2%
PHI,6-8,14,-0.4%,21,4.2%,12,4.5%,25,-7.0%
OAK,6-8,15,0.1%,14,-2.9%,14,10.3%,15,-16.2%
DAL,4-10,16,0.3%,16,-0.2%,13,7.1%,24,-8.0%
MIN,9-5,17,1.0%,15,-1.7%,17,11.9%,17,-13.2%
IND,6-8,18,1.2%,17,-0.1%,18,13.2%,16,-15.7%
TB,6-8,19,1.8%,18,1.0%,23,20.3%,9,-21.6%
ATL,7-7,20,3.3%,20,3.6%,19,14.7%,20,-12.0%
WAS,7-7,21,4.9%,19,2.7%,21,17.6%,22,-10.8%
BAL,4-10,22,7.0%,22,7.1%,29,27.3%,6,-22.8%
TEN,3-11,23,7.0%,27,10.5%,22,18.0%,26,-6.1%
JAX,5-9,24,8.6%,25,10.2%,30,29.4%,12,-19.9%
SF,4-10,25,9.0%,23,7.3%,25,22.8%,27,-6.0%
CHI,5-9,26,9.4%,24,8.8%,20,17.3%,31,-0.9%
NYG,6-8,27,9.6%,26,10.4%,26,24.0%,21,-11.3%
MIA,5-9,28,12.5%,30,14.1%,31,31.8%,23,-8.6%
BUF,6-8,29,12.8%,31,15.9%,24,22.5%,29,-2.3%
SD,4-10,30,13.4%,29,13.1%,27,24.4%,32,-0.8%
CLE,3-11,31,13.4%,28,12.7%,28,26.4%,30,-1.6%
NO,5-9,32,21.3%,32,22.5%,32,39.4%,28,-5.2%
