Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DEN,5-0,1,-32.6%,1,-32.6%,1,-37.1%,5,-25.8%
NYJ,3-1,2,-26.3%,2,-26.3%,4,-21.4%,1,-34.2%
ARI,4-1,3,-25.4%,3,-25.4%,3,-22.3%,3,-30.2%
CAR,4-0,4,-17.2%,4,-17.2%,5,-21.4%,20,-9.8%
GB,5-0,5,-16.7%,5,-16.7%,2,-31.5%,31,5.6%
STL,2-3,6,-16.3%,6,-16.3%,8,-11.8%,6,-23.3%
PHI,2-3,7,-12.1%,7,-12.1%,10,0.1%,2,-31.4%
TEN,1-3,8,-10.7%,8,-10.7%,6,-19.2%,26,-1.3%
NE,4-0,9,-8.8%,9,-8.8%,7,-12.3%,25,-3.6%
BUF,3-2,10,-6.1%,10,-6.1%,9,-5.1%,22,-8.3%
WAS,2-3,11,-3.3%,11,-3.3%,12,3.9%,15,-13.8%
ATL,5-0,12,-2.6%,12,-2.6%,11,3.1%,18,-12.8%
NYG,3-2,13,-2.2%,13,-2.2%,16,14.1%,4,-29.5%
SEA,2-3,14,-1.4%,14,-1.4%,18,14.3%,8,-21.5%
TB,2-3,15,-1.3%,15,-1.3%,20,17.1%,11,-20.1%
CIN,5-0,16,0.0%,16,0.0%,13,7.9%,17,-13.1%
DAL,2-3,17,0.3%,17,0.3%,14,9.4%,16,-13.4%
PIT,3-2,18,0.7%,18,0.7%,19,16.7%,7,-22.2%
OAK,2-3,19,5.2%,19,5.2%,23,21.9%,9,-20.7%
BAL,1-4,20,6.6%,20,6.6%,21,19.1%,13,-14.5%
MIN,2-2,21,7.6%,21,7.6%,17,14.2%,27,-1.3%
IND,3-2,22,7.8%,22,7.8%,26,29.1%,10,-20.2%
HOU,1-4,23,8.8%,23,8.8%,22,21.7%,23,-7.5%
SD,2-3,24,9.0%,24,9.0%,15,14.1%,30,3.4%
DET,0-5,25,10.1%,25,10.1%,25,25.4%,24,-7.0%
JAX,1-4,26,10.4%,26,10.4%,28,33.7%,12,-19.8%
CLE,2-3,27,15.2%,27,15.2%,24,24.2%,32,5.6%
CHI,2-3,28,17.0%,28,17.0%,27,30.3%,28,-0.6%
KC,1-4,29,17.8%,29,17.8%,30,37.5%,19,-12.7%
MIA,1-3,30,19.1%,30,19.1%,32,51.1%,21,-9.7%
NO,1-4,31,19.8%,31,19.8%,31,46.9%,14,-14.0%
SF,1-4,32,21.8%,32,21.8%,29,35.9%,29,2.5%
