Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DEN,2-0,1,-47.7%,1,-47.7%,1,-81.1%,19,-14.1%
NYJ,2-0,2,-38.8%,2,-38.8%,4,-29.5%,1,-54.9%
CAR,2-0,3,-36.9%,3,-36.9%,2,-41.7%,11,-26.1%
TEN,1-1,4,-25.6%,4,-25.6%,3,-40.1%,21,-11.2%
DAL,2-0,5,-22.2%,5,-22.2%,5,-11.3%,3,-41.5%
ARI,2-0,6,-17.1%,6,-17.1%,7,-9.2%,7,-28.4%
CIN,2-0,7,-12.7%,7,-12.7%,6,-9.3%,16,-18.4%
KC,1-1,8,-12.6%,8,-12.6%,10,1.9%,4,-39.8%
WAS,1-1,9,-12.2%,9,-12.2%,8,-8.6%,15,-19.6%
STL,1-1,10,-7.7%,10,-7.7%,9,-2.0%,18,-14.5%
JAX,1-1,11,-6.7%,11,-6.7%,18,17.5%,2,-44.3%
ATL,2-0,12,-5.9%,12,-5.9%,11,1.9%,13,-23.1%
PHI,0-2,13,-3.3%,13,-3.3%,21,20.9%,5,-32.4%
TB,1-1,14,0.1%,14,0.1%,17,15.2%,17,-14.6%
MIA,1-1,15,1.7%,15,1.7%,24,34.9%,9,-27.4%
CLE,1-1,16,2.8%,16,2.8%,13,4.4%,25,1.3%
BAL,0-2,17,3.1%,17,3.1%,15,9.1%,22,-7.7%
HOU,0-2,18,5.7%,18,5.7%,16,14.1%,24,-5.7%
IND,0-2,19,8.7%,19,8.7%,29,50.6%,6,-29.5%
GB,2-0,20,8.8%,20,8.8%,14,7.8%,29,10.2%
NE,2-0,21,8.9%,21,8.9%,12,4.0%,32,15.0%
NYG,0-2,22,10.0%,22,10.0%,23,27.7%,12,-23.4%
DET,0-2,23,10.5%,23,10.5%,28,39.5%,20,-13.0%
SD,1-1,24,10.7%,24,10.7%,22,25.5%,23,-6.1%
PIT,1-1,25,11.0%,25,11.0%,25,35.2%,10,-26.8%
SEA,0-2,26,13.3%,26,13.3%,27,38.8%,14,-20.3%
MIN,1-1,27,15.1%,27,15.1%,19,20.1%,28,7.2%
BUF,1-1,28,16.5%,28,16.5%,20,20.1%,26,3.8%
NO,0-2,29,17.9%,29,17.9%,31,52.4%,8,-27.9%
SF,1-1,30,28.3%,30,28.3%,26,38.3%,30,12.4%
OAK,1-1,31,31.0%,31,31.0%,30,52.0%,27,5.9%
CHI,0-2,32,50.5%,32,50.5%,32,85.1%,31,13.2%
