Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DEN,8-2,1,-23.7%,2,-22.0%,1,-25.1%,7,-22.0%
CAR,10-0,2,-21.7%,1,-22.4%,2,-19.4%,3,-25.8%
STL,4-6,3,-19.9%,3,-20.4%,3,-14.6%,1,-27.9%
ARI,8-2,4,-15.0%,4,-12.9%,4,-10.6%,6,-22.5%
NYJ,5-5,5,-12.3%,6,-9.9%,5,-4.3%,2,-26.0%
PHI,4-6,6,-9.5%,8,-8.6%,5,-4.3%,16,-16.4%
SEA,5-5,7,-7.5%,7,-9.1%,10,1.8%,10,-19.7%
KC,5-5,8,-6.5%,5,-10.9%,9,1.5%,13,-18.6%
HOU,5-5,9,-5.8%,9,-7.0%,7,-1.8%,20,-11.6%
NE,10-0,10,-4.9%,10,-5.6%,11,5.6%,5,-23.5%
CIN,8-2,11,-3.3%,12,-3.1%,12,5.7%,14,-17.9%
ATL,6-4,12,-3.0%,11,-4.6%,15,7.8%,12,-19.2%
TEN,2-8,13,-2.9%,13,-2.4%,8,1.2%,26,-7.6%
TB,5-5,14,-2.5%,14,-2.3%,17,12.1%,9,-20.5%
PIT,6-4,15,-0.1%,16,-1.4%,19,12.5%,8,-21.2%
IND,5-5,16,-0.1%,15,-1.9%,18,12.4%,15,-17.9%
DAL,3-7,17,0.5%,17,0.0%,13,6.8%,25,-7.9%
GB,7-3,18,0.9%,19,3.3%,16,9.8%,19,-12.5%
BUF,5-5,19,2.5%,20,3.4%,14,7.7%,28,-5.9%
DET,3-7,20,2.6%,18,1.8%,21,17.2%,17,-16.3%
NYG,5-5,21,4.1%,22,4.7%,22,17.4%,18,-14.9%
MIN,7-3,22,5.2%,21,4.1%,20,14.8%,27,-7.4%
JAX,4-6,23,6.0%,23,5.9%,28,28.7%,4,-24.9%
WAS,4-6,24,7.2%,25,6.7%,25,23.2%,22,-10.6%
MIA,4-6,25,8.1%,24,6.5%,26,23.8%,23,-8.7%
BAL,3-7,26,8.1%,27,9.1%,27,26.2%,11,-19.2%
OAK,4-6,27,8.7%,26,8.4%,24,19.8%,24,-8.4%
CHI,4-6,28,11.0%,28,9.9%,23,19.6%,30,-0.5%
CLE,2-8,29,14.7%,29,14.0%,30,29.6%,29,-2.4%
SD,2-8,30,17.4%,30,18.3%,29,29.5%,32,2.7%
SF,3-7,31,20.0%,31,20.4%,31,35.8%,31,1.0%
NO,4-6,32,21.1%,32,22.3%,32,42.1%,21,-10.8%
