Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
SD,4-5,1,20.0%,2,18.0%,1,56.0%,25,-12.5%
NYG,8-1,2,19.3%,1,18.1%,9,27.1%,1,20.8%
PHI,5-4,3,16.4%,3,16.7%,4,32.0%,9,2.6%
DEN,5-4,4,16.3%,7,14.4%,11,26.0%,5,8.1%
ARI,6-3,5,16.1%,4,16.4%,2,47.8%,26,-13.3%
WAS,6-3,6,15.8%,8,13.5%,8,27.2%,2,12.4%
ATL,6-3,7,15.3%,6,15.3%,3,42.0%,11,0.9%
IND,5-4,8,14.0%,5,16.2%,6,29.9%,10,2.5%
NO,4-5,9,12.5%,9,12.9%,5,31.5%,20,-4.0%
MIA,5-4,10,11.5%,10,12.4%,7,27.9%,13,-0.4%
JAX,4-5,11,7.6%,11,8.8%,12,18.2%,12,-0.2%
TEN,9-0,12,6.1%,12,8.7%,14,16.4%,8,4.3%
GB,4-5,13,5.6%,13,5.9%,10,26.5%,23,-8.8%
HOU,3-6,14,2.7%,14,3.9%,16,14.2%,17,-2.4%
CHI,5-4,15,1.2%,17,1.1%,13,16.5%,18,-3.8%
BAL,6-3,16,1.0%,16,1.2%,19,5.6%,6,7.1%
NE,6-3,17,0.7%,15,1.2%,23,-0.4%,7,5.1%
DAL,5-4,18,-0.5%,21,-6.2%,20,2.9%,4,9.3%
NYJ,6-3,19,-1.6%,18,-0.1%,25,-1.4%,3,12.2%
TB,6-3,20,-2.8%,19,-2.6%,15,16.0%,27,-17.5%
CAR,7-2,21,-4.3%,20,-3.5%,17,10.8%,15,-1.0%
BUF,5-4,22,-5.5%,24,-7.5%,18,5.9%,24,-9.9%
SEA,2-7,23,-8.0%,23,-7.0%,21,0.8%,21,-5.7%
MIN,5-4,24,-8.1%,27,-10.2%,24,-0.8%,22,-7.7%
CLE,3-6,25,-9.0%,22,-6.7%,22,0.3%,19,-3.9%
PIT,6-3,26,-10.0%,26,-10.1%,27,-6.9%,16,-1.4%
KC,1-8,27,-14.2%,25,-9.8%,26,-3.4%,30,-19.7%
SF,2-7,28,-21.2%,29,-23.0%,30,-23.1%,14,-0.7%
CIN,1-8,29,-21.3%,28,-21.0%,28,-10.0%,32,-26.6%
DET,0-9,30,-24.0%,30,-24.7%,29,-18.7%,28,-18.2%
STL,2-7,31,-31.0%,31,-30.1%,31,-29.1%,31,-22.6%
OAK,2-7,32,-36.2%,32,-38.1%,32,-41.2%,29,-19.1%
