Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,8-7,1,19.8%,2,18.4%,6,29.4%,3,14.9%
NYG,12-3,2,18.0%,4,16.6%,7,28.2%,2,16.6%
SD,7-8,3,15.8%,8,13.9%,1,47.1%,21,-8.5%
NO,8-7,4,15.0%,3,17.4%,5,30.7%,10,3.9%
IND,11-4,5,13.4%,5,15.7%,2,38.6%,25,-11.5%
NE,10-5,6,12.8%,1,18.5%,15,16.2%,5,13.7%
MIA,10-5,7,12.4%,7,14.4%,4,32.7%,12,0.8%
CAR,11-4,8,11.4%,6,15.6%,10,21.9%,1,17.3%
ATL,10-5,9,9.5%,11,8.3%,3,34.8%,14,-3.0%
WAS,8-7,10,9.0%,14,4.0%,11,21.6%,9,4.9%
JAX,5-10,11,7.8%,9,9.3%,12,20.6%,13,-1.5%
GB,5-10,12,6.9%,12,6.7%,8,26.1%,19,-6.3%
PHI,8-6-1,13,6.8%,16,3.1%,17,14.9%,8,5.1%
TEN,13-2,14,6.7%,10,8.4%,14,16.6%,6,6.8%
DAL,9-6,15,4.0%,19,0.5%,16,15.5%,7,6.6%
ARI,8-7,16,3.7%,17,1.1%,9,24.0%,27,-16.8%
HOU,7-8,17,3.2%,15,3.4%,13,19.4%,16,-4.0%
NYJ,9-6,18,1.4%,13,4.0%,22,1.3%,4,13.9%
TB,9-6,19,-1.3%,20,-1.3%,18,13.2%,24,-11.3%
BAL,10-5,20,-1.5%,22,-2.3%,19,7.1%,11,1.8%
PIT,11-4,21,-3.1%,21,-1.9%,20,7.0%,15,-3.1%
KC,2-13,22,-7.3%,18,0.9%,21,2.2%,23,-10.5%
MIN,9-6,23,-9.3%,24,-11.3%,25,-3.9%,20,-6.7%
BUF,7-8,24,-9.5%,25,-12.8%,26,-5.9%,18,-5.3%
CHI,9-6,25,-10.3%,26,-14.5%,23,0.0%,22,-10.4%
SEA,4-11,26,-13.4%,23,-11.1%,24,-3.2%,26,-12.5%
SF,6-9,27,-17.8%,27,-17.2%,27,-9.0%,28,-17.0%
CLE,4-11,28,-19.9%,29,-23.6%,29,-22.2%,17,-4.0%
CIN,3-11-1,29,-20.5%,28,-18.3%,28,-10.2%,32,-26.4%
DET,0-15,30,-27.2%,31,-29.3%,30,-23.6%,30,-19.2%
OAK,4-11,31,-29.6%,30,-28.8%,31,-26.2%,29,-19.2%
STL,2-13,32,-32.5%,32,-33.6%,32,-31.9%,31,-21.3%
