Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NYG,6-1,1,22.5%,1,22.7%,2,38.8%,1,15.2%
WAS,6-2,2,20.5%,2,20.7%,4,38.0%,2,13.4%
SD,3-5,3,19.5%,3,18.5%,1,57.4%,27,-14.2%
DEN,4-3,4,16.4%,7,14.6%,12,27.1%,5,9.1%
PHI,4-3,5,15.6%,5,14.7%,8,30.4%,8,4.6%
MIA,3-4,6,15.4%,4,17.0%,3,38.3%,15,-3.1%
NO,4-4,7,13.4%,8,13.0%,5,35.5%,20,-5.7%
JAX,3-4,8,12.9%,6,14.6%,11,27.5%,19,-4.7%
ATL,4-3,9,11.9%,11,9.9%,9,29.8%,9,4.3%
ARI,4-3,10,10.3%,9,10.5%,6,32.6%,22,-8.0%
DAL,5-3,11,8.8%,12,6.6%,16,16.9%,3,12.9%
HOU,3-4,12,8.6%,10,10.2%,13,24.0%,13,-1.1%
GB,4-3,13,6.1%,13,5.6%,7,31.4%,26,-13.3%
IND,3-4,14,5.2%,14,5.2%,17,15.0%,10,3.4%
BUF,5-2,15,3.5%,16,3.1%,15,17.4%,18,-4.5%
TEN,7-0,16,3.0%,15,4.4%,20,3.6%,4,9.2%
CAR,6-2,17,2.4%,17,2.9%,10,28.8%,16,-3.3%
CHI,4-3,18,2.3%,18,1.9%,14,20.7%,21,-7.0%
TB,5-3,19,-2.8%,19,-3.2%,18,11.3%,25,-12.1%
BAL,4-3,20,-3.9%,20,-4.0%,24,-8.4%,6,6.9%
MIN,3-4,21,-5.0%,21,-6.4%,19,5.9%,23,-9.4%
NE,5-2,22,-6.5%,22,-6.5%,26,-11.9%,11,2.9%
SEA,2-5,23,-8.6%,23,-7.4%,21,-0.1%,24,-9.7%
NYJ,4-3,24,-8.7%,24,-8.6%,23,-7.1%,7,6.7%
PIT,5-2,25,-10.3%,25,-11.2%,22,-7.0%,12,2.0%
CLE,3-4,26,-15.4%,26,-14.5%,25,-9.7%,17,-4.3%
SF,2-6,27,-19.4%,27,-20.2%,31,-20.4%,14,-1.1%
STL,2-5,28,-22.4%,28,-21.0%,28,-17.8%,28,-14.7%
DET,0-7,29,-24.7%,29,-25.5%,29,-19.2%,29,-18.6%
OAK,2-5,30,-27.0%,30,-26.6%,30,-20.2%,30,-21.0%
CIN,0-8,31,-27.4%,31,-27.2%,27,-17.1%,32,-32.1%
KC,1-6,32,-31.7%,32,-31.4%,32,-26.1%,31,-30.7%
