Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NYG,4-0,1,36.3%,1,36.3%,4,44.8%,1,34.0%
WAS,4-1,2,31.3%,2,31.3%,1,55.8%,5,16.4%
DAL,4-1,3,31.0%,3,31.0%,3,45.8%,3,23.6%
DEN,4-1,4,27.9%,4,27.9%,5,40.5%,4,19.4%
SD,2-3,5,18.1%,5,18.1%,2,46.3%,18,-6.5%
MIA,2-2,6,14.9%,6,14.9%,6,35.4%,14,-1.4%
ATL,3-2,7,14.0%,7,14.0%,14,11.9%,2,25.6%
ARI,3-2,8,13.8%,8,13.8%,7,33.9%,15,-2.3%
PHI,2-3,9,7.7%,9,7.7%,9,26.2%,20,-7.0%
JAX,2-3,10,6.3%,10,6.3%,11,19.3%,21,-8.0%
NO,2-3,11,3.0%,11,3.0%,10,24.0%,24,-10.3%
NYJ,2-2,12,0.8%,12,0.8%,13,13.4%,19,-6.6%
IND,2-2,13,0.2%,13,0.2%,15,10.1%,13,-0.9%
BAL,2-2,14,0.0%,14,0.0%,23,-6.2%,6,11.4%
BUF,4-1,15,-0.3%,15,-0.3%,16,7.9%,16,-3.9%
CAR,4-1,16,-0.3%,16,-0.3%,8,28.0%,12,-0.8%
GB,2-3,17,-1.5%,17,-1.5%,12,15.1%,27,-12.0%
TEN,5-0,18,-3.2%,18,-3.2%,21,1.3%,11,-0.1%
TB,3-2,19,-4.1%,19,-4.1%,22,-2.5%,7,7.8%
HOU,0-4,20,-4.6%,20,-4.6%,19,4.2%,26,-11.6%
NE,3-1,21,-4.7%,21,-4.7%,24,-7.0%,8,2.7%
MIN,2-3,22,-5.0%,22,-5.0%,17,7.4%,23,-9.8%
CHI,3-2,23,-7.0%,23,-7.0%,18,5.8%,22,-8.1%
SF,2-3,24,-8.5%,24,-8.5%,25,-7.9%,10,1.5%
PIT,4-1,25,-8.8%,25,-8.8%,20,1.8%,17,-5.6%
SEA,1-3,26,-10.1%,26,-10.1%,27,-14.6%,9,2.0%
OAK,1-3,27,-18.0%,27,-18.0%,28,-16.5%,25,-10.7%
CIN,0-5,28,-25.8%,28,-25.8%,26,-9.5%,32,-37.5%
CLE,1-3,29,-29.6%,29,-29.6%,29,-27.4%,29,-15.2%
STL,0-4,30,-30.5%,30,-30.5%,30,-30.5%,30,-16.6%
DET,0-4,31,-31.5%,31,-31.5%,31,-32.7%,28,-12.9%
KC,1-4,32,-39.7%,32,-39.7%,32,-52.5%,31,-19.8%
