Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NYG,4-1,1,36.0%,1,36.5%,4,39.7%,1,37.3%
DEN,4-2,2,25.9%,3,25.4%,5,36.3%,3,19.0%
WAS,4-2,3,25.1%,2,25.6%,3,40.5%,2,21.2%
DAL,4-2,4,25.0%,4,24.4%,2,42.1%,4,17.7%
SD,3-3,5,20.9%,5,20.6%,1,55.8%,27,-11.6%
MIA,2-3,6,15.6%,6,16.1%,8,30.3%,8,4.9%
ATL,4-2,7,15.0%,7,14.0%,9,30.2%,5,12.6%
JAX,3-3,8,12.9%,8,13.5%,11,23.4%,10,1.5%
PHI,3-3,9,12.0%,9,11.5%,10,29.9%,17,-2.8%
ARI,4-2,10,10.4%,10,10.6%,7,32.7%,19,-4.4%
NO,3-3,11,9.1%,11,8.9%,6,35.5%,25,-11.4%
IND,3-2,12,8.9%,12,8.7%,12,22.8%,11,1.2%
HOU,1-4,13,2.1%,13,2.7%,16,10.2%,20,-4.9%
GB,3-3,14,1.3%,14,1.0%,13,21.6%,26,-11.5%
TB,4-2,15,0.4%,15,0.2%,18,7.6%,9,2.4%
BUF,4-1,16,-0.3%,16,-0.5%,17,7.7%,18,-3.8%
CHI,3-3,17,-1.4%,17,-1.7%,15,15.5%,23,-8.6%
NYJ,3-2,18,-2.8%,19,-2.9%,19,4.7%,13,-1.1%
TEN,5-0,19,-2.9%,18,-2.5%,21,3.3%,15,-1.3%
CAR,4-2,20,-4.7%,20,-5.2%,14,17.1%,16,-2.5%
PIT,4-1,21,-8.8%,21,-9.5%,20,4.3%,22,-8.3%
MIN,3-3,22,-9.1%,22,-9.6%,22,3.1%,29,-14.9%
NE,3-2,23,-10.1%,23,-10.5%,26,-13.9%,12,-0.9%
SF,2-4,24,-11.1%,24,-11.0%,24,-12.5%,6,6.2%
BAL,2-3,25,-11.5%,25,-11.9%,28,-26.2%,7,5.4%
CLE,2-3,26,-15.1%,26,-15.0%,23,-4.3%,14,-1.2%
SEA,1-4,27,-16.3%,27,-15.6%,27,-16.9%,21,-7.7%
OAK,1-4,28,-25.2%,28,-25.0%,29,-28.2%,28,-13.6%
CIN,0-6,29,-28.6%,29,-28.3%,25,-13.3%,32,-39.4%
DET,0-5,30,-30.8%,30,-31.4%,31,-34.8%,24,-10.5%
STL,1-4,31,-33.7%,31,-33.5%,30,-28.9%,31,-23.9%
KC,1-4,32,-42.2%,32,-42.7%,32,-57.2%,30,-19.6%
