Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
SD,1-2,1,39.1%,1,39.1%,1,84.2%,15,-1.2%
DAL,3-0,2,35.7%,2,35.7%,4,45.6%,2,34.8%
DEN,3-0,3,33.7%,3,33.7%,3,48.1%,3,30.9%
NYG,3-0,4,30.8%,4,30.8%,5,43.8%,4,24.6%
WAS,2-1,5,28.5%,5,28.5%,2,55.2%,7,11.4%
ATL,2-1,6,18.9%,6,18.9%,16,4.0%,1,38.2%
PHI,2-1,7,15.7%,7,15.7%,9,35.9%,17,-2.6%
BUF,3-0,8,14.8%,8,14.8%,10,33.3%,19,-5.8%
NO,1-2,9,14.6%,9,14.6%,6,43.1%,27,-14.9%
GB,2-1,10,12.0%,10,12.0%,8,38.4%,18,-5.0%
ARI,2-1,11,9.9%,11,9.9%,7,42.1%,28,-14.9%
BAL,2-0,12,8.2%,12,8.2%,14,6.6%,5,16.3%
SF,2-1,13,7.1%,13,7.1%,12,23.7%,16,-1.5%
MIA,1-2,14,5.0%,14,5.0%,11,24.4%,26,-13.1%
TB,2-1,15,3.8%,15,3.8%,13,8.5%,12,4.2%
TEN,3-0,16,2.8%,16,2.8%,15,5.4%,8,9.7%
MIN,1-2,17,-0.2%,17,-0.2%,20,-3.8%,9,8.4%
SEA,1-2,18,-2.7%,18,-2.7%,24,-8.4%,6,12.1%
CHI,1-2,19,-5.5%,19,-5.5%,18,-2.2%,10,6.0%
PIT,2-1,20,-6.4%,20,-6.4%,19,-2.9%,13,-0.3%
IND,1-2,21,-7.0%,21,-7.0%,17,1.4%,20,-7.4%
NE,2-1,22,-8.1%,22,-8.1%,23,-8.1%,14,-0.6%
JAX,1-2,23,-9.9%,23,-9.9%,26,-9.1%,22,-8.5%
OAK,1-2,24,-11.4%,24,-11.4%,22,-6.3%,21,-8.1%
NYJ,1-2,25,-13.0%,25,-13.0%,21,-3.9%,24,-11.0%
CAR,2-1,26,-17.9%,26,-17.9%,25,-8.5%,11,4.4%
DET,0-3,27,-26.4%,27,-26.4%,28,-23.7%,25,-11.1%
CIN,0-3,28,-33.3%,28,-33.3%,27,-20.1%,31,-39.8%
KC,0-3,29,-38.2%,29,-38.2%,31,-49.7%,30,-21.6%
HOU,0-2,30,-39.1%,30,-39.1%,32,-54.9%,23,-10.7%
STL,0-3,31,-43.1%,31,-43.1%,29,-29.7%,32,-43.3%
CLE,0-3,32,-45.3%,32,-45.3%,30,-49.5%,29,-15.0%
