Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
CIN,3-0,1,34.1%,1,34.1%,5,21.1%,5,21.1%,6,-12.8%,6,-12.8%,12,0.1%,12,0.1%
ATL,2-1,2,30.6%,2,30.6%,4,22.7%,4,22.7%,12,-0.7%,12,-0.7%,3,7.2%,3,7.2%
CHI,2-1,3,26.4%,3,26.4%,9,6.6%,9,6.6%,3,-22.0%,3,-22.0%,19,-2.2%,19,-2.2%
DEN,2-1,4,23.9%,4,23.9%,6,21.0%,6,21.0%,9,-4.7%,9,-4.7%,17,-1.8%,17,-1.8%
SEA,2-1,5,21.8%,5,21.8%,3,22.9%,3,22.9%,11,-1.1%,11,-1.1%,20,-2.3%,20,-2.3%
NE,2-1,6,18.4%,6,18.4%,23,-6.8%,23,-6.8%,2,-23.4%,2,-23.4%,9,1.7%,9,1.7%
PHI,3-0,7,17.9%,7,17.9%,15,3.8%,15,3.8%,8,-6.2%,8,-6.2%,2,7.9%,2,7.9%
DET,2-1,8,17.6%,8,17.6%,17,1.0%,17,1.0%,1,-28.4%,1,-28.4%,30,-11.8%,30,-11.8%
BUF,2-1,9,17.0%,9,17.0%,10,5.5%,10,5.5%,16,1.2%,16,1.2%,1,12.8%,1,12.8%
NO,1-2,10,14.8%,10,14.8%,1,26.2%,1,26.2%,27,12.2%,27,12.2%,11,0.8%,11,0.8%
WAS,1-2,11,13.9%,11,13.9%,8,13.8%,8,13.8%,4,-17.9%,4,-17.9%,31,-17.8%,31,-17.8%
ARI,3-0,12,13.7%,12,13.7%,20,-4.3%,20,-4.3%,5,-13.5%,5,-13.5%,6,4.5%,6,4.5%
PIT,2-1,13,10.8%,13,10.8%,7,20.6%,7,20.6%,30,15.0%,30,15.0%,5,5.2%,5,5.2%
GB,1-2,14,3.3%,14,3.3%,19,-1.0%,19,-1.0%,18,1.3%,18,1.3%,4,5.6%,4,5.6%
BAL,2-1,15,2.7%,15,2.7%,13,4.2%,13,4.2%,15,0.6%,15,0.6%,14,-0.9%,14,-0.9%
DAL,2-1,16,2.6%,16,2.6%,14,4.1%,14,4.1%,23,4.0%,23,4.0%,8,2.6%,8,2.6%
SF,1-2,17,1.9%,17,1.9%,11,5.3%,11,5.3%,14,0.4%,14,0.4%,22,-3.0%,22,-3.0%
CAR,2-1,18,-0.5%,18,-0.5%,12,4.6%,12,4.6%,13,-0.4%,13,-0.4%,24,-5.5%,24,-5.5%
CLE,1-2,19,-2.1%,19,-2.1%,2,24.5%,2,24.5%,32,21.5%,32,21.5%,23,-5.1%,23,-5.1%
SD,2-1,20,-7.2%,20,-7.2%,21,-4.4%,21,-4.4%,22,3.9%,22,3.9%,10,1.0%,10,1.0%
HOU,2-1,21,-9.3%,21,-9.3%,18,1.0%,18,1.0%,24,4.7%,24,4.7%,25,-5.6%,25,-5.6%
IND,1-2,22,-9.5%,22,-9.5%,16,1.8%,16,1.8%,29,14.5%,29,14.5%,7,3.2%,7,3.2%
MIA,1-2,23,-17.4%,23,-17.4%,22,-5.6%,22,-5.6%,7,-6.3%,7,-6.3%,32,-18.1%,32,-18.1%
NYJ,1-2,24,-21.4%,24,-21.4%,28,-21.8%,28,-21.8%,10,-2.5%,10,-2.5%,18,-2.1%,18,-2.1%
NYG,1-2,25,-25.2%,25,-25.2%,25,-13.1%,25,-13.1%,19,1.8%,19,1.8%,28,-10.3%,28,-10.3%
TEN,1-2,26,-26.3%,26,-26.3%,26,-13.5%,26,-13.5%,20,2.0%,20,2.0%,29,-10.9%,29,-10.9%
OAK,0-3,27,-27.4%,27,-27.4%,29,-25.8%,29,-25.8%,17,1.3%,17,1.3%,13,-0.4%,13,-0.4%
STL,1-2,28,-29.2%,28,-29.2%,27,-16.3%,27,-16.3%,26,11.4%,26,11.4%,16,-1.5%,16,-1.5%
KC,1-2,29,-29.9%,29,-29.9%,24,-12.1%,24,-12.1%,31,16.6%,31,16.6%,15,-1.1%,15,-1.1%
MIN,1-2,30,-34.0%,30,-34.0%,30,-29.1%,30,-29.1%,21,2.2%,21,2.2%,21,-2.7%,21,-2.7%
JAX,0-3,31,-54.7%,31,-54.7%,31,-34.5%,31,-34.5%,28,14.0%,28,14.0%,26,-6.2%,26,-6.2%
TB,0-3,32,-59.7%,32,-59.7%,32,-39.7%,32,-39.7%,25,11.0%,25,11.0%,27,-9.1%,27,-9.1%
