Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SF,1-0,1,60.7%,1,60.7%,3,45.4%,3,45.4%,9,-14.6%,9,-14.6%,14,0.7%,14,0.7%
DET,1-0,2,59.9%,2,59.9%,6,28.0%,6,28.0%,1,-46.6%,1,-46.6%,28,-14.6%,28,-14.6%
TEN,1-0,3,56.9%,3,56.9%,9,21.1%,9,21.1%,3,-40.0%,3,-40.0%,23,-4.2%,23,-4.2%
MIN,1-0,4,56.7%,4,56.7%,12,10.7%,12,10.7%,4,-39.3%,4,-39.3%,7,6.8%,7,6.8%
SEA,1-0,5,54.8%,5,54.8%,2,45.4%,2,45.4%,11,-9.9%,11,-9.9%,16,-0.5%,16,-0.5%
ATL,1-0,6,35.2%,6,35.2%,1,45.9%,1,45.9%,23,17.1%,23,17.1%,9,6.4%,9,6.4%
CAR,1-0,7,34.1%,7,34.1%,15,1.6%,15,1.6%,2,-42.9%,2,-42.9%,25,-10.4%,25,-10.4%
DEN,1-0,8,23.7%,8,23.7%,5,30.4%,5,30.4%,14,-5.0%,14,-5.0%,27,-11.7%,27,-11.7%
NYJ,1-0,9,23.4%,9,23.4%,21,-9.8%,21,-9.8%,7,-26.4%,7,-26.4%,8,6.7%,8,6.7%
CIN,1-0,10,21.8%,10,21.8%,13,7.1%,13,7.1%,13,-5.3%,13,-5.3%,2,9.4%,2,9.4%
PIT,1-0,11,20.5%,11,20.5%,4,30.7%,4,30.7%,24,18.0%,24,18.0%,4,7.8%,4,7.8%
MIA,1-0,12,18.9%,12,18.9%,14,4.2%,14,4.2%,8,-15.2%,8,-15.2%,17,-0.5%,17,-0.5%
BUF,1-0,13,17.8%,13,17.8%,11,16.4%,11,16.4%,21,11.7%,21,11.7%,1,13.1%,1,13.1%
ARI,1-0,14,7.9%,14,7.9%,18,-2.6%,18,-2.6%,5,-28.8%,5,-28.8%,30,-18.3%,30,-18.3%
CHI,0-1,15,7.3%,15,7.3%,10,18.9%,10,18.9%,22,12.4%,22,12.4%,13,0.8%,13,0.8%
JAX,0-1,16,-1.5%,16,-1.5%,22,-10.8%,22,-10.8%,6,-26.8%,6,-26.8%,29,-17.6%,29,-17.6%
PHI,1-0,17,-3.6%,17,-3.6%,26,-23.2%,26,-23.2%,10,-11.9%,10,-11.9%,5,7.8%,5,7.8%
HOU,1-0,18,-9.4%,18,-9.4%,23,-12.0%,23,-12.0%,12,-5.4%,12,-5.4%,20,-2.7%,20,-2.7%
CLE,0-1,19,-9.4%,19,-9.4%,7,27.8%,7,27.8%,30,33.3%,30,33.3%,22,-4.0%,22,-4.0%
NO,0-1,20,-15.2%,20,-15.2%,8,22.3%,8,22.3%,32,44.8%,32,44.8%,6,7.3%,6,7.3%
BAL,0-1,21,-24.0%,21,-24.0%,16,0.0%,16,0.0%,18,5.0%,18,5.0%,31,-19.1%,31,-19.1%
NE,0-1,22,-24.6%,22,-24.6%,20,-7.6%,20,-7.6%,20,6.2%,20,6.2%,26,-10.8%,26,-10.8%
IND,0-1,23,-29.4%,23,-29.4%,19,-4.4%,19,-4.4%,26,24.2%,26,24.2%,19,-0.8%,19,-0.8%
WAS,0-1,24,-30.5%,24,-30.5%,24,-15.1%,24,-15.1%,16,-4.8%,16,-4.8%,32,-20.2%,32,-20.2%
OAK,0-1,25,-31.4%,25,-31.4%,27,-32.8%,27,-32.8%,15,-4.9%,15,-4.9%,21,-3.5%,21,-3.5%
SD,0-1,26,-31.4%,26,-31.4%,28,-34.4%,28,-34.4%,17,2.5%,17,2.5%,10,5.5%,10,5.5%
GB,0-1,27,-35.0%,27,-35.0%,17,-0.3%,17,-0.3%,31,34.7%,31,34.7%,15,0.0%,15,0.0%
TB,0-1,28,-45.7%,28,-45.7%,30,-41.9%,30,-41.9%,19,5.4%,19,5.4%,11,1.7%,11,1.7%
KC,0-1,29,-56.6%,29,-56.6%,29,-40.5%,29,-40.5%,27,24.3%,27,24.3%,3,8.1%,3,8.1%
DAL,0-1,30,-62.5%,30,-62.5%,25,-20.0%,25,-20.0%,29,32.7%,29,32.7%,24,-9.8%,24,-9.8%
NYG,0-1,31,-70.4%,31,-70.4%,31,-49.1%,31,-49.1%,25,22.6%,25,22.6%,12,1.3%,12,1.3%
STL,0-1,32,-88.9%,32,-88.9%,32,-61.5%,32,-61.5%,28,26.8%,28,26.8%,18,-0.7%,18,-0.7%
