Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SEA,11-4,1,29.5%,2,30.6%,4,18.4%,5,17.5%,3,-13.6%,2,-15.5%,21,-2.4%,20,-2.4%
DEN,11-4,2,28.2%,3,23.5%,3,20.4%,6,15.2%,4,-12.2%,5,-12.8%,28,-4.5%,29,-4.4%
NE,12-3,3,23.9%,1,33.1%,6,14.9%,3,19.7%,11,-3.2%,9,-7.0%,6,5.8%,5,6.5%
BAL,9-6,4,22.3%,5,23.2%,10,10.3%,11,7.9%,9,-4.2%,12,-5.1%,1,7.9%,1,10.1%
GB,11-4,5,21.9%,4,23.4%,2,24.0%,1,25.7%,13,-0.9%,14,-2.9%,23,-3.0%,31,-5.3%
DAL,11-4,6,15.1%,6,20.9%,5,16.7%,4,19.3%,17,2.1%,17,-0.3%,12,0.5%,13,1.3%
PHI,9-6,7,11.7%,7,15.0%,14,0.7%,13,1.2%,10,-3.6%,11,-6.2%,2,7.5%,2,7.6%
PIT,10-5,8,8.9%,10,10.2%,1,24.0%,2,24.4%,32,14.7%,29,13.3%,15,-0.5%,16,-0.9%
KC,8-7,9,8.5%,8,11.1%,12,6.4%,12,5.7%,20,3.9%,19,2.1%,4,6.1%,3,7.6%
DET,11-4,10,8.5%,13,5.1%,19,-4.5%,19,-6.1%,1,-18.1%,3,-14.7%,29,-5.1%,28,-3.5%
BUF,8-7,11,7.3%,11,8.8%,27,-13.2%,26,-14.4%,2,-14.4%,1,-17.4%,3,6.1%,6,5.8%
MIA,8-7,12,6.4%,17,3.1%,9,10.9%,7,11.0%,14,-0.7%,23,4.5%,30,-5.2%,24,-3.4%
CIN,10-4-1,13,6.4%,14,4.0%,15,0.3%,17,-4.2%,15,-0.3%,15,-0.7%,5,5.8%,4,7.5%
NO,6-9,14,5.4%,12,5.1%,7,12.1%,10,8.5%,27,8.8%,25,6.0%,11,2.1%,10,2.6%
SF,7-8,15,4.3%,15,3.7%,18,-2.8%,18,-4.9%,6,-10.8%,7,-11.4%,25,-3.8%,21,-2.8%
IND,10-5,16,2.6%,20,0.0%,16,-0.8%,21,-6.6%,16,-0.2%,13,-3.7%,7,3.2%,9,2.8%
ATL,6-9,17,1.7%,18,1.8%,8,11.7%,8,10.1%,30,12.5%,28,10.2%,10,2.5%,11,2.0%
STL,6-9,18,0.8%,9,11.0%,23,-8.0%,20,-6.4%,8,-5.9%,6,-12.4%,8,2.9%,7,5.0%
SD,9-6,19,-0.1%,19,1.0%,11,9.1%,9,8.7%,25,7.3%,21,4.3%,19,-1.9%,23,-3.4%
HOU,8-7,20,-0.9%,16,3.6%,21,-6.0%,22,-7.3%,7,-9.2%,4,-14.4%,27,-4.0%,26,-3.4%
ARI,11-4,21,-2.1%,22,-5.3%,25,-10.8%,24,-12.6%,5,-11.1%,8,-10.7%,22,-2.4%,27,-3.5%
NYG,6-9,22,-7.2%,21,-3.8%,17,-1.5%,14,-0.4%,23,5.8%,24,4.9%,13,0.1%,12,1.5%
CLE,7-8,23,-8.6%,24,-10.7%,24,-10.2%,27,-17.5%,12,-1.7%,10,-6.7%,14,-0.2%,14,0.1%
MIN,6-9,24,-10.8%,23,-8.3%,22,-6.8%,15,-3.2%,24,6.5%,27,8.5%,9,2.5%,8,3.4%
CHI,5-10,25,-13.8%,26,-20.5%,13,1.4%,16,-3.8%,29,12.2%,31,15.1%,24,-3.1%,17,-1.7%
CAR,6-8-1,26,-14.4%,25,-15.1%,20,-5.4%,23,-7.7%,18,3.0%,16,-0.6%,32,-6.0%,32,-8.0%
NYJ,3-12,27,-20.8%,27,-22.2%,29,-14.3%,25,-14.4%,22,4.9%,22,4.4%,17,-1.6%,25,-3.4%
OAK,3-12,28,-27.4%,28,-27.4%,30,-18.7%,28,-19.1%,26,7.7%,26,6.1%,16,-1.0%,19,-2.2%
WAS,4-11,29,-28.4%,32,-38.8%,26,-12.3%,29,-19.6%,28,10.3%,30,14.2%,31,-5.8%,30,-5.0%
TEN,2-13,30,-29.2%,31,-36.7%,28,-13.2%,30,-19.7%,31,13.9%,32,15.3%,20,-2.1%,18,-1.7%
JAX,3-12,31,-32.6%,29,-30.1%,31,-24.9%,31,-24.7%,19,3.8%,20,2.3%,26,-3.8%,22,-3.1%
TB,2-13,32,-33.1%,30,-32.2%,32,-27.1%,32,-30.8%,21,4.3%,18,1.2%,18,-1.7%,15,-0.2%
