Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,6-2,1,35.5%,1,34.5%,1,27.1%,1,26.2%,3,-14.4%,3,-14.4%,26,-5.9%,26,-6.1%
BAL,5-4,2,22.4%,2,23.3%,8,9.5%,9,9.4%,9,-5.5%,9,-5.2%,2,7.4%,2,8.7%
SEA,5-3,3,17.2%,8,14.5%,12,8.1%,13,5.3%,6,-12.7%,5,-12.9%,23,-3.6%,23,-3.7%
MIA,5-3,4,17.1%,3,19.1%,13,6.7%,12,7.4%,2,-18.0%,2,-18.5%,32,-7.7%,30,-6.8%
GB,5-3,5,15.7%,4,15.8%,3,16.7%,3,16.7%,17,2.3%,16,1.8%,12,1.3%,14,0.9%
IND,6-3,6,13.5%,6,15.3%,5,10.2%,6,10.7%,15,1.8%,14,0.8%,5,5.1%,4,5.5%
PHI,6-2,7,13.1%,9,13.9%,16,-2.1%,16,-1.7%,8,-6.5%,8,-6.3%,1,8.6%,1,9.3%
NO,4-4,8,12.2%,7,15.3%,4,15.8%,4,16.0%,22,5.1%,17,2.1%,11,1.4%,12,1.3%
PIT,6-3,9,12.1%,10,13.6%,2,21.2%,2,22.1%,27,8.3%,26,7.4%,17,-0.8%,20,-1.2%
KC,5-3,10,11.7%,5,15.6%,9,9.1%,5,10.8%,14,1.0%,13,-0.6%,6,3.7%,6,4.2%
NE,7-2,11,11.3%,11,11.9%,10,8.6%,8,9.8%,19,3.9%,22,5.1%,3,6.6%,3,7.3%
DAL,6-3,12,7.4%,12,8.3%,6,9.7%,7,10.2%,12,0.2%,12,-0.6%,22,-2.1%,22,-2.6%
DET,6-2,13,7.3%,13,5.9%,25,-10.6%,26,-12.2%,1,-25.1%,1,-24.7%,31,-7.2%,28,-6.6%
ARI,7-1,14,5.1%,14,4.1%,24,-8.5%,24,-8.3%,4,-13.7%,6,-12.6%,16,0.0%,16,-0.2%
CIN,5-2-1,15,4.9%,15,1.1%,15,3.9%,15,2.1%,16,1.9%,20,4.2%,8,2.8%,7,3.2%
BUF,5-3,16,2.7%,16,0.8%,27,-15.7%,28,-17.8%,5,-13.1%,4,-14.3%,4,5.3%,5,4.4%
ATL,2-6,17,-1.8%,18,-4.4%,7,9.6%,11,7.4%,32,14.8%,32,15.0%,7,3.3%,8,3.2%
SF,4-4,18,-4.0%,19,-5.6%,23,-6.5%,23,-7.5%,7,-9.1%,7,-8.8%,29,-6.6%,31,-6.9%
SD,5-4,19,-4.1%,17,-4.2%,11,8.2%,10,8.8%,31,12.4%,31,12.8%,15,0.0%,15,-0.2%
CLE,5-3,20,-5.8%,20,-7.0%,17,-2.1%,19,-4.7%,20,4.5%,18,3.3%,14,0.8%,13,1.1%
CHI,3-5,21,-8.2%,23,-10.8%,14,4.2%,14,2.5%,24,5.8%,25,6.3%,30,-6.6%,32,-7.0%
HOU,4-5,22,-9.7%,21,-9.9%,22,-6.3%,22,-6.5%,10,-2.9%,10,-3.0%,27,-6.2%,27,-6.4%
WAS,3-6,23,-10.7%,24,-12.2%,18,-3.2%,18,-4.4%,18,2.7%,19,3.9%,25,-4.7%,24,-3.9%
NYG,3-5,24,-12.3%,22,-10.7%,21,-5.5%,20,-5.1%,21,5.0%,21,4.6%,20,-1.8%,18,-1.0%
CAR,3-5-1,25,-14.1%,25,-15.6%,20,-4.4%,21,-5.5%,28,8.7%,29,9.5%,18,-1.0%,17,-0.6%
TEN,2-6,26,-14.2%,27,-16.0%,19,-3.4%,17,-3.4%,30,9.3%,30,11.5%,19,-1.6%,19,-1.1%
MIN,4-5,27,-18.1%,28,-18.6%,30,-19.0%,30,-19.0%,13,0.4%,15,1.2%,13,1.3%,11,1.6%
STL,3-5,28,-19.3%,26,-15.9%,26,-10.8%,25,-8.7%,25,6.6%,23,5.3%,21,-1.9%,21,-2.0%
NYJ,1-8,29,-21.7%,29,-21.9%,28,-18.2%,29,-18.2%,23,5.6%,24,6.0%,10,2.1%,10,2.2%
OAK,0-8,30,-25.5%,31,-23.9%,29,-18.9%,27,-17.7%,29,9.2%,28,9.2%,9,2.6%,9,3.0%
JAX,1-8,31,-25.8%,30,-22.9%,31,-22.0%,31,-20.4%,11,-0.7%,11,-1.6%,24,-4.5%,25,-4.1%
TB,1-7,32,-36.4%,32,-35.7%,32,-22.5%,32,-21.6%,26,7.4%,27,7.4%,28,-6.5%,29,-6.8%
