Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,11-3,1,32.8%,2,29.2%,2,23.7%,4,20.1%,4,-13.0%,5,-13.2%,26,-3.9%,30,-4.1%
SEA,10-4,2,25.8%,4,25.1%,5,15.4%,7,13.9%,5,-12.0%,7,-12.7%,18,-1.6%,18,-1.5%
NE,11-3,3,25.7%,1,35.2%,4,16.4%,3,21.1%,10,-3.9%,8,-8.0%,5,5.4%,5,6.1%
BAL,9-5,4,25.0%,3,27.2%,6,15.3%,6,15.3%,13,-2.3%,13,-2.4%,2,7.4%,1,9.4%
GB,10-4,5,21.3%,5,22.9%,1,25.1%,1,27.7%,16,1.6%,17,1.0%,21,-2.3%,28,-3.8%
BUF,8-6,6,12.0%,6,15.0%,26,-11.5%,25,-11.9%,2,-16.8%,1,-20.2%,3,6.7%,4,6.7%
PHI,9-5,7,11.8%,8,13.6%,16,-2.0%,14,-2.8%,8,-5.0%,9,-7.9%,1,8.7%,2,8.5%
KC,8-6,8,11.8%,7,14.1%,11,8.7%,10,8.9%,19,3.0%,20,2.1%,4,6.0%,3,7.3%
DAL,10-4,9,10.0%,9,11.3%,7,15.3%,5,15.5%,25,6.2%,26,6.1%,11,0.9%,10,2.0%
DET,10-4,10,10.0%,12,8.0%,17,-3.8%,17,-4.4%,1,-18.7%,4,-15.7%,30,-4.9%,24,-3.3%
IND,10-4,11,8.7%,13,7.9%,13,2.6%,13,-1.0%,14,-2.2%,12,-5.0%,7,4.0%,8,3.9%
MIA,7-7,12,8.3%,14,6.8%,12,7.7%,12,7.2%,9,-4.1%,14,-1.0%,24,-3.5%,17,-1.4%
PIT,9-5,13,8.0%,11,9.0%,3,22.8%,2,23.3%,31,14.4%,28,13.0%,14,-0.4%,15,-1.3%
NO,6-8,14,6.5%,15,6.4%,8,14.1%,8,12.0%,27,8.1%,25,6.0%,12,0.5%,13,0.4%
CIN,9-4-1,15,3.5%,19,0.6%,15,-0.9%,16,-3.8%,15,0.7%,19,1.6%,6,5.0%,6,5.9%
STL,6-8,16,2.4%,10,11.3%,24,-9.7%,22,-9.3%,7,-9.4%,3,-16.3%,9,2.7%,7,4.2%
ARI,11-3,17,2.3%,17,2.2%,23,-9.6%,24,-10.6%,3,-14.5%,2,-16.4%,23,-2.6%,26,-3.6%
SD,8-6,18,2.1%,16,2.3%,10,9.5%,11,7.7%,23,5.6%,21,2.4%,19,-1.8%,23,-3.0%
SF,7-7,19,2.0%,18,0.8%,19,-5.2%,21,-8.7%,6,-11.4%,6,-13.2%,29,-4.2%,27,-3.7%
ATL,5-9,20,-0.8%,21,-2.4%,9,11.3%,9,10.0%,32,15.3%,32,15.5%,8,3.3%,9,3.1%
HOU,7-7,21,-4.6%,20,-2.1%,18,-4.1%,18,-4.5%,11,-3.4%,11,-5.7%,27,-3.9%,25,-3.3%
CLE,7-7,22,-8.4%,24,-10.8%,25,-10.9%,27,-17.2%,12,-3.0%,10,-6.2%,15,-0.4%,14,0.2%
NYG,5-9,23,-9.8%,22,-9.2%,20,-6.3%,20,-7.9%,21,4.0%,22,3.1%,13,0.5%,11,1.9%
MIN,6-8,24,-11.4%,23,-10.0%,22,-9.4%,19,-7.0%,20,3.6%,23,4.7%,10,1.6%,12,1.6%
CHI,5-9,25,-15.1%,26,-21.1%,14,0.4%,15,-3.5%,29,12.0%,31,14.7%,25,-3.5%,22,-2.9%
CAR,5-8-1,26,-16.1%,25,-16.2%,21,-7.3%,23,-9.8%,18,2.9%,15,-0.8%,31,-5.8%,32,-7.2%
NYJ,3-11,27,-22.5%,27,-24.6%,28,-15.3%,26,-15.1%,24,5.9%,27,6.8%,17,-1.3%,21,-2.7%
OAK,2-12,28,-29.7%,29,-31.1%,30,-21.4%,30,-23.1%,26,7.1%,24,5.7%,16,-1.2%,20,-2.3%
WAS,3-11,29,-29.9%,32,-38.3%,27,-13.7%,28,-20.0%,28,10.0%,29,13.0%,32,-6.2%,31,-5.3%
TEN,2-12,30,-31.7%,31,-37.8%,29,-16.9%,29,-22.7%,30,12.6%,30,13.5%,20,-2.2%,19,-1.7%
TB,2-12,31,-31.9%,28,-27.9%,31,-25.2%,31,-25.4%,22,4.3%,18,1.2%,22,-2.4%,16,-1.3%
JAX,2-12,32,-32.7%,30,-31.2%,32,-26.7%,32,-27.2%,17,1.8%,16,0.0%,28,-4.2%,29,-4.0%
