Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,4-1,1,37.7%,1,37.8%,1,22.5%,1,22.3%,2,-15.8%,2,-15.9%,18,-0.6%,17,-0.4%
BAL,4-2,2,29.0%,2,29.7%,4,20.0%,3,20.3%,9,-7.0%,9,-7.0%,8,2.0%,8,2.4%
GB,4-2,3,24.5%,3,25.2%,3,20.0%,4,20.3%,14,-3.3%,14,-3.7%,10,1.3%,10,1.3%
SEA,3-2,4,23.9%,4,23.0%,10,11.4%,10,10.6%,6,-8.4%,7,-8.2%,4,4.1%,4,4.2%
CIN,3-1-1,5,15.8%,6,15.1%,5,14.3%,5,14.2%,16,-1.6%,16,-1.2%,16,-0.2%,16,-0.3%
DAL,5-1,6,14.6%,5,15.7%,6,13.7%,6,14.2%,13,-3.4%,12,-3.9%,20,-2.5%,20,-2.4%
DET,4-2,7,14.5%,7,13.6%,23,-6.1%,24,-6.6%,1,-31.7%,1,-31.3%,32,-11.1%,32,-11.1%
SD,5-1,8,10.2%,8,10.9%,8,12.6%,7,13.3%,20,3.2%,20,3.1%,11,0.8%,12,0.7%
PHI,5-1,9,9.9%,9,10.5%,21,-4.8%,21,-4.3%,10,-4.9%,10,-4.9%,1,9.9%,1,9.9%
CLE,3-2,10,8.4%,10,8.7%,2,20.8%,2,20.7%,28,11.8%,27,11.5%,17,-0.5%,18,-0.5%
SF,4-2,11,8.1%,11,7.3%,16,1.0%,16,0.4%,3,-13.9%,3,-13.8%,28,-6.8%,28,-6.9%
IND,4-2,12,6.3%,12,6.6%,13,5.7%,13,5.8%,19,3.0%,19,2.8%,5,3.5%,5,3.6%
NE,4-2,13,5.2%,14,5.7%,18,-0.9%,18,-0.8%,12,-3.5%,13,-3.7%,7,2.6%,6,2.8%
KC,2-3,14,5.0%,13,6.4%,12,6.8%,12,7.8%,18,2.2%,18,1.6%,14,0.3%,14,0.2%
ATL,2-4,15,4.5%,16,4.0%,7,13.7%,8,13.3%,31,14.3%,31,14.3%,3,5.1%,3,5.1%
CHI,3-3,16,4.1%,15,4.1%,14,3.5%,14,3.2%,7,-8.1%,6,-8.5%,29,-7.5%,29,-7.6%
ARI,4-1,17,1.8%,17,1.6%,26,-10.8%,26,-10.9%,4,-11.1%,4,-10.5%,9,1.6%,9,2.0%
MIA,2-3,18,-1.6%,18,-2.2%,19,-1.2%,19,-1.3%,5,-10.0%,5,-9.7%,31,-10.3%,31,-10.5%
BUF,3-3,19,-2.1%,19,-2.4%,27,-14.9%,27,-15.4%,8,-7.5%,8,-7.8%,2,5.4%,2,5.2%
PIT,3-3,20,-4.6%,21,-5.1%,15,3.0%,15,2.7%,24,7.8%,24,7.9%,15,0.3%,15,0.1%
NYG,3-3,21,-5.0%,20,-4.0%,20,-4.4%,20,-3.8%,15,-3.0%,15,-3.5%,22,-3.6%,22,-3.7%
HOU,3-3,22,-6.2%,22,-6.2%,22,-5.3%,22,-5.2%,11,-4.2%,11,-4.1%,25,-5.0%,25,-5.1%
NO,2-3,23,-6.6%,23,-6.2%,9,12.3%,9,12.3%,32,18.1%,32,17.6%,19,-0.8%,19,-1.0%
CAR,3-2-1,24,-6.7%,24,-6.9%,11,8.0%,11,8.2%,29,11.9%,29,12.5%,21,-2.8%,21,-2.7%
WAS,1-5,25,-11.1%,25,-10.8%,17,-0.5%,17,-0.3%,17,1.1%,17,1.1%,30,-9.5%,30,-9.4%
TEN,2-4,26,-21.0%,27,-22.3%,24,-6.1%,23,-6.6%,25,9.2%,25,9.9%,26,-5.8%,26,-5.8%
STL,1-4,27,-22.0%,26,-20.6%,25,-9.6%,25,-8.7%,23,7.8%,23,7.3%,23,-4.6%,24,-4.7%
NYJ,1-5,28,-27.4%,28,-27.9%,30,-26.5%,30,-26.6%,21,3.5%,21,3.8%,6,2.6%,7,2.5%
OAK,0-5,29,-29.2%,29,-28.8%,28,-18.1%,28,-17.7%,27,11.7%,28,11.8%,12,0.7%,11,0.7%
MIN,2-4,30,-34.1%,30,-35.4%,31,-28.4%,31,-28.8%,22,6.4%,22,7.2%,13,0.6%,13,0.5%
JAX,0-6,31,-45.2%,31,-45.9%,32,-30.1%,32,-30.4%,26,10.3%,26,11.0%,24,-4.8%,23,-4.6%
TB,1-5,32,-46.1%,32,-46.1%,29,-26.2%,29,-25.9%,30,14.1%,30,14.3%,27,-5.9%,27,-6.0%
